file_name,question_text,answer_option,category,final_answer_range,contains_diagram,diagram_description,final_answer
f4951250-3f5c-557a-8efb-a51b94ef0eea_q14.png,Complete the given number/letter/figure analogy by choosing the correct answer from the given alternatives. 441 : 7 :: 576 : ?,(1) 6 (2) 8 (3) 12 (4) 14,pattern_recognition, 1-4,FALSE,No Diagram,2
63fff527-ce2a-5693-86fc-788cdd8a0890_q9.png,In each of the following questions there is a specific relationship between the first and second term. The same relationship exists between the third and fourth term which will replace the question mark (?). Select the correct term from the alternatives given. AXD : EWB :: ? : JRG,(1) ETH (2) FSI (3) HRK (4) FRJ,pattern_recognition, 1-4,FALSE,No Diagram,2
9dd3163c-8df2-598d-9040-ddc3ebb1407b_q70.png,"In the following questions the numbers outside the bracket are related to number inside the bracket in a specific manner. From the given manner find the right number which matches and will replace the question mark. 78 (20) 82, 37 (12) 59, 45 (?) 91",(1) 13 (2) 17 (3) 19 (4) 23,pattern_recognition, 1-4,FALSE,No Diagram,2
118f4fc9-cac3-588f-910a-d00e5a32a8ef_q48.png,If DOCUMENTS is written VDPENRSM then what will be written for ADVERTISE?,(A) FWEBDRSHS (B) FWEBSRDHS (C) FWBESRDHS (D) FWEBSFMLD,pattern_recognition,A-D,FALSE,No Diagram,B
d8f219a5-c937-5fdf-b5fc-e6244984f114_q38.png,508 : 621 :: ? : 470,(1) 357 (2) 367 (3) 375 (4) 402,pattern_recognition, 1-4,FALSE,No Diagram,1
becbb069-1004-5dfa-9f4d-6d62bc71c3ef_q40.png,"In the following questions, there is a relationship between the letters / numbers / figures on the left of the sign (::). The same relationship exists to the right of the sign (::), of which one is missing. Find the missing term from the given alternatives.",(1) (2) (3) (4),pattern_recognition, 1-4,TRUE,"The diagram contains a series of geometric shapes with letters inside them, arranged in pairs to show a relationship. The pairs are separated by a colon (:). The first pair on the left side of the colon consists of a triangle inside a circle, which contains the letter 'A', and a hexagon inside a triangle, which contains the letter 'K'. The second pair on the right side of the colon consists of a hexagon inside a hexagon, which contains the letter 'H', and a missing figure represented by a question mark (?). Below this, there are four alternative figures labeled 1, 2, 3, and 4. Figure 1 is a hexagon inside a hexagon. Figure 2 is a hexagon inside a pentagon. Figure 3 is a hexagon inside a circle. Figure 4 is a hexagon inside a diamond. The task is to find the missing term from the given alternatives that completes the relationship shown in the pairs.",1
06274988-65b9-5c84-b5d1-994eb4870310_q21.png,82:09:00,1. 5:26 2. 6:37 3. 35:6 4. 26:5,pattern_recognition, 1-4,FALSE,No Diagram,4
06274988-65b9-5c84-b5d1-994eb4870310_q35.png,"In the following matrix, certain numbers are arranged in a certain way. Choose the missing number to complete the matrix.1 7 92 14 ?3 105 117",(1) 16 (2) 12 (3) 13 (4) 14,pattern_recognition, 1-4,TRUE,"The diagram contains a 3x3 matrix with some numbers filled in and one missing number represented by a question mark. The matrix is described as follows: The first row contains the numbers 1, 7, and 9. The second row contains the numbers 2, 14, and a question mark. The third row contains the numbers 3, 105, and 117. Below the matrix, there are four options for the missing number: 1. 16, 2. 12, 3. 13, 4. 14. The instruction above the matrix reads: 'In the following matrix, certain numbers are arranged in a certain way. Choose the missing number to complete the matrix.'",2
670176af-41ee-5049-9acc-f250ad2e943a_q4.png,"Complete the given analogy, by choosing the correct answer from the given alternatives.",(1) (2) (3) (4),pattern_recognition, 1-4,TRUE,"The diagram contains a sequence of three six-pointed stars (hexagrams) followed by a question mark, indicating a missing fourth figure. Each hexagram contains three circles: one black, one white, and one with a black outline. The positions of these circles change in each hexagram. The first hexagram has the black circle at the bottom left, the white circle at the top, and the outlined circle at the bottom right. The second hexagram has the black circle at the bottom right, the white circle at the center, and the outlined circle at the top left. The third hexagram has the black circle at the top right, the white circle at the bottom left, and the outlined circle at the center. Below the sequence, there are four answer choices, each containing a hexagram with different circle positions. Option (1) has the black circle at the bottom left, the white circle at the top, and the outlined circle at the bottom right. Option (2) has the black circle at the bottom right, the white circle at the center, and the outlined circle at the top left. Option (3) has the black circle at the top right, the white circle at the bottom left, and the outlined circle at the center. Option (4) has the black circle at the top left, the white circle at the bottom right, and the outlined circle at the bottom left.",1
06274988-65b9-5c84-b5d1-994eb4870310_q26.png,"Identify the wrong number / letters in the series: AD, EG, IJ, MM, QP, UP",1. EG 2. UP 3. QP 4. MM,pattern_recognition, 1-4,FALSE,No Diagram,2
