file_name,question_text,answer_option,category,final_answer_range,contains_diagram,diagram_description,final_answer
8fc7c3d5-e6a2-5776-bd7c-20e86209517d_q66.png,"Find the missing number in each of the following question from 62 to 66 and choose the correct options. 9, 7, 4; 31, 9, 10; 28, 52, ?",(A) 25 (B) 20 (C) 15 (D) 10,pattern_recognition,A-D,TRUE,"The diagram contains three sets of numbers arranged in a Y-shape, each with two numbers at the top and one number at the bottom. The first set has the numbers 9 and 7 at the top, with the number 4 at the bottom. The second set has the numbers 31 and 9 at the top, with the number 10 at the bottom. The third set has the numbers 28 and 52 at the top, with a question mark at the bottom. Below these sets, there are four multiple-choice options labeled (A), (B), (C), and (D). Option (A) is 25, option (B) is 20, option (C) is 15, and option (D) is 10. The instruction at the top reads: 'Direction: Find the missing number in each of the following question from 62 to 66 and choose the correct options.'",B
cd9271d5-90db-5cb8-bee2-9f870bd2410a_q32.png,Which number will replace the question mark?,(1) 15 (2) 25 (3) 35 (4) 22,pattern_recognition, 1-4,TRUE,"The diagram contains three circles, each divided into four equal quadrants by a vertical and a horizontal line intersecting at the center. Each quadrant contains a number. The first circle, from left to right, has the numbers 6 in the top-left quadrant, 4 in the top-right quadrant, 20 in the bottom-left quadrant, and 8 in the bottom-right quadrant. The second circle has the numbers 7 in the top-left quadrant, 9 in the top-right quadrant, 26 in the bottom-left quadrant, and 8 in the bottom-right quadrant. The third circle has the numbers 6 in the top-left quadrant, 5 in the top-right quadrant, a question mark in the bottom-left quadrant, and 12 in the bottom-right quadrant. Below the circles, there is a question: 'Which number will replace the question mark?' followed by four options: (1) 15, (2) 25, (3) 35, and (4) 22.",2
f4951250-3f5c-557a-8efb-a51b94ef0eea_q33.png,Find the missing number in the given matrices. 9 27 162 13 39 234 ? 51 306,(A) 17 (B) 15 (C) 19 (D) 21,pattern_recognition, 1-4,TRUE,"The diagram contains a 3x3 matrix with some numbers missing. The matrix is presented as follows: The first row contains the numbers 9, 27, and 162. The second row contains the numbers 13, 39, and 234. The third row contains a question mark in the first cell, the number 51 in the second cell, and the number 306 in the third cell. Above the matrix, there is a direction that reads: 'Directions: Find the missing number in the given matrices.' The number 33 is placed to the left of the matrix, indicating the question number.",4
252c0d81-4bbd-5b3a-b4f3-8f3eb8adad2f_q16.png,"Find the missing character in the set: 3, (?), 441.",(1) 8 (2) 9 (3) 7 (4) 21,pattern_recognition, 1-4,TRUE,"The diagram contains three sets of figures, each set consisting of three squares connected by lines to a central point. The central point is then connected to a rectangle below it. Each square contains a number, and each rectangle also contains a number. The first set has the top left square containing the number 10, the top right square containing the number 11, and the rectangle below containing the number 12100. The second set has the top left square containing the number 9, the top right square containing the number 10, and the rectangle below containing the number 8100. The third set has the top left square containing the number 3, the top right square containing a question mark (?), and the rectangle below containing the number 441. Below the diagram, there are four answer choices: (1) 8, (2) 9, (3) 7, and (4) 21.",3
e72e56ff-c0bd-5e30-9249-9b7d33888b70_q66.png,None,1. A 2. B 3. C 4. D,pattern_recognition, 1-4,TRUE,"The diagram contains a table with two columns labeled Column I and Column II. Column I is titled 'Sr. No. Word' and Column II is titled 'Code Equivalent'. There are four rows under these columns. The rows are labeled A, B, C, and D. The entries in Column I are as follows: A. CHAIR, B. PHONE, C. TROUPE, D. TOURIST. The corresponding entries in Column II are: A. YDWEN, B. SKRQH, C. GILFKV, D. WLXOLPW. Below the table, there is a question: 'If EMPLOY is coded as “AILHKU” the code pattern followed is Serial Number:' followed by four options: 1. A, 2. B, 3. C, 4. D.",1
165aa575-de1f-5a63-93b2-e8a8faebb645_q35.png,"In each of the following questions a group of three pictures are given. You have to find out the fourth picture. You have to select the answer from 1, 2, 3 or 4. 35.",(1) (2) (3) (4),pattern_recognition, 1-4,TRUE,"The diagram contains a sequence of images labeled A, B, C, and D, followed by four options labeled 1, 2, 3, and 4. Each image is enclosed in a rectangular box. 

Image A contains five vertical lines of varying lengths, all aligned to the left side of the box. 

Image B contains five vertical lines of varying lengths, all aligned to the right side of the box. 

Image C contains five circles of increasing size from left to right, aligned horizontally in the center of the box. 

Image D is an empty box with no content. 

Option 1 contains five vertical lines of varying lengths, all aligned to the left side of the box. 

Option 2 contains five vertical lines of varying lengths, all aligned to the right side of the box. 

Option 3 contains five circles of increasing size from left to right, aligned horizontally in the center of the box. 

Option 4 contains five circles of increasing size from left to right, aligned horizontally in the center of the box, similar to Option 3 but with a different arrangement.",4
9a95f038-2f41-52b3-95c8-55c641d361d2_q97.png,"In the following questions there are two problem figures followed by the answer figures labelled as A, B, C and D. The two problem figures have some common characteristics/features. Select the answer figure which has the same commonality.",(1) C (2) D (3) A (4) B,pattern_recognition, 1-4,TRUE,"The diagram contains a question with two problem figures followed by four answer figures labeled A, B, C, and D. The task is to select the answer figure which has the same commonality as the problem figures. The problem figures and answer figures are described as follows: 

Problem Figures: 
1. The first problem figure is a square containing a circle, which in turn contains a triangle. 
2. The second problem figure is a hexagon containing a circle, which in turn contains a square. 

Answer Figures: 
A. The first answer figure is a circle containing a square, which in turn contains a smaller square. 
B. The second answer figure is a hexagon containing a diamond, which in turn contains a smaller diamond. 
C. The third answer figure is a hexagon containing a circle, which in turn contains a triangle. 
D. The fourth answer figure is a square containing a circle, which in turn contains a pentagon. 

The options provided are: 
(1) C 
(2) D 
(3) A 
(4) B",2
55015239-9e39-5ef5-8673-362663f5db6f_q76.png,Directions (76–80) in the following questions left hands is problem figure in which there is one? On the right hand side are answer figures. Choose the correct option to replace the?,(A) (B) (C) (D),pattern_recognition,A-D,TRUE,"The diagram consists of a sequence of four squares arranged horizontally. Each square contains a different figure. The first square contains a triangle with a smaller triangle inside it. The second square contains a rectangle with the number 20 inside it. The third square contains a pentagon with the number 30 inside it. The fourth square contains a question mark. Below the sequence of squares, there is the number 76 indicating the question number.",D
3e8bce6f-34d2-5b8a-b637-9a719ceac599_q82.png,There is a definite relationship between figures A and B. Establish a similar relationship between figures C and D by selecting a suitable figure from the alternatives that would replace the question mark.,(A) 1 (B) 2 (C) 3 (D) 4,pattern_recognition,A-D,TRUE,"The diagram contains a problem statement and a series of figures. The problem statement reads: 'There is a definite relationship between figures A and B. Establish a similar relationship between figures C and D by selecting a suitable figure from the alternatives that would replace the question mark.' Below the problem statement, there are four main figures labeled A, B, C, and D arranged in a row from left to right. Figure A is a spiral starting from the center and moving outward in a clockwise direction. Figure B is a similar spiral but mirrored, starting from the center and moving outward in a counterclockwise direction. Figure C is a zigzag line with three peaks and two valleys, starting from the bottom left and ending at the top right. Figure D is a blank square with a question mark inside it. Below these main figures, there are four alternative figures labeled 1, 2, 3, and 4 arranged in a row from left to right. Figure 1 is a zigzag line with three peaks and two valleys, starting from the bottom left and ending at the top right, similar to Figure C. Figure 2 is a mirrored version of Figure 1, starting from the bottom right and ending at the top left. Figure 3 is a zigzag line with three peaks and two valleys, starting from the top left and ending at the bottom right. Figure 4 is a mirrored version of Figure 3, starting from the top right and ending at the bottom left.",D
c52f97cc-8d8c-5798-9202-84cf93f716cb_q48.png,Which group of numbers represents RINK?,"(1) 42, 79, 30, 78 (2) 10, 68, 43, 55 (3) 24, 87, 11, 89 (4) 01, 95, 22, 67",pattern_recognition, 1-4,TRUE,"The diagram contains two tables labeled 'Table I' and 'Table II'. Each table is a 5x5 grid with rows and columns numbered. In Table I, the rows and columns are numbered 0-4, and in Table II, the rows and columns are numbered 5-9. Each cell in the tables contains a single letter. The letters in Table I are as follows: 

Table I:
Row 0: A, R, V, N, D
Row 1: R, N, D, V, A
Row 2: D, V, N, A, R
Row 3: N, D, R, V, A
Row 4: V, A, R, D, N

Table II:
Row 5: K, I, L, E, T
Row 6: E, T, K, I, L
Row 7: K, E, T, I, L
Row 8: T, L, I, K, E
Row 9: I, E, T, L, K

In Table I, the letter 'R' in cell (0,1) and cell (4,2) are circled. In Table II, the letter 'K' in cell (5,5) and cell (7,5) are circled. Below the tables, there is a question labeled '48.' which asks: 'Which group of numbers represents RINK?' Four answer choices are provided: (1) 42, 79, 30, 78 (2) 10, 68, 43, 55 (3) 24, 87, 11, 89 (4) 01, 95, 22, 67.",4
