paper_id-input,sample_id-input,page_number-input,input_image_location-input,section_instruction-input,context-input,input_text_parsed-input,explanation-output,final_answer-output,final_answer_range-output,category-input
b109777c-e078-580a-b361-2d3f780b3766,q1,,['q1_0_c1.png'],,c1.png,,,,,
b109777c-e078-580a-b361-2d3f780b3766,q2,,['q2_0_c1.png'],,c1.png,,,,,
b109777c-e078-580a-b361-2d3f780b3766,q3,,['q3_0_c1.png'],,c1.png,,,,,
b109777c-e078-580a-b361-2d3f780b3766,q4,,['q4_0_c1.png'],,c1.png,,,,,
b109777c-e078-580a-b361-2d3f780b3766,q5,,['q5_0_c2.png'],,c2.png,,,,,
b109777c-e078-580a-b361-2d3f780b3766,q6,,['q6_0_c2.png'],,c2.png,,,,,
b109777c-e078-580a-b361-2d3f780b3766,q7,,['q7_0.png'],,NO_CONTEXT,,,,,
b109777c-e078-580a-b361-2d3f780b3766,q8,,['q8_0.png'],,NO_CONTEXT,,,,,
b109777c-e078-580a-b361-2d3f780b3766,q9,,['q9_0.png'],,NO_CONTEXT,,,,,
b109777c-e078-580a-b361-2d3f780b3766,q10,,['q10_0.png'],,NO_CONTEXT,,,,,
b109777c-e078-580a-b361-2d3f780b3766,q11,,['q11_0.png'],,NO_CONTEXT,,,,,
b109777c-e078-580a-b361-2d3f780b3766,q12,,['q12_0.png'],,NO_CONTEXT,,,,,
b109777c-e078-580a-b361-2d3f780b3766,q13,,['q13_0_c3.png'],,c3.png,,,,,
b109777c-e078-580a-b361-2d3f780b3766,q14,,['q14_0_c3.png'],,c3.png,,,,,
b109777c-e078-580a-b361-2d3f780b3766,q15,,['q15_0.png'],,NO_CONTEXT,,,,,
b109777c-e078-580a-b361-2d3f780b3766,q16,,['q16_0_c4.png'],,c4.png,,,,,
b109777c-e078-580a-b361-2d3f780b3766,q17,,['q17_0_c4.png'],,c4.png,,,,,
b109777c-e078-580a-b361-2d3f780b3766,q18,,['q18_0_c5.png'],,c5.png,,,,,
b109777c-e078-580a-b361-2d3f780b3766,q19,,['q19_0_c5.png'],,c5.png,,,,,
b109777c-e078-580a-b361-2d3f780b3766,q20,,['q20_0.png'],,NO_CONTEXT,,,,,
b109777c-e078-580a-b361-2d3f780b3766,q21,,['q21_0.png'],,NO_CONTEXT,,,,,
b109777c-e078-580a-b361-2d3f780b3766,q22,,['q22_0.png'],,NO_CONTEXT,,,,,
b109777c-e078-580a-b361-2d3f780b3766,q23,,['q23_0_c6.png'],,c6.png,,,,,
b109777c-e078-580a-b361-2d3f780b3766,q24,,['q24_0_c6.png'],,c6.png,,,,,
b109777c-e078-580a-b361-2d3f780b3766,q25,,['q25_0_c6.png'],,c6.png,,,,,
b109777c-e078-580a-b361-2d3f780b3766,q26,,['q26_0_c7.png'],,c7.png,,,,,
b109777c-e078-580a-b361-2d3f780b3766,q27,,['q27_0_c7.png'],,c7.png,,,,,
b109777c-e078-580a-b361-2d3f780b3766,q28,,['q28_0.png'],,NO_CONTEXT,,,,,
b109777c-e078-580a-b361-2d3f780b3766,q29,,['q29_0_c8.png'],,c8.png,,,,,
b109777c-e078-580a-b361-2d3f780b3766,q30,,['q30_0_c8.png'],,c8.png,,,,,
b109777c-e078-580a-b361-2d3f780b3766,q31,,['q31_0.png'],,NO_CONTEXT,,,,,
b109777c-e078-580a-b361-2d3f780b3766,q32,,['q32_0.png'],,NO_CONTEXT,,,,,
b109777c-e078-580a-b361-2d3f780b3766,q33,,['q33_0.png'],,NO_CONTEXT,,,,,
b109777c-e078-580a-b361-2d3f780b3766,q34,,['q34_0.png'],,NO_CONTEXT,,,,,
b109777c-e078-580a-b361-2d3f780b3766,q35,,['q35_0.png'],,NO_CONTEXT,,,,,
b109777c-e078-580a-b361-2d3f780b3766,q36,,['q36_0.png'],,NO_CONTEXT,,,,,
b109777c-e078-580a-b361-2d3f780b3766,q37,,['q37_0_c9.png'],,c9.png,,,,,
b109777c-e078-580a-b361-2d3f780b3766,q38,,['q38_0.png'],,NO_CONTEXT,,,,,
b109777c-e078-580a-b361-2d3f780b3766,q39,,['q39_0.png'],,NO_CONTEXT,,,,,
b109777c-e078-580a-b361-2d3f780b3766,q40,,['q40_0.png'],,NO_CONTEXT,,,,,
b109777c-e078-580a-b361-2d3f780b3766,q41,,['q41_0.png'],,NO_CONTEXT,,,,,
b109777c-e078-580a-b361-2d3f780b3766,q42,,['q42_0.png'],,NO_CONTEXT,,,,,
b109777c-e078-580a-b361-2d3f780b3766,q43,,['q43_0.png'],,NO_CONTEXT,,,,,
b109777c-e078-580a-b361-2d3f780b3766,q44,,['q44_0.png'],,NO_CONTEXT,,,,,
b109777c-e078-580a-b361-2d3f780b3766,q45,,['q45_0.png'],,NO_CONTEXT,,,,,
b109777c-e078-580a-b361-2d3f780b3766,q46,,['q46_0.png'],,NO_CONTEXT,,,,,
b109777c-e078-580a-b361-2d3f780b3766,q47,,['q47_0.png'],,NO_CONTEXT,,,,,
b109777c-e078-580a-b361-2d3f780b3766,q48,,['q48_0.png'],,NO_CONTEXT,,,,,
b109777c-e078-580a-b361-2d3f780b3766,q49,,['q49_0.png'],,NO_CONTEXT,,,,,
b109777c-e078-580a-b361-2d3f780b3766,q50,,['q50_0.png'],,NO_CONTEXT,,,,,
b109777c-e078-580a-b361-2d3f780b3766,q91,,['q91_0.png'],,NO_CONTEXT,,,,,
b109777c-e078-580a-b361-2d3f780b3766,q92,,['q92_0.png'],,NO_CONTEXT,,,,,
b109777c-e078-580a-b361-2d3f780b3766,q93,,['q93_0.png'],,NO_CONTEXT,,,,,
b109777c-e078-580a-b361-2d3f780b3766,q94,,['q94_0.png'],,NO_CONTEXT,,,,,
b109777c-e078-580a-b361-2d3f780b3766,q95,,['q95_0.png'],,NO_CONTEXT,,,,,
b109777c-e078-580a-b361-2d3f780b3766,q96,,['q96_0.png'],,NO_CONTEXT,,,,,
b109777c-e078-580a-b361-2d3f780b3766,q97,,['q97_0.png'],,NO_CONTEXT,,,,,
b109777c-e078-580a-b361-2d3f780b3766,q98,,['q98_0.png'],,NO_CONTEXT,,,,,
b109777c-e078-580a-b361-2d3f780b3766,q99,,['q99_0.png'],,NO_CONTEXT,,,,,
b109777c-e078-580a-b361-2d3f780b3766,q100,,['q100_0.png'],,NO_CONTEXT,,,,,
b109777c-e078-580a-b361-2d3f780b3766,q101,,['q101_0.png'],,NO_CONTEXT,,,,,
b109777c-e078-580a-b361-2d3f780b3766,q102,,['q102_0.png'],,NO_CONTEXT,,,,,
b109777c-e078-580a-b361-2d3f780b3766,q103,,['q103_0.png'],,NO_CONTEXT,,,,,
b109777c-e078-580a-b361-2d3f780b3766,q104,,['q104_0.png'],,NO_CONTEXT,,,,,
b109777c-e078-580a-b361-2d3f780b3766,q105,,['q105_0.png'],,NO_CONTEXT,,,,,
b109777c-e078-580a-b361-2d3f780b3766,q106,,['q106_0.png'],,NO_CONTEXT,,,,,
b109777c-e078-580a-b361-2d3f780b3766,q107,,['q107_0.png'],,NO_CONTEXT,,,,,
b109777c-e078-580a-b361-2d3f780b3766,q108,,['q108_0.png'],,NO_CONTEXT,,,,,
b109777c-e078-580a-b361-2d3f780b3766,q109,,['q109_0.png'],,NO_CONTEXT,,,,,
b109777c-e078-580a-b361-2d3f780b3766,q110,,['q110_0.png'],,NO_CONTEXT,,,,,
