paper_id-input,sample_id-input,page_number-input,input_image_location-input,section_instruction-input,context-input,input_text_parsed-input,explanation-output,final_answer-output,final_answer_range-output,category-input
95a2fa96-be03-50f8-b367-f6e887c8dfea,q1,,['q1_0_c1.png'],,c1.png,,,,,
95a2fa96-be03-50f8-b367-f6e887c8dfea,q2,,['q2_0_c1.png'],,c1.png,,,,,
95a2fa96-be03-50f8-b367-f6e887c8dfea,q3,,['q3_0_c1.png'],,c1.png,,,,,
95a2fa96-be03-50f8-b367-f6e887c8dfea,q4,,['q4_0_c1.png'],,c1.png,,,,,
95a2fa96-be03-50f8-b367-f6e887c8dfea,q5,,['q5_0_c1.png'],,c1.png,,,,,
95a2fa96-be03-50f8-b367-f6e887c8dfea,q6,,['q6_0_c2.png'],,c2.png,,,,,
95a2fa96-be03-50f8-b367-f6e887c8dfea,q7,,['q7_0_c2.png'],,c2.png,,,,,
95a2fa96-be03-50f8-b367-f6e887c8dfea,q8,,['q8_0_c2.png'],,c2.png,,,,,
95a2fa96-be03-50f8-b367-f6e887c8dfea,q9,,['q9_0_c2.png'],,c2.png,,,,,
95a2fa96-be03-50f8-b367-f6e887c8dfea,q10,,['q10_0_c2.png'],,c2.png,,,,,
95a2fa96-be03-50f8-b367-f6e887c8dfea,q11,,['q11_0_c3.png'],,c3.png,,,,,
95a2fa96-be03-50f8-b367-f6e887c8dfea,q12,,['q12_0_c3.png'],,c3.png,,,,,
95a2fa96-be03-50f8-b367-f6e887c8dfea,q13,,['q13_0_c3.png'],,c3.png,,,,,
95a2fa96-be03-50f8-b367-f6e887c8dfea,q14,,['q14_0_c3.png'],,c3.png,,,,,
95a2fa96-be03-50f8-b367-f6e887c8dfea,q15,,['q15_0_c3.png'],,c3.png,,,,,
95a2fa96-be03-50f8-b367-f6e887c8dfea,q16,,['q16_0_c4.png'],,c4.png,,,,,
95a2fa96-be03-50f8-b367-f6e887c8dfea,q17,,['q17_0_c4.png'],,c4.png,,,,,
95a2fa96-be03-50f8-b367-f6e887c8dfea,q18,,['q18_0_c4.png'],,c4.png,,,,,
95a2fa96-be03-50f8-b367-f6e887c8dfea,q19,,['q19_0_c4.png'],,c4.png,,,,,
95a2fa96-be03-50f8-b367-f6e887c8dfea,q20,,['q20_0_c4.png'],,c4.png,,,,,
95a2fa96-be03-50f8-b367-f6e887c8dfea,q21,,['q21_0_c5.png'],,c5.png,,,,,
95a2fa96-be03-50f8-b367-f6e887c8dfea,q22,,['q22_0_c5.png'],,c5.png,,,,,
95a2fa96-be03-50f8-b367-f6e887c8dfea,q23,,['q23_0_c5.png'],,c5.png,,,,,
95a2fa96-be03-50f8-b367-f6e887c8dfea,q24,,['q24_0_c5.png'],,c5.png,,,,,
95a2fa96-be03-50f8-b367-f6e887c8dfea,q25,,['q25_0_c5.png'],,c5.png,,,,,
95a2fa96-be03-50f8-b367-f6e887c8dfea,q26,,['q26_0_c6.png'],,c6.png,,,,,
95a2fa96-be03-50f8-b367-f6e887c8dfea,q27,,['q27_0_c6.png'],,c6.png,,,,,
95a2fa96-be03-50f8-b367-f6e887c8dfea,q28,,['q28_0_c6.png'],,c6.png,,,,,
95a2fa96-be03-50f8-b367-f6e887c8dfea,q29,,['q29_0_c6.png'],,c6.png,,,,,
95a2fa96-be03-50f8-b367-f6e887c8dfea,q30,,['q30_0_c6.png'],,c6.png,,,,,
95a2fa96-be03-50f8-b367-f6e887c8dfea,q31,,['q31_0_c7.png'],,c7.png,,,,,
95a2fa96-be03-50f8-b367-f6e887c8dfea,q32,,['q32_0_c7.png'],,c7.png,,,,,
95a2fa96-be03-50f8-b367-f6e887c8dfea,q33,,['q33_0_c7.png'],,c7.png,,,,,
95a2fa96-be03-50f8-b367-f6e887c8dfea,q34,,['q34_0_c7.png'],,c7.png,,,,,
95a2fa96-be03-50f8-b367-f6e887c8dfea,q35,,['q35_0_c7.png'],,c7.png,,,,,
95a2fa96-be03-50f8-b367-f6e887c8dfea,q36,,['q36_0_c8.png'],,c8.png,,,,,
95a2fa96-be03-50f8-b367-f6e887c8dfea,q37,,['q37_0_c8.png'],,c8.png,,,,,
95a2fa96-be03-50f8-b367-f6e887c8dfea,q38,,['q38_0_c8.png'],,c8.png,,,,,
95a2fa96-be03-50f8-b367-f6e887c8dfea,q39,,['q39_0_c8.png'],,c8.png,,,,,
95a2fa96-be03-50f8-b367-f6e887c8dfea,q40,,['q40_0_c8.png'],,c8.png,,,,,
95a2fa96-be03-50f8-b367-f6e887c8dfea,q41,,['q41_0_c9.png'],,c9.png,,,,,
95a2fa96-be03-50f8-b367-f6e887c8dfea,q42,,['q42_0_c9.png'],,c9.png,,,,,
95a2fa96-be03-50f8-b367-f6e887c8dfea,q43,,['q43_0_c9.png'],,c9.png,,,,,
95a2fa96-be03-50f8-b367-f6e887c8dfea,q44,,['q44_0_c9.png'],,c9.png,,,,,
95a2fa96-be03-50f8-b367-f6e887c8dfea,q45,,['q45_0_c9.png'],,c9.png,,,,,
95a2fa96-be03-50f8-b367-f6e887c8dfea,q46,,['q46_0_c10.png'],,c10.png,,,,,
95a2fa96-be03-50f8-b367-f6e887c8dfea,q47,,['q47_0_c10.png'],,c10.png,,,,,
95a2fa96-be03-50f8-b367-f6e887c8dfea,q48,,['q48_0_c10.png'],,c10.png,,,,,
95a2fa96-be03-50f8-b367-f6e887c8dfea,q49,,['q49_0_c10.png'],,c10.png,,,,,
