paper_id-input,sample_id-input,page_number-input,input_image_location-input,section_instruction-input,context-input,input_text_parsed-input,explanation-output,final_answer-output,final_answer_range-output,category-input
6d82ebee-3bd5-5a8e-805e-bb35a08900b6,q1,,['q1_0.png'],,[],,,,,
6d82ebee-3bd5-5a8e-805e-bb35a08900b6,q2,,['q2_0.png'],,[],,,,,
6d82ebee-3bd5-5a8e-805e-bb35a08900b6,q3,,['q3_0.png'],,[],,,,,
6d82ebee-3bd5-5a8e-805e-bb35a08900b6,q4,,['q4_0.png'],,[],,,,,
6d82ebee-3bd5-5a8e-805e-bb35a08900b6,q5,,['q5_0.png'],,[],,,,,
6d82ebee-3bd5-5a8e-805e-bb35a08900b6,q6,,['q6_0.png'],,[],,,,,
6d82ebee-3bd5-5a8e-805e-bb35a08900b6,q7,,['q7_0.png'],,[],,,,,
6d82ebee-3bd5-5a8e-805e-bb35a08900b6,q8,,['q8_0.png'],,[],,,,,
6d82ebee-3bd5-5a8e-805e-bb35a08900b6,q9,,['q9_0.png'],,[],,,,,
6d82ebee-3bd5-5a8e-805e-bb35a08900b6,q10,,['q10_0.png'],,[],,,,,
6d82ebee-3bd5-5a8e-805e-bb35a08900b6,q11,,['q11_0_c1.png'],,['c1.png'],,,,,
6d82ebee-3bd5-5a8e-805e-bb35a08900b6,q12,,['q12_0_c1.png'],,['c1.png'],,,,,
6d82ebee-3bd5-5a8e-805e-bb35a08900b6,q13,,['q13_0_c1.png'],,['c1.png'],,,,,
6d82ebee-3bd5-5a8e-805e-bb35a08900b6,q14,,['q14_0.png'],,[],,,,,
6d82ebee-3bd5-5a8e-805e-bb35a08900b6,q15,,['q15_0.png'],,[],,,,,
6d82ebee-3bd5-5a8e-805e-bb35a08900b6,q16,,['q16_0.png'],,[],,,,,
6d82ebee-3bd5-5a8e-805e-bb35a08900b6,q17,,['q17_0.png'],,[],,,,,
6d82ebee-3bd5-5a8e-805e-bb35a08900b6,q18,,['q18_0_c2.png'],,['c2.png'],,,,,
6d82ebee-3bd5-5a8e-805e-bb35a08900b6,q19,,['q19_0_c2.png'],,['c2.png'],,,,,
6d82ebee-3bd5-5a8e-805e-bb35a08900b6,q20,,['q20_0_c2.png'],,['c2.png'],,,,,
6d82ebee-3bd5-5a8e-805e-bb35a08900b6,q21,,['q21_0_c3.png'],,['c3.png'],,,,,
6d82ebee-3bd5-5a8e-805e-bb35a08900b6,q22,,['q22_0_c3.png'],,['c3.png'],,,,,
6d82ebee-3bd5-5a8e-805e-bb35a08900b6,q23,,['q23_0_c3.png'],,['c3.png'],,,,,
6d82ebee-3bd5-5a8e-805e-bb35a08900b6,q24,,['q24_0_c3.png'],,['c3.png'],,,,,
6d82ebee-3bd5-5a8e-805e-bb35a08900b6,q25,,['q25_0_c3.png'],,['c3.png'],,,,,
6d82ebee-3bd5-5a8e-805e-bb35a08900b6,q26,,['q26_0_c4.png'],,['c4.png'],,,,,
6d82ebee-3bd5-5a8e-805e-bb35a08900b6,q27,,['q27_0_c4.png'],,['c4.png'],,,,,
6d82ebee-3bd5-5a8e-805e-bb35a08900b6,q28,,['q28_0_c4.png'],,['c4.png'],,,,,
6d82ebee-3bd5-5a8e-805e-bb35a08900b6,q29,,['q29_0_c4.png'],,['c4.png'],,,,,
6d82ebee-3bd5-5a8e-805e-bb35a08900b6,q30,,['q30_0_c4.png'],,['c4.png'],,,,,
6d82ebee-3bd5-5a8e-805e-bb35a08900b6,q31,,['q31_0_c5.png'],,['c5.png'],,,,,
6d82ebee-3bd5-5a8e-805e-bb35a08900b6,q32,,['q32_0_c5.png'],,['c5.png'],,,,,
6d82ebee-3bd5-5a8e-805e-bb35a08900b6,q33,,['q33_0.png'],,[],,,,,
6d82ebee-3bd5-5a8e-805e-bb35a08900b6,q34,,['q34_0.png'],,[],,,,,
6d82ebee-3bd5-5a8e-805e-bb35a08900b6,q35,,['q35_0.png'],,[],,,,,
6d82ebee-3bd5-5a8e-805e-bb35a08900b6,q36,,['q36_0.png'],,[],,,,,
6d82ebee-3bd5-5a8e-805e-bb35a08900b6,q37,,['q37_0_c6.png'],,['c6.png'],,,,,
6d82ebee-3bd5-5a8e-805e-bb35a08900b6,q38,,['q38_0_c6.png'],,['c6.png'],,,,,
6d82ebee-3bd5-5a8e-805e-bb35a08900b6,q39,,['q39_0.png'],,[],,,,,
6d82ebee-3bd5-5a8e-805e-bb35a08900b6,q40,,"['q40_0.png', 'q40_1.png']",,[],,,,,
6d82ebee-3bd5-5a8e-805e-bb35a08900b6,q41,,['q41_0.png'],,[],,,,,
6d82ebee-3bd5-5a8e-805e-bb35a08900b6,q42,,['q42_0.png'],,[],,,,,
6d82ebee-3bd5-5a8e-805e-bb35a08900b6,q43,,['q43_0.png'],,[],,,,,
6d82ebee-3bd5-5a8e-805e-bb35a08900b6,q44,,['q44_0.png'],,[],,,,,
6d82ebee-3bd5-5a8e-805e-bb35a08900b6,q45,,['q45_0.png'],,[],,,,,
6d82ebee-3bd5-5a8e-805e-bb35a08900b6,q46,,['q46_0.png'],,[],,,,,
6d82ebee-3bd5-5a8e-805e-bb35a08900b6,q47,,['q47_0.png'],,[],,,,,
6d82ebee-3bd5-5a8e-805e-bb35a08900b6,q48,,['q48_0.png'],,[],,,,,
6d82ebee-3bd5-5a8e-805e-bb35a08900b6,q49,,['q49_0.png'],,[],,,,,
6d82ebee-3bd5-5a8e-805e-bb35a08900b6,q50,,['q50_0.png'],,[],,,,,
