paper_id-input,sample_id-input,page_number-input,input_image_location-input,section_instruction-input,context-input,input_text_parsed-input,explanation-output,final_answer-output,final_answer_range-output,category-input
a201e117-4fd1-5658-99e3-e915c6db15ab,q81,,['q81_0.png'],,NO_CONTEXT,,,,,
a201e117-4fd1-5658-99e3-e915c6db15ab,q82,,['q82_0.png'],,NO_CONTEXT,,,,,
a201e117-4fd1-5658-99e3-e915c6db15ab,q83,,['q83_0.png'],,NO_CONTEXT,,,,,
a201e117-4fd1-5658-99e3-e915c6db15ab,q84,,['q84_0.png'],,NO_CONTEXT,,,,,
a201e117-4fd1-5658-99e3-e915c6db15ab,q85,,['q85_0.png'],,NO_CONTEXT,,,,,
a201e117-4fd1-5658-99e3-e915c6db15ab,q86,,['q86_0.png'],,NO_CONTEXT,,,,,
a201e117-4fd1-5658-99e3-e915c6db15ab,q87,,['q87_0.png'],,NO_CONTEXT,,,,,
a201e117-4fd1-5658-99e3-e915c6db15ab,q88,,['q88_0.png'],,NO_CONTEXT,,,,,
a201e117-4fd1-5658-99e3-e915c6db15ab,q89,,['q89_0.png'],,NO_CONTEXT,,,,,
a201e117-4fd1-5658-99e3-e915c6db15ab,q90,,['q90_0.png'],,NO_CONTEXT,,,,,
a201e117-4fd1-5658-99e3-e915c6db15ab,q91,,['q91_0.png'],,NO_CONTEXT,,,,,
a201e117-4fd1-5658-99e3-e915c6db15ab,q92,,['q92_0.png'],,NO_CONTEXT,,,,,
a201e117-4fd1-5658-99e3-e915c6db15ab,q93,,['q93_0.png'],,NO_CONTEXT,,,,,
a201e117-4fd1-5658-99e3-e915c6db15ab,q94,,['q94_0.png'],,NO_CONTEXT,,,,,
a201e117-4fd1-5658-99e3-e915c6db15ab,q95,,['q95_0.png'],,NO_CONTEXT,,,,,
a201e117-4fd1-5658-99e3-e915c6db15ab,q96,,['q96_0.png'],,NO_CONTEXT,,,,,
a201e117-4fd1-5658-99e3-e915c6db15ab,q97,,['q97_0.png'],,NO_CONTEXT,,,,,
a201e117-4fd1-5658-99e3-e915c6db15ab,q98,,['q98_0.png'],,NO_CONTEXT,,,,,
a201e117-4fd1-5658-99e3-e915c6db15ab,q99,,['q99_0.png'],,NO_CONTEXT,,,,,
a201e117-4fd1-5658-99e3-e915c6db15ab,q100,,['q100_0.png'],,NO_CONTEXT,,,,,
