paper_id-input,sample_id-input,page_number-input,input_image_location-input,section_instruction-input,context-input,input_text_parsed-input,explanation-output,final_answer-output,final_answer_range-output,category-input
6664768e-a532-5606-ab07-7358e7f50edf,q1,,['q1_0.png'],,[],,,,,
6664768e-a532-5606-ab07-7358e7f50edf,q2,,['q2_0.png'],,[],,,,,
6664768e-a532-5606-ab07-7358e7f50edf,q3,,['q3_0.png'],,[],,,,,
6664768e-a532-5606-ab07-7358e7f50edf,q4,,['q4_0.png'],,[],,,,,
6664768e-a532-5606-ab07-7358e7f50edf,q5,,['q5_0.png'],,[],,,,,
6664768e-a532-5606-ab07-7358e7f50edf,q6,,['q6_0.png'],,[],,,,,
6664768e-a532-5606-ab07-7358e7f50edf,q7,,['q7_0.png'],,[],,,,,
6664768e-a532-5606-ab07-7358e7f50edf,q8,,['q8_0.png'],,[],,,,,
6664768e-a532-5606-ab07-7358e7f50edf,q9,,"['q9_0.png', 'q9_1.png']",,[],,,,,
6664768e-a532-5606-ab07-7358e7f50edf,q10,,['q10_0.png'],,[],,,,,
6664768e-a532-5606-ab07-7358e7f50edf,q11,,['q11_0.png'],,[],,,,,
6664768e-a532-5606-ab07-7358e7f50edf,q12,,['q12_0.png'],,[],,,,,
6664768e-a532-5606-ab07-7358e7f50edf,q13,,['q13_0.png'],,[],,,,,
6664768e-a532-5606-ab07-7358e7f50edf,q14,,['q14_0.png'],,[],,,,,
6664768e-a532-5606-ab07-7358e7f50edf,q15,,['q15_0.png'],,[],,,,,
6664768e-a532-5606-ab07-7358e7f50edf,q16,,['q16_0.png'],,[],,,,,
6664768e-a532-5606-ab07-7358e7f50edf,q17,,['q17_0.png'],,[],,,,,
6664768e-a532-5606-ab07-7358e7f50edf,q18,,['q18_0_c1.png'],,['c1.png'],,,,,
6664768e-a532-5606-ab07-7358e7f50edf,q19,,['q19_0_c1.png'],,['c1.png'],,,,,
6664768e-a532-5606-ab07-7358e7f50edf,q20,,['q20_0.png'],,[],,,,,
6664768e-a532-5606-ab07-7358e7f50edf,q21,,['q21_0_c2.png'],,['c2.png'],,,,,
6664768e-a532-5606-ab07-7358e7f50edf,q22,,['q22_0_c2.png'],,['c2.png'],,,,,
6664768e-a532-5606-ab07-7358e7f50edf,q23,,['q23_0_c3.png'],,['c3.png'],,,,,
6664768e-a532-5606-ab07-7358e7f50edf,q24,,['q24_0_c3.png'],,['c3.png'],,,,,
6664768e-a532-5606-ab07-7358e7f50edf,q25,,['q25_0_c3.png'],,['c3.png'],,,,,
6664768e-a532-5606-ab07-7358e7f50edf,q26,,['q26_0.png'],,[],,,,,
6664768e-a532-5606-ab07-7358e7f50edf,q27,,['q27_0.png'],,[],,,,,
6664768e-a532-5606-ab07-7358e7f50edf,q28,,['q28_0.png'],,[],,,,,
6664768e-a532-5606-ab07-7358e7f50edf,q29,,['q29_0.png'],,[],,,,,
6664768e-a532-5606-ab07-7358e7f50edf,q30,,['q30_0.png'],,[],,,,,
6664768e-a532-5606-ab07-7358e7f50edf,q33,,['q33_0_c4.png'],,['c4.png'],,,,,
6664768e-a532-5606-ab07-7358e7f50edf,q34,,['q34_0_c4.png'],,['c4.png'],,,,,
6664768e-a532-5606-ab07-7358e7f50edf,q35,,['q35_0_c5.png'],,['c5.png'],,,,,
6664768e-a532-5606-ab07-7358e7f50edf,q36,,['q36_0_c6.png'],,['c6.png'],,,,,
6664768e-a532-5606-ab07-7358e7f50edf,q37,,['q37_0_c6.png'],,['c6.png'],,,,,
6664768e-a532-5606-ab07-7358e7f50edf,q38,,['q38_0.png'],,[],,,,,
6664768e-a532-5606-ab07-7358e7f50edf,q39,,"['q39_0.png', 'q39_1.png']",,[],,,,,
6664768e-a532-5606-ab07-7358e7f50edf,q40,,['q40_0.png'],,[],,,,,
6664768e-a532-5606-ab07-7358e7f50edf,q41,,['q41_0.png'],,[],,,,,
6664768e-a532-5606-ab07-7358e7f50edf,q42,,"['q42_0.png', 'q42_1.png']",,[],,,,,
6664768e-a532-5606-ab07-7358e7f50edf,q43,,['q43_0.png'],,[],,,,,
6664768e-a532-5606-ab07-7358e7f50edf,q44,,"['q44_0.png', 'q44_1.png']",,[],,,,,
6664768e-a532-5606-ab07-7358e7f50edf,q45,,['q45_0_c7.png'],,['c7.png'],,,,,
6664768e-a532-5606-ab07-7358e7f50edf,q46,,['q46_0_c7.png'],,['c7.png'],,,,,
6664768e-a532-5606-ab07-7358e7f50edf,q47,,['q47_0.png'],,[],,,,,
6664768e-a532-5606-ab07-7358e7f50edf,q48,,['q48_0.png'],,[],,,,,
6664768e-a532-5606-ab07-7358e7f50edf,q49,,['q49_0.png'],,[],,,,,
6664768e-a532-5606-ab07-7358e7f50edf,q50,,['q50_0.png'],,[],,,,,
