paper_id-input,sample_id-input,page_number-input,input_image_location-input,section_instruction-input,context-input,input_text_parsed-input,explanation-output,final_answer-output,final_answer_range-output,category-input
6664768e-a532-5606-ab07-7358e7f50edf,q1,1,['q1_0.png'],,[],,,3,1-4,
6664768e-a532-5606-ab07-7358e7f50edf,q2,1,['q2_0.png'],,[],,,3,1-4,
6664768e-a532-5606-ab07-7358e7f50edf,q3,1,['q3_0.png'],,[],,,3,1-4,
6664768e-a532-5606-ab07-7358e7f50edf,q4,1,['q4_0.png'],,[],,,1,1-4,
6664768e-a532-5606-ab07-7358e7f50edf,q5,1,['q5_0.png'],,[],,,4,1-4,
6664768e-a532-5606-ab07-7358e7f50edf,q6,1,['q6_0.png'],,[],,,2,1-4,
6664768e-a532-5606-ab07-7358e7f50edf,q7,1,['q7_0.png'],,[],,,4,1-4,
6664768e-a532-5606-ab07-7358e7f50edf,q8,1,['q8_0.png'],,[],,,2,1-4,
6664768e-a532-5606-ab07-7358e7f50edf,q9,1,"['q9_0.png', 'q9_1.png']",,[],,,2,1-4,
6664768e-a532-5606-ab07-7358e7f50edf,q10,2,['q10_0.png'],,[],,,1,1-4,
6664768e-a532-5606-ab07-7358e7f50edf,q11,2,['q11_0.png'],,[],,,,1-4,
6664768e-a532-5606-ab07-7358e7f50edf,q12,2,['q12_0.png'],,[],,,4,1-4,
6664768e-a532-5606-ab07-7358e7f50edf,q13,2,['q13_0.png'],,[],,,,1-4,
6664768e-a532-5606-ab07-7358e7f50edf,q14,3,['q14_0.png'],,[],,,3,1-4,
6664768e-a532-5606-ab07-7358e7f50edf,q15,3,['q15_0.png'],,[],,,2,1-4,
6664768e-a532-5606-ab07-7358e7f50edf,q16,3,['q16_0.png'],,[],,,"[1,3]",1-4,
6664768e-a532-5606-ab07-7358e7f50edf,q17,3,['q17_0.png'],,[],,,4,1-4,
6664768e-a532-5606-ab07-7358e7f50edf,q18,4,['q18_0_c1.png'],,['c1.png'],,,3,1-4,
6664768e-a532-5606-ab07-7358e7f50edf,q19,4,['q19_0_c1.png'],,['c1.png'],,,2,1-4,
6664768e-a532-5606-ab07-7358e7f50edf,q20,4,['q20_0.png'],,[],,,4,1-4,
6664768e-a532-5606-ab07-7358e7f50edf,q21,4,['q21_0_c2.png'],,['c2.png'],,,1,1-4,
6664768e-a532-5606-ab07-7358e7f50edf,q22,4,['q22_0_c2.png'],,['c2.png'],,,4,1-4,
6664768e-a532-5606-ab07-7358e7f50edf,q23,5,['q23_0_c3.png'],,['c3.png'],,,4,1-4,
6664768e-a532-5606-ab07-7358e7f50edf,q24,5,['q24_0_c3.png'],,['c3.png'],,,4,1-4,
6664768e-a532-5606-ab07-7358e7f50edf,q25,5,['q25_0_c3.png'],,['c3.png'],,,2,1-4,
6664768e-a532-5606-ab07-7358e7f50edf,q26,5,['q26_0.png'],,[],,,2,1-4,
6664768e-a532-5606-ab07-7358e7f50edf,q27,5,['q27_0.png'],,[],,,1,1-4,
6664768e-a532-5606-ab07-7358e7f50edf,q28,5,['q28_0.png'],,[],,,4,1-4,
6664768e-a532-5606-ab07-7358e7f50edf,q29,5,['q29_0.png'],,[],,,1,1-4,
6664768e-a532-5606-ab07-7358e7f50edf,q30,5,['q30_0.png'],,[],,,4,1-4,
6664768e-a532-5606-ab07-7358e7f50edf,q33,6,['q33_0_c4.png'],,['c4.png'],,,4,1-4,
6664768e-a532-5606-ab07-7358e7f50edf,q34,6,['q34_0_c4.png'],,['c4.png'],,,4,1-4,
6664768e-a532-5606-ab07-7358e7f50edf,q35,6,['q35_0_c5.png'],,['c5.png'],,,4,1-4,
6664768e-a532-5606-ab07-7358e7f50edf,q36,7,['q36_0_c6.png'],,['c6.png'],,,1,1-4,
6664768e-a532-5606-ab07-7358e7f50edf,q37,7,['q37_0_c6.png'],,['c6.png'],,,2,1-4,
6664768e-a532-5606-ab07-7358e7f50edf,q38,7,['q38_0.png'],,[],,,2,1-4,
6664768e-a532-5606-ab07-7358e7f50edf,q39,8,"['q39_0.png', 'q39_1.png']",,[],,,4,1-4,
6664768e-a532-5606-ab07-7358e7f50edf,q40,8,['q40_0.png'],,[],,,3,1-4,
6664768e-a532-5606-ab07-7358e7f50edf,q41,8,['q41_0.png'],,[],,,1,1-4,
6664768e-a532-5606-ab07-7358e7f50edf,q42,9,"['q42_0.png', 'q42_1.png']",,[],,,1,1-4,
6664768e-a532-5606-ab07-7358e7f50edf,q43,9,['q43_0.png'],,[],,,3,1-4,
6664768e-a532-5606-ab07-7358e7f50edf,q44,10,"['q44_0.png', 'q44_1.png']",,[],,,3,1-4,
6664768e-a532-5606-ab07-7358e7f50edf,q45,10,['q45_0_c7.png'],,['c7.png'],,,3,1-4,
6664768e-a532-5606-ab07-7358e7f50edf,q46,10,['q46_0_c7.png'],,['c7.png'],,,1,1-4,
6664768e-a532-5606-ab07-7358e7f50edf,q47,11,['q47_0.png'],,[],,,1,1-4,
6664768e-a532-5606-ab07-7358e7f50edf,q48,11,['q48_0.png'],,[],,,2,1-4,
6664768e-a532-5606-ab07-7358e7f50edf,q49,11,['q49_0.png'],,[],,,2,1-4,
6664768e-a532-5606-ab07-7358e7f50edf,q50,11,['q50_0.png'],,[],,,2,1-4,
