paper_id-input,sample_id-input,page_number-input,input_image_location-input,section_instruction-input,context-input,input_text_parsed-input,explanation-output,final_answer-output,final_answer_range-output,category-input
ff05b5f3-69f8-5378-ae4c-5e2ee8ec9b50,q41,,['q41_0.png'],,NO_CONTEXT,,,,,
ff05b5f3-69f8-5378-ae4c-5e2ee8ec9b50,q42,,['q42_0.png'],,NO_CONTEXT,,,,,
ff05b5f3-69f8-5378-ae4c-5e2ee8ec9b50,q43,,['q43_0.png'],,NO_CONTEXT,,,,,
ff05b5f3-69f8-5378-ae4c-5e2ee8ec9b50,q44,,['q44_0.png'],,NO_CONTEXT,,,,,
ff05b5f3-69f8-5378-ae4c-5e2ee8ec9b50,q45,,['q45_0.png'],,NO_CONTEXT,,,,,
ff05b5f3-69f8-5378-ae4c-5e2ee8ec9b50,q46,,['q46_0.png'],,NO_CONTEXT,,,,,
ff05b5f3-69f8-5378-ae4c-5e2ee8ec9b50,q47,,['q47_0.png'],,NO_CONTEXT,,,,,
ff05b5f3-69f8-5378-ae4c-5e2ee8ec9b50,q48,,['q48_0.png'],,NO_CONTEXT,,,,,
ff05b5f3-69f8-5378-ae4c-5e2ee8ec9b50,q49,,['q49_0.png'],,NO_CONTEXT,,,,,
ff05b5f3-69f8-5378-ae4c-5e2ee8ec9b50,q50,,['q50_0.png'],,NO_CONTEXT,,,,,
ff05b5f3-69f8-5378-ae4c-5e2ee8ec9b50,q51,,['q51_0.png'],,NO_CONTEXT,,,,,
ff05b5f3-69f8-5378-ae4c-5e2ee8ec9b50,q52,,['q52_0.png'],,NO_CONTEXT,,,,,
ff05b5f3-69f8-5378-ae4c-5e2ee8ec9b50,q53,,['q53_0.png'],,NO_CONTEXT,,,,,
ff05b5f3-69f8-5378-ae4c-5e2ee8ec9b50,q54,,['q54_0.png'],,NO_CONTEXT,,,,,
ff05b5f3-69f8-5378-ae4c-5e2ee8ec9b50,q55,,['q55_0.png'],,NO_CONTEXT,,,,,
ff05b5f3-69f8-5378-ae4c-5e2ee8ec9b50,q56,,['q56_0.png'],,NO_CONTEXT,,,,,
ff05b5f3-69f8-5378-ae4c-5e2ee8ec9b50,q57,,['q57_0.png'],,NO_CONTEXT,,,,,
ff05b5f3-69f8-5378-ae4c-5e2ee8ec9b50,q58,,['q58_0.png'],,NO_CONTEXT,,,,,
ff05b5f3-69f8-5378-ae4c-5e2ee8ec9b50,q59,,['q59_0.png'],,NO_CONTEXT,,,,,
ff05b5f3-69f8-5378-ae4c-5e2ee8ec9b50,q60,,['q60_0.png'],,NO_CONTEXT,,,,,
