paper_id-input,sample_id-input,page_number-input,input_image_location-input,section_instruction-input,context-input,input_text_parsed-input,explanation-output,final_answer-output,final_answer_range-output,category-input
cd9271d5-90db-5cb8-bee2-9f870bd2410a,q1,,['q1_0.png'],,NO_CONTEXT,,,,,
cd9271d5-90db-5cb8-bee2-9f870bd2410a,q2,,['q2_0.png'],,NO_CONTEXT,,,,,
cd9271d5-90db-5cb8-bee2-9f870bd2410a,q3,,['q3_0.png'],,NO_CONTEXT,,,,,
cd9271d5-90db-5cb8-bee2-9f870bd2410a,q4,,['q4_0.png'],,NO_CONTEXT,,,,,
cd9271d5-90db-5cb8-bee2-9f870bd2410a,q5,,['q5_0.png'],,NO_CONTEXT,,,,,
cd9271d5-90db-5cb8-bee2-9f870bd2410a,q6,,['q6_0.png'],,NO_CONTEXT,,,,,
cd9271d5-90db-5cb8-bee2-9f870bd2410a,q7,,['q7_0.png'],,NO_CONTEXT,,,,,
cd9271d5-90db-5cb8-bee2-9f870bd2410a,q8,,['q8_0.png'],,NO_CONTEXT,,,,,
cd9271d5-90db-5cb8-bee2-9f870bd2410a,q9,,['q9_0.png'],,NO_CONTEXT,,,,,
cd9271d5-90db-5cb8-bee2-9f870bd2410a,q10,,['q10_0.png'],,NO_CONTEXT,,,,,
cd9271d5-90db-5cb8-bee2-9f870bd2410a,q11,,['q11_0_c1.png'],,c1.png,,,,,
cd9271d5-90db-5cb8-bee2-9f870bd2410a,q12,,['q12_0_c1.png'],,c1.png,,,,,
cd9271d5-90db-5cb8-bee2-9f870bd2410a,q13,,['q13_0.png'],,NO_CONTEXT,,,,,
cd9271d5-90db-5cb8-bee2-9f870bd2410a,q14,,['q14_0.png'],,NO_CONTEXT,,,,,
cd9271d5-90db-5cb8-bee2-9f870bd2410a,q15,,['q15_0.png'],,NO_CONTEXT,,,,,
cd9271d5-90db-5cb8-bee2-9f870bd2410a,q16,,['q16_0_c2.png'],,c2.png,,,,,
cd9271d5-90db-5cb8-bee2-9f870bd2410a,q17,,['q17_0_c2.png'],,c2.png,,,,,
cd9271d5-90db-5cb8-bee2-9f870bd2410a,q18,,['q18_0_c2.png'],,c2.png,,,,,
cd9271d5-90db-5cb8-bee2-9f870bd2410a,q19,,['q19_0_c2.png'],,c2.png,,,,,
cd9271d5-90db-5cb8-bee2-9f870bd2410a,q20,,['q20_0_c2.png'],,c2.png,,,,,
