paper_id-input,sample_id-input,page_number-input,input_image_location-input,section_instruction-input,context-input,input_text_parsed-input,explanation-output,final_answer-output,final_answer_range-output
13c92117-3fa2-5842-90dc-1094c56b5461,q14,,['q14_0.png'],,[],,,,
13c92117-3fa2-5842-90dc-1094c56b5461,q5,,['q5_0.png'],,[],,,,
13c92117-3fa2-5842-90dc-1094c56b5461,q7,,['q7_0.png'],,[],,,,
13c92117-3fa2-5842-90dc-1094c56b5461,q16,,['q16_0.png'],,[],,,,
13c92117-3fa2-5842-90dc-1094c56b5461,q3,,['q3_0.png'],,[],,,,
13c92117-3fa2-5842-90dc-1094c56b5461,q12,,['q12_0.png'],,[],,,,
13c92117-3fa2-5842-90dc-1094c56b5461,q10,,['q10_0.png'],,[],,,,
13c92117-3fa2-5842-90dc-1094c56b5461,q1,,"['q14_0.png', 'q16_0.png', 'q12_0.png', 'q10_0.png', 'q1_0.png', 'q17_0.png', 'q15_0.png', 'q11_0.png', 'q13_0.png', 'q19_0.png', 'q18_0.png']",,[],,,,
13c92117-3fa2-5842-90dc-1094c56b5461,q17,,['q17_0.png'],,[],,,,
13c92117-3fa2-5842-90dc-1094c56b5461,q6,,['q6_0.png'],,[],,,,
13c92117-3fa2-5842-90dc-1094c56b5461,q4,,['q4_0.png'],,[],,,,
13c92117-3fa2-5842-90dc-1094c56b5461,q15,,['q15_0.png'],,[],,,,
13c92117-3fa2-5842-90dc-1094c56b5461,q11,,['q11_0.png'],,[],,,,
13c92117-3fa2-5842-90dc-1094c56b5461,q13,,['q13_0.png'],,[],,,,
13c92117-3fa2-5842-90dc-1094c56b5461,q2,,"['q2_0.png', 'q20_0.png']",,[],,,,
13c92117-3fa2-5842-90dc-1094c56b5461,q20,,['q20_0.png'],,[],,,,
13c92117-3fa2-5842-90dc-1094c56b5461,q19,,['q19_0.png'],,[],,,,
13c92117-3fa2-5842-90dc-1094c56b5461,q8,,['q8_0.png'],,[],,,,
13c92117-3fa2-5842-90dc-1094c56b5461,q9,,['q9_0.png'],,[],,,,
13c92117-3fa2-5842-90dc-1094c56b5461,q18,,['q18_0.png'],,[],,,,
