paper_id-input,sample_id-input,page_number-input,input_image_location-input,section_instruction-input,context-input,input_text_parsed-input,explanation-output,final_answer-output,final_answer_range-output,category-input
be4aa30a-5c41-5305-8da4-21d51762b102,q1,,['q1_0_c1.png'],,c1.png,,,,,
be4aa30a-5c41-5305-8da4-21d51762b102,q2,,['q2_0_c1.png'],,c1.png,,,,,
be4aa30a-5c41-5305-8da4-21d51762b102,q3,,['q3_0_c1.png'],,c1.png,,,,,
be4aa30a-5c41-5305-8da4-21d51762b102,q4,,['q4_0.png'],,NO_CONTEXT,,,,,
be4aa30a-5c41-5305-8da4-21d51762b102,q5,,['q5_0.png'],,NO_CONTEXT,,,,,
be4aa30a-5c41-5305-8da4-21d51762b102,q6,,['q6_0_c2.png'],,c2.png,,,,,
be4aa30a-5c41-5305-8da4-21d51762b102,q7,,['q7_0_c2.png'],,c2.png,,,,,
be4aa30a-5c41-5305-8da4-21d51762b102,q8,,['q8_0_c2.png'],,c2.png,,,,,
be4aa30a-5c41-5305-8da4-21d51762b102,q9,,['q9_0.png'],,NO_CONTEXT,,,,,
be4aa30a-5c41-5305-8da4-21d51762b102,q10,,['q10_0.png'],,NO_CONTEXT,,,,,
be4aa30a-5c41-5305-8da4-21d51762b102,q11,,['q11_0.png'],,NO_CONTEXT,,,,,
be4aa30a-5c41-5305-8da4-21d51762b102,q12,,['q12_0.png'],,NO_CONTEXT,,,,,
be4aa30a-5c41-5305-8da4-21d51762b102,q13,,"['q13_0.png', 'q13_1.png']",,NO_CONTEXT,,,,,
be4aa30a-5c41-5305-8da4-21d51762b102,q14,,['q14_0.png'],,NO_CONTEXT,,,,,
be4aa30a-5c41-5305-8da4-21d51762b102,q15,,['q15_0.png'],,NO_CONTEXT,,,,,
be4aa30a-5c41-5305-8da4-21d51762b102,q16,,['q16_0.png'],,NO_CONTEXT,,,,,
be4aa30a-5c41-5305-8da4-21d51762b102,q17,,['q17_0.png'],,NO_CONTEXT,,,,,
be4aa30a-5c41-5305-8da4-21d51762b102,q18,,['q18_0.png'],,NO_CONTEXT,,,,,
be4aa30a-5c41-5305-8da4-21d51762b102,q19,,['q19_0.png'],,NO_CONTEXT,,,,,
be4aa30a-5c41-5305-8da4-21d51762b102,q20,,['q20_0.png'],,NO_CONTEXT,,,,,
be4aa30a-5c41-5305-8da4-21d51762b102,q21,,['q21_0.png'],,NO_CONTEXT,,,,,
be4aa30a-5c41-5305-8da4-21d51762b102,q22,,['q22_0.png'],,NO_CONTEXT,,,,,
be4aa30a-5c41-5305-8da4-21d51762b102,q23,,['q23_0.png'],,NO_CONTEXT,,,,,
be4aa30a-5c41-5305-8da4-21d51762b102,q24,,['q24_0.png'],,NO_CONTEXT,,,,,
be4aa30a-5c41-5305-8da4-21d51762b102,q25,,['q25_0.png'],,NO_CONTEXT,,,,,
be4aa30a-5c41-5305-8da4-21d51762b102,q26,,['q26_0_c3.png'],,c3.png,,,,,
be4aa30a-5c41-5305-8da4-21d51762b102,q27,,['q27_0_c3.png'],,c3.png,,,,,
be4aa30a-5c41-5305-8da4-21d51762b102,q28,,['q28_0_c3.png'],,c3.png,,,,,
be4aa30a-5c41-5305-8da4-21d51762b102,q29,,['q29_0_c3.png'],,c3.png,,,,,
be4aa30a-5c41-5305-8da4-21d51762b102,q30,,['q30_0_c3.png'],,c3.png,,,,,
be4aa30a-5c41-5305-8da4-21d51762b102,q31,,['q31_0_c4.png'],,c4.png,,,,,
be4aa30a-5c41-5305-8da4-21d51762b102,q32,,['q32_0_c4.png'],,c4.png,,,,,
be4aa30a-5c41-5305-8da4-21d51762b102,q33,,['q33_0_c4.png'],,c4.png,,,,,
be4aa30a-5c41-5305-8da4-21d51762b102,q34,,['q34_0_c4.png'],,c4.png,,,,,
be4aa30a-5c41-5305-8da4-21d51762b102,q35,,['q35_0_c4.png'],,c4.png,,,,,
be4aa30a-5c41-5305-8da4-21d51762b102,q36,,['q36_0_c5.png'],,c5.png,,,,,
be4aa30a-5c41-5305-8da4-21d51762b102,q37,,['q37_0_c5.png'],,c5.png,,,,,
be4aa30a-5c41-5305-8da4-21d51762b102,q38,,['q38_0_c5.png'],,c5.png,,,,,
be4aa30a-5c41-5305-8da4-21d51762b102,q39,,['q39_0_c5.png'],,c5.png,,,,,
be4aa30a-5c41-5305-8da4-21d51762b102,q40,,['q40_0_c5.png'],,c5.png,,,,,
be4aa30a-5c41-5305-8da4-21d51762b102,q41,,['q41_0.png'],,NO_CONTEXT,,,,,
be4aa30a-5c41-5305-8da4-21d51762b102,q42,,['q42_0.png'],,NO_CONTEXT,,,,,
be4aa30a-5c41-5305-8da4-21d51762b102,q43,,['q43_0.png'],,NO_CONTEXT,,,,,
be4aa30a-5c41-5305-8da4-21d51762b102,q44,,['q44_0.png'],,NO_CONTEXT,,,,,
be4aa30a-5c41-5305-8da4-21d51762b102,q45,,['q45_0.png'],,NO_CONTEXT,,,,,
be4aa30a-5c41-5305-8da4-21d51762b102,q46,,['q46_0_c6.png'],,c6.png,,,,,
be4aa30a-5c41-5305-8da4-21d51762b102,q47,,['q47_0_c6.png'],,c6.png,,,,,
be4aa30a-5c41-5305-8da4-21d51762b102,q48,,['q48_0_c6.png'],,c6.png,,,,,
be4aa30a-5c41-5305-8da4-21d51762b102,q49,,['q49_0_c6.png'],,c6.png,,,,,
be4aa30a-5c41-5305-8da4-21d51762b102,q50,,['q50_0_c6.png'],,c6.png,,,,,
