paper_id-input,sample_id-input,page_number-input,input_image_location-input,section_instruction-input,context-input,input_text_parsed-input,explanation-output,final_answer-output,final_answer_range-output,category-input
76b32121-fb67-5693-a906-1c68fad1faca,q41,,['q41_0.png'],,NO_CONTEXT,,,,,
76b32121-fb67-5693-a906-1c68fad1faca,q42,,['q42_0.png'],,NO_CONTEXT,,,,,
76b32121-fb67-5693-a906-1c68fad1faca,q43,,['q43_0.png'],,NO_CONTEXT,,,,,
76b32121-fb67-5693-a906-1c68fad1faca,q44,,['q44_0.png'],,NO_CONTEXT,,,,,
76b32121-fb67-5693-a906-1c68fad1faca,q45,,['q45_0.png'],,NO_CONTEXT,,,,,
76b32121-fb67-5693-a906-1c68fad1faca,q46,,['q46_0.png'],,NO_CONTEXT,,,,,
76b32121-fb67-5693-a906-1c68fad1faca,q47,,['q47_0.png'],,NO_CONTEXT,,,,,
76b32121-fb67-5693-a906-1c68fad1faca,q48,,['q48_0.png'],,NO_CONTEXT,,,,,
76b32121-fb67-5693-a906-1c68fad1faca,q49,,['q49_0.png'],,NO_CONTEXT,,,,,
76b32121-fb67-5693-a906-1c68fad1faca,q50,,['q50_0.png'],,NO_CONTEXT,,,,,
76b32121-fb67-5693-a906-1c68fad1faca,q51,,['q51_0.png'],,NO_CONTEXT,,,,,
76b32121-fb67-5693-a906-1c68fad1faca,q52,,['q52_0.png'],,NO_CONTEXT,,,,,
76b32121-fb67-5693-a906-1c68fad1faca,q53,,['q53_0.png'],,NO_CONTEXT,,,,,
76b32121-fb67-5693-a906-1c68fad1faca,q54,,['q54_0.png'],,NO_CONTEXT,,,,,
76b32121-fb67-5693-a906-1c68fad1faca,q55,,['q55_0.png'],,NO_CONTEXT,,,,,
76b32121-fb67-5693-a906-1c68fad1faca,q56,,['q56_0.png'],,NO_CONTEXT,,,,,
76b32121-fb67-5693-a906-1c68fad1faca,q57,,['q57_0.png'],,NO_CONTEXT,,,,,
76b32121-fb67-5693-a906-1c68fad1faca,q58,,['q58_0.png'],,NO_CONTEXT,,,,,
76b32121-fb67-5693-a906-1c68fad1faca,q59,,['q59_0.png'],,NO_CONTEXT,,,,,
76b32121-fb67-5693-a906-1c68fad1faca,q60,,['q60_0.png'],,NO_CONTEXT,,,,,
