paper_id-input,sample_id-input,page_number-input,input_image_location-input,section_instruction-input,context-input,input_text_parsed-input,explanation-output,final_answer-output,final_answer_range-output,category-input
910c8ded-caa5-5fdf-8cd5-212c74e0f446,q1,,['q1_0.png'],,[],,,,,
910c8ded-caa5-5fdf-8cd5-212c74e0f446,q2,,['q2_0.png'],,[],,,,,
910c8ded-caa5-5fdf-8cd5-212c74e0f446,q3,,['q3_0.png'],,[],,,,,
910c8ded-caa5-5fdf-8cd5-212c74e0f446,q4,,['q4_0.png'],,[],,,,,
910c8ded-caa5-5fdf-8cd5-212c74e0f446,q5,,['q5_0.png'],,[],,,,,
910c8ded-caa5-5fdf-8cd5-212c74e0f446,q6,,['q6_0.png'],,[],,,,,
910c8ded-caa5-5fdf-8cd5-212c74e0f446,q7,,['q7_0.png'],,[],,,,,
910c8ded-caa5-5fdf-8cd5-212c74e0f446,q8,,['q8_0.png'],,[],,,,,
910c8ded-caa5-5fdf-8cd5-212c74e0f446,q9,,['q9_0.png'],,[],,,,,
910c8ded-caa5-5fdf-8cd5-212c74e0f446,q10,,['q10_0.png'],,[],,,,,
910c8ded-caa5-5fdf-8cd5-212c74e0f446,q11,,['q11_0.png'],,[],,,,,
910c8ded-caa5-5fdf-8cd5-212c74e0f446,q12,,['q12_0.png'],,[],,,,,
910c8ded-caa5-5fdf-8cd5-212c74e0f446,q13,,['q13_0.png'],,[],,,,,
910c8ded-caa5-5fdf-8cd5-212c74e0f446,q14,,['q14_0.png'],,[],,,,,
910c8ded-caa5-5fdf-8cd5-212c74e0f446,q15,,['q15_0.png'],,[],,,,,
910c8ded-caa5-5fdf-8cd5-212c74e0f446,q16,,['q16_0.png'],,[],,,,,
910c8ded-caa5-5fdf-8cd5-212c74e0f446,q17,,['q17_0.png'],,[],,,,,
910c8ded-caa5-5fdf-8cd5-212c74e0f446,q18,,['q18_0.png'],,[],,,,,
910c8ded-caa5-5fdf-8cd5-212c74e0f446,q19,,['q19_0.png'],,[],,,,,
910c8ded-caa5-5fdf-8cd5-212c74e0f446,q20,,['q20_0.png'],,[],,,,,
910c8ded-caa5-5fdf-8cd5-212c74e0f446,q21,,['q21_0.png'],,[],,,,,
910c8ded-caa5-5fdf-8cd5-212c74e0f446,q22,,['q22_0.png'],,[],,,,,
910c8ded-caa5-5fdf-8cd5-212c74e0f446,q23,,['q23_0.png'],,[],,,,,
910c8ded-caa5-5fdf-8cd5-212c74e0f446,q24,,['q24_0.png'],,[],,,,,
910c8ded-caa5-5fdf-8cd5-212c74e0f446,q25,,['q25_0.png'],,[],,,,,
910c8ded-caa5-5fdf-8cd5-212c74e0f446,q26,,['q26_0.png'],,[],,,,,
910c8ded-caa5-5fdf-8cd5-212c74e0f446,q27,,['q27_0.png'],,[],,,,,
910c8ded-caa5-5fdf-8cd5-212c74e0f446,q28,,['q28_0.png'],,[],,,,,
910c8ded-caa5-5fdf-8cd5-212c74e0f446,q29,,['q29_0.png'],,[],,,,,
910c8ded-caa5-5fdf-8cd5-212c74e0f446,q30,,['q30_0.png'],,[],,,,,
910c8ded-caa5-5fdf-8cd5-212c74e0f446,q31,,['q31_0_c1.png'],,['c1.png'],,,,,
910c8ded-caa5-5fdf-8cd5-212c74e0f446,q32,,['q32_0_c1.png'],,['c1.png'],,,,,
910c8ded-caa5-5fdf-8cd5-212c74e0f446,q33,,['q33_0_c1.png'],,['c1.png'],,,,,
910c8ded-caa5-5fdf-8cd5-212c74e0f446,q34,,['q34_0.png'],,[],,,,,
910c8ded-caa5-5fdf-8cd5-212c74e0f446,q35,,['q35_0.png'],,[],,,,,
910c8ded-caa5-5fdf-8cd5-212c74e0f446,q36,,['q36_0.png'],,[],,,,,
910c8ded-caa5-5fdf-8cd5-212c74e0f446,q37,,['q37_0.png'],,[],,,,,
910c8ded-caa5-5fdf-8cd5-212c74e0f446,q38,,['q38_0.png'],,[],,,,,
910c8ded-caa5-5fdf-8cd5-212c74e0f446,q39,,['q39_0_c2.png'],,['c2.png'],,,,,
910c8ded-caa5-5fdf-8cd5-212c74e0f446,q40,,['q40_0_c2.png'],,['c2.png'],,,,,
910c8ded-caa5-5fdf-8cd5-212c74e0f446,q41,,['q41_0_c2.png'],,['c2.png'],,,,,
910c8ded-caa5-5fdf-8cd5-212c74e0f446,q42,,['q42_0.png'],,[],,,,,
910c8ded-caa5-5fdf-8cd5-212c74e0f446,q43,,['q43_0.png'],,[],,,,,
910c8ded-caa5-5fdf-8cd5-212c74e0f446,q44,,"['q44_0.png', 'q44_1.png']",,[],,,,,
910c8ded-caa5-5fdf-8cd5-212c74e0f446,q45,,['q45_0.png'],,[],,,,,
910c8ded-caa5-5fdf-8cd5-212c74e0f446,q46,,['q46_0.png'],,[],,,,,
910c8ded-caa5-5fdf-8cd5-212c74e0f446,q47,,['q47_0.png'],,[],,,,,
910c8ded-caa5-5fdf-8cd5-212c74e0f446,q48,,['q48_0.png'],,[],,,,,
910c8ded-caa5-5fdf-8cd5-212c74e0f446,q49,,['q49_0.png'],,[],,,,,
910c8ded-caa5-5fdf-8cd5-212c74e0f446,q50,,['q50_0.png'],,[],,,,,
