paper_id-input,sample_id-input,page_number-input,input_image_location-input,section_instruction-input,context-input,input_text_parsed-input,explanation-output,final_answer-output,final_answer_range-output,category-input
4cb2e57c-5eed-506e-9a52-b0368e45a849,q141,,['q141_0.png'],,[],,,,,
4cb2e57c-5eed-506e-9a52-b0368e45a849,q142,,['q142_0.png'],,[],,,,,
4cb2e57c-5eed-506e-9a52-b0368e45a849,q143,,['q143_0.png'],,[],,,,,
4cb2e57c-5eed-506e-9a52-b0368e45a849,q144,,['q144_0.png'],,[],,,,,
4cb2e57c-5eed-506e-9a52-b0368e45a849,q145,,['q145_0.png'],,[],,,,,
4cb2e57c-5eed-506e-9a52-b0368e45a849,q146,,['q146_0.png'],,[],,,,,
4cb2e57c-5eed-506e-9a52-b0368e45a849,q147,,['q147_0.png'],,[],,,,,
4cb2e57c-5eed-506e-9a52-b0368e45a849,q148,,['q148_0.png'],,[],,,,,
4cb2e57c-5eed-506e-9a52-b0368e45a849,q149,,['q149_0.png'],,[],,,,,
4cb2e57c-5eed-506e-9a52-b0368e45a849,q150,,['q150_0.png'],,[],,,,,
4cb2e57c-5eed-506e-9a52-b0368e45a849,q151,,['q151_0.png'],,[],,,,,
4cb2e57c-5eed-506e-9a52-b0368e45a849,q152,,"['q152_0.png', 'q152_1.png']",,[],,,,,
4cb2e57c-5eed-506e-9a52-b0368e45a849,q153,,['q153_0.png'],,[],,,,,
4cb2e57c-5eed-506e-9a52-b0368e45a849,q154,,['q154_0.png'],,[],,,,,
4cb2e57c-5eed-506e-9a52-b0368e45a849,q155,,['q155_0.png'],,[],,,,,
4cb2e57c-5eed-506e-9a52-b0368e45a849,q156,,['q156_0.png'],,[],,,,,
4cb2e57c-5eed-506e-9a52-b0368e45a849,q157,,['q157_0.png'],,[],,,,,
4cb2e57c-5eed-506e-9a52-b0368e45a849,q158,,['q158_0.png'],,[],,,,,
4cb2e57c-5eed-506e-9a52-b0368e45a849,q159,,['q159_0.png'],,[],,,,,
4cb2e57c-5eed-506e-9a52-b0368e45a849,q160,,['q160_0.png'],,[],,,,,
