paper_id-input,sample_id-input,page_number-input,input_image_location-input,section_instruction-input,context-input,input_text_parsed-input,explanation-output,final_answer-output,final_answer_range-output,category-input
9cf83db6-9bdb-5567-babd-e7d10b24d34b,q1,,['q1_0_c1.png'],,['c1.png'],,,,,
9cf83db6-9bdb-5567-babd-e7d10b24d34b,q2,,['q2_0_c1.png'],,['c1.png'],,,,,
9cf83db6-9bdb-5567-babd-e7d10b24d34b,q3,,['q3_0_c1.png'],,['c1.png'],,,,,
9cf83db6-9bdb-5567-babd-e7d10b24d34b,q4,,['q4_0_c1.png'],,['c1.png'],,,,,
9cf83db6-9bdb-5567-babd-e7d10b24d34b,q5,,['q5_0_c1.png'],,['c1.png'],,,,,
9cf83db6-9bdb-5567-babd-e7d10b24d34b,q6,,['q6_0_c1.png'],,['c1.png'],,,,,
9cf83db6-9bdb-5567-babd-e7d10b24d34b,q7,,['q7_0_c1.png'],,['c1.png'],,,,,
9cf83db6-9bdb-5567-babd-e7d10b24d34b,q8,,['q8_0_c1.png'],,['c1.png'],,,,,
9cf83db6-9bdb-5567-babd-e7d10b24d34b,q9,,['q9_0_c1.png'],,['c1.png'],,,,,
9cf83db6-9bdb-5567-babd-e7d10b24d34b,q10,,['q10_0_c1.png'],,['c1.png'],,,,,
9cf83db6-9bdb-5567-babd-e7d10b24d34b,q11,,['q11_0_c2.png'],,['c2.png'],,,,,
9cf83db6-9bdb-5567-babd-e7d10b24d34b,q12,,['q12_0_c2.png'],,['c2.png'],,,,,
9cf83db6-9bdb-5567-babd-e7d10b24d34b,q13,,['q13_0_c2.png'],,['c2.png'],,,,,
9cf83db6-9bdb-5567-babd-e7d10b24d34b,q14,,['q14_0_c2.png'],,['c2.png'],,,,,
9cf83db6-9bdb-5567-babd-e7d10b24d34b,q15,,['q15_0_c2.png'],,['c2.png'],,,,,
9cf83db6-9bdb-5567-babd-e7d10b24d34b,q16,,['q16_0_c3.png'],,['c3.png'],,,,,
9cf83db6-9bdb-5567-babd-e7d10b24d34b,q17,,['q17_0_c3.png'],,['c3.png'],,,,,
9cf83db6-9bdb-5567-babd-e7d10b24d34b,q18,,['q18_0_c3.png'],,['c3.png'],,,,,
9cf83db6-9bdb-5567-babd-e7d10b24d34b,q19,,['q19_0_c3.png'],,['c3.png'],,,,,
9cf83db6-9bdb-5567-babd-e7d10b24d34b,q20,,['q20_0_c3.png'],,['c3.png'],,,,,
9cf83db6-9bdb-5567-babd-e7d10b24d34b,q21,,['q21_0_c4.png'],,['c4.png'],,,,,
9cf83db6-9bdb-5567-babd-e7d10b24d34b,q22,,['q22_0_c4.png'],,['c4.png'],,,,,
9cf83db6-9bdb-5567-babd-e7d10b24d34b,q23,,['q23_0_c4.png'],,['c4.png'],,,,,
9cf83db6-9bdb-5567-babd-e7d10b24d34b,q24,,['q24_0_c4.png'],,['c4.png'],,,,,
9cf83db6-9bdb-5567-babd-e7d10b24d34b,q25,,['q25_0_c4.png'],,['c4.png'],,,,,
9cf83db6-9bdb-5567-babd-e7d10b24d34b,q26,,['q26_0.png'],,[],,,,,
9cf83db6-9bdb-5567-babd-e7d10b24d34b,q27,,['q27_0.png'],,[],,,,,
9cf83db6-9bdb-5567-babd-e7d10b24d34b,q28,,['q28_0.png'],,[],,,,,
9cf83db6-9bdb-5567-babd-e7d10b24d34b,q29,,['q29_0.png'],,[],,,,,
9cf83db6-9bdb-5567-babd-e7d10b24d34b,q30,,['q30_0.png'],,[],,,,,
9cf83db6-9bdb-5567-babd-e7d10b24d34b,q31,,['q31_0.png'],,[],,,,,
9cf83db6-9bdb-5567-babd-e7d10b24d34b,q32,,['q32_0.png'],,[],,,,,
9cf83db6-9bdb-5567-babd-e7d10b24d34b,q33,,['q33_0.png'],,[],,,,,
9cf83db6-9bdb-5567-babd-e7d10b24d34b,q34,,['q34_0.png'],,[],,,,,
9cf83db6-9bdb-5567-babd-e7d10b24d34b,q35,,['q35_0.png'],,[],,,,,
9cf83db6-9bdb-5567-babd-e7d10b24d34b,q36,,['q36_0.png'],,[],,,,,
9cf83db6-9bdb-5567-babd-e7d10b24d34b,q37,,['q37_0.png'],,[],,,,,
9cf83db6-9bdb-5567-babd-e7d10b24d34b,q38,,['q38_0.png'],,[],,,,,
9cf83db6-9bdb-5567-babd-e7d10b24d34b,q39,,['q39_0.png'],,[],,,,,
9cf83db6-9bdb-5567-babd-e7d10b24d34b,q40,,['q40_0.png'],,[],,,,,
9cf83db6-9bdb-5567-babd-e7d10b24d34b,q41,,['q41_0.png'],,[],,,,,
9cf83db6-9bdb-5567-babd-e7d10b24d34b,q42,,['q42_0.png'],,[],,,,,
9cf83db6-9bdb-5567-babd-e7d10b24d34b,q43,,['q43_0.png'],,[],,,,,
9cf83db6-9bdb-5567-babd-e7d10b24d34b,q44,,['q44_0.png'],,[],,,,,
9cf83db6-9bdb-5567-babd-e7d10b24d34b,q45,,['q45_0.png'],,[],,,,,
9cf83db6-9bdb-5567-babd-e7d10b24d34b,q46,,['q46_0.png'],,[],,,,,
9cf83db6-9bdb-5567-babd-e7d10b24d34b,q47,,['q47_0.png'],,[],,,,,
9cf83db6-9bdb-5567-babd-e7d10b24d34b,q48,,['q48_0.png'],,[],,,,,
9cf83db6-9bdb-5567-babd-e7d10b24d34b,q49,,['q49_0.png'],,[],,,,,
9cf83db6-9bdb-5567-babd-e7d10b24d34b,q50,,['q50_0.png'],,[],,,,,
