paper_id-input,sample_id-input,page_number-input,input_image_location-input,section_instruction-input,context-input,input_text_parsed-input,explanation-output,final_answer-output,final_answer_range-output,category-input,gemini_inferences
9cf83db6-9bdb-5567-babd-e7d10b24d34b,q1,1,['q1_0_c1.png'],,['c1.png'],,,B,A-D,, (b)
9cf83db6-9bdb-5567-babd-e7d10b24d34b,q2,1,['q2_0_c1.png'],,['c1.png'],,,A,A-D,, (b)
9cf83db6-9bdb-5567-babd-e7d10b24d34b,q3,1,['q3_0_c1.png'],,['c1.png'],,,D,A-D,, d
9cf83db6-9bdb-5567-babd-e7d10b24d34b,q4,1,['q4_0_c1.png'],,['c1.png'],,,C,A-D,, d
9cf83db6-9bdb-5567-babd-e7d10b24d34b,q5,1,['q5_0_c1.png'],,['c1.png'],,,A,A-D,, (b)
9cf83db6-9bdb-5567-babd-e7d10b24d34b,q6,1,['q6_0_c1.png'],,['c1.png'],,,B,A-D,, C
9cf83db6-9bdb-5567-babd-e7d10b24d34b,q7,1,['q7_0_c1.png'],,['c1.png'],,,D,A-D,, d
9cf83db6-9bdb-5567-babd-e7d10b24d34b,q8,1,['q8_0_c1.png'],,['c1.png'],,,A,A-D,, (b)
9cf83db6-9bdb-5567-babd-e7d10b24d34b,q9,1,['q9_0_c1.png'],,['c1.png'],,,,A-D,, d
9cf83db6-9bdb-5567-babd-e7d10b24d34b,q10,1,['q10_0_c1.png'],,['c1.png'],,,A,A-D,, (b) 47
9cf83db6-9bdb-5567-babd-e7d10b24d34b,q11,2,['q11_0_c2.png'],,['c2.png'],,,"[A,B]",A-D,, A
9cf83db6-9bdb-5567-babd-e7d10b24d34b,q12,2,['q12_0_c2.png'],,['c2.png'],,,C,A-D,, C
9cf83db6-9bdb-5567-babd-e7d10b24d34b,q13,2,['q13_0_c2.png'],,['c2.png'],,,D,A-D,, A
9cf83db6-9bdb-5567-babd-e7d10b24d34b,q14,2,['q14_0_c2.png'],,['c2.png'],,,D,A-D,, A
9cf83db6-9bdb-5567-babd-e7d10b24d34b,q15,2,['q15_0_c2.png'],,['c2.png'],,,B,A-D,, A
9cf83db6-9bdb-5567-babd-e7d10b24d34b,q16,2,['q16_0_c3.png'],,['c3.png'],,,B,A-D,, A
