paper_id-input,sample_id-input,page_number-input,input_image_location-input,section_instruction-input,context-input,input_text_parsed-input,explanation-output,final_answer-output,final_answer_range-output,category-input
1aa0750d-6269-57aa-8854-b5d5c5f726e7,q101,,['q101_0.png'],,NO_CONTEXT,,,,,
1aa0750d-6269-57aa-8854-b5d5c5f726e7,q102,,['q102_0.png'],,NO_CONTEXT,,,,,
1aa0750d-6269-57aa-8854-b5d5c5f726e7,q103,,['q103_0.png'],,NO_CONTEXT,,,,,
1aa0750d-6269-57aa-8854-b5d5c5f726e7,q104,,['q104_0.png'],,NO_CONTEXT,,,,,
1aa0750d-6269-57aa-8854-b5d5c5f726e7,q105,,['q105_0.png'],,NO_CONTEXT,,,,,
1aa0750d-6269-57aa-8854-b5d5c5f726e7,q107,,['q107_0.png'],,NO_CONTEXT,,,,,
1aa0750d-6269-57aa-8854-b5d5c5f726e7,q108,,['q108_0.png'],,NO_CONTEXT,,,,,
1aa0750d-6269-57aa-8854-b5d5c5f726e7,q109,,['q109_0.png'],,NO_CONTEXT,,,,,
1aa0750d-6269-57aa-8854-b5d5c5f726e7,q110,,['q110_0.png'],,NO_CONTEXT,,,,,
1aa0750d-6269-57aa-8854-b5d5c5f726e7,q111,,['q111_0.png'],,NO_CONTEXT,,,,,
1aa0750d-6269-57aa-8854-b5d5c5f726e7,q112,,['q112_0.png'],,NO_CONTEXT,,,,,
1aa0750d-6269-57aa-8854-b5d5c5f726e7,q113,,['q113_0.png'],,NO_CONTEXT,,,,,
1aa0750d-6269-57aa-8854-b5d5c5f726e7,q114,,['q114_0.png'],,NO_CONTEXT,,,,,
1aa0750d-6269-57aa-8854-b5d5c5f726e7,q115,,['q115_0.png'],,NO_CONTEXT,,,,,
1aa0750d-6269-57aa-8854-b5d5c5f726e7,q116,,['q116_0.png'],,NO_CONTEXT,,,,,
1aa0750d-6269-57aa-8854-b5d5c5f726e7,q117,,['q117_0.png'],,NO_CONTEXT,,,,,
1aa0750d-6269-57aa-8854-b5d5c5f726e7,q118,,['q118_0.png'],,NO_CONTEXT,,,,,
1aa0750d-6269-57aa-8854-b5d5c5f726e7,q119,,['q119_0.png'],,NO_CONTEXT,,,,,
1aa0750d-6269-57aa-8854-b5d5c5f726e7,q120,,['q120_0.png'],,NO_CONTEXT,,,,,
