paper_id-input,sample_id-input,page_number-input,input_image_location-input,section_instruction-input,context-input,input_text_parsed-input,explanation-output,final_answer-output,final_answer_range-output
16aefae9-3c97-5b85-b6f5-25c62ec4c048,q14,,['q14_0.png'],,[],,,,
16aefae9-3c97-5b85-b6f5-25c62ec4c048,q34,,['q34_0_c6.png'],,['c6.png'],,,,
16aefae9-3c97-5b85-b6f5-25c62ec4c048,q48,,['q48_0.png'],,[],,,,
16aefae9-3c97-5b85-b6f5-25c62ec4c048,q35,,['q35_0_c7.png'],,['c7.png'],,,,
16aefae9-3c97-5b85-b6f5-25c62ec4c048,q16,,['q16_0.png'],,[],,,,
16aefae9-3c97-5b85-b6f5-25c62ec4c048,q29,,['q29_0_c5.png'],,['c5.png'],,,,
16aefae9-3c97-5b85-b6f5-25c62ec4c048,q28,,['q28_0_c5.png'],,['c5.png'],,,,
16aefae9-3c97-5b85-b6f5-25c62ec4c048,q6,,['q6_0_c2.png'],,['c2.png'],,,,
16aefae9-3c97-5b85-b6f5-25c62ec4c048,q7,,['q7_0_c2.png'],,['c2.png'],,,,
16aefae9-3c97-5b85-b6f5-25c62ec4c048,q22,,['q22_0_c4.png'],,['c4.png'],,,,
16aefae9-3c97-5b85-b6f5-25c62ec4c048,q23,,['q23_0_c4.png'],,['c4.png'],,,,
16aefae9-3c97-5b85-b6f5-25c62ec4c048,q46,,['q46_0_c9.png'],,['c9.png'],,,,
16aefae9-3c97-5b85-b6f5-25c62ec4c048,q17,,['q17_0.png'],,[],,,,
16aefae9-3c97-5b85-b6f5-25c62ec4c048,q40,,['q40_0_c8.png'],,['c8.png'],,,,
16aefae9-3c97-5b85-b6f5-25c62ec4c048,q41,,['q41_0_c8.png'],,['c8.png'],,,,
16aefae9-3c97-5b85-b6f5-25c62ec4c048,q50,,['q50_0.png'],,[],,,,
16aefae9-3c97-5b85-b6f5-25c62ec4c048,q15,,['q15_0.png'],,[],,,,
16aefae9-3c97-5b85-b6f5-25c62ec4c048,q25,,['q25_0_c4.png'],,['c4.png'],,,,
16aefae9-3c97-5b85-b6f5-25c62ec4c048,q24,,['q24_0_c4.png'],,['c4.png'],,,,
16aefae9-3c97-5b85-b6f5-25c62ec4c048,q1,,"['q14_0.png', 'q16_0.png', 'q17_0.png', 'q15_0.png', 'q1_0_c1.png', 'q10_0_c2.png', 'q11_0_c3.png', 'q19_0.png', 'q12_0_c3.png', 'q13_0_c3.png', 'q18_0.png']",,[],,,,
16aefae9-3c97-5b85-b6f5-25c62ec4c048,q37,,['q37_0_c8.png'],,['c8.png'],,,,
16aefae9-3c97-5b85-b6f5-25c62ec4c048,q49,,['q49_0.png'],,[],,,,
16aefae9-3c97-5b85-b6f5-25c62ec4c048,q32,,['q32_0_c6.png'],,['c6.png'],,,,
16aefae9-3c97-5b85-b6f5-25c62ec4c048,q33,,['q33_0_c6.png'],,['c6.png'],,,,
16aefae9-3c97-5b85-b6f5-25c62ec4c048,q10,,['q10_0_c2.png'],,['c2.png'],,,,
16aefae9-3c97-5b85-b6f5-25c62ec4c048,q11,,['q11_0_c3.png'],,['c3.png'],,,,
16aefae9-3c97-5b85-b6f5-25c62ec4c048,q4,,"['q48_0.png', 'q46_0_c9.png', 'q40_0_c8.png', 'q41_0_c8.png', 'q49_0.png', 'q4_0_c1.png', 'q45_0_c9.png', 'q44_0_c9.png', 'q47_0.png', 'q42_0_c9.png', 'q43_0_c9.png']",,['c9.png'],,,,
16aefae9-3c97-5b85-b6f5-25c62ec4c048,q5,,"['q50_0.png', 'q5_0_c1.png']",,['c1.png'],,,,
16aefae9-3c97-5b85-b6f5-25c62ec4c048,q21,,['q21_0_c4.png'],,['c4.png'],,,,
16aefae9-3c97-5b85-b6f5-25c62ec4c048,q20,,['q20_0_c4.png'],,['c4.png'],,,,
16aefae9-3c97-5b85-b6f5-25c62ec4c048,q45,,['q45_0_c9.png'],,['c9.png'],,,,
16aefae9-3c97-5b85-b6f5-25c62ec4c048,q44,,['q44_0_c9.png'],,['c9.png'],,,,
16aefae9-3c97-5b85-b6f5-25c62ec4c048,q39,,['q39_0_c8.png'],,['c8.png'],,,,
16aefae9-3c97-5b85-b6f5-25c62ec4c048,q38,,['q38_0_c8.png'],,['c8.png'],,,,
16aefae9-3c97-5b85-b6f5-25c62ec4c048,q19,,['q19_0.png'],,[],,,,
16aefae9-3c97-5b85-b6f5-25c62ec4c048,q47,,['q47_0.png'],,[],,,,
16aefae9-3c97-5b85-b6f5-25c62ec4c048,q36,,['q36_0_c7.png'],,['c7.png'],,,,
16aefae9-3c97-5b85-b6f5-25c62ec4c048,q30,,['q30_0_c5.png'],,['c5.png'],,,,
16aefae9-3c97-5b85-b6f5-25c62ec4c048,q31,,['q31_0_c6.png'],,['c6.png'],,,,
16aefae9-3c97-5b85-b6f5-25c62ec4c048,q12,,['q12_0_c3.png'],,['c3.png'],,,,
16aefae9-3c97-5b85-b6f5-25c62ec4c048,q13,,['q13_0_c3.png'],,['c3.png'],,,,
16aefae9-3c97-5b85-b6f5-25c62ec4c048,q27,,['q27_0_c5.png'],,['c5.png'],,,,
16aefae9-3c97-5b85-b6f5-25c62ec4c048,q26,,['q26_0_c5.png'],,['c5.png'],,,,
16aefae9-3c97-5b85-b6f5-25c62ec4c048,q3,,"['q34_0_c6.png', 'q35_0_c7.png', 'q37_0_c8.png', 'q32_0_c6.png', 'q33_0_c6.png', 'q39_0_c8.png', 'q38_0_c8.png', 'q36_0_c7.png', 'q30_0_c5.png', 'q31_0_c6.png', 'q3_0_c1.png']",,['c1.png'],,,,
16aefae9-3c97-5b85-b6f5-25c62ec4c048,q2,,"['q29_0_c5.png', 'q28_0_c5.png', 'q22_0_c4.png', 'q23_0_c4.png', 'q25_0_c4.png', 'q24_0_c4.png', 'q21_0_c4.png', 'q20_0_c4.png', 'q27_0_c5.png', 'q26_0_c5.png', 'q2_0_c1.png']",,['c1.png'],,,,
