paper_id-input,sample_id-input,page_number-input,input_image_location-input,section_instruction-input,context-input,input_text_parsed-input,explanation-output,final_answer-output,final_answer_range-output,category-input
0a0dd30b-a56c-59ec-80ec-825f55465c22,q1,,"['q1_0.png', 'q1_1.png', 'q1_2.png']",,[],,,,,
0a0dd30b-a56c-59ec-80ec-825f55465c22,q2,,"['q2_0.png', 'q2_1.png']",,[],,,,,
0a0dd30b-a56c-59ec-80ec-825f55465c22,q3,,"['q3_0_c1.png', 'q3_1_c1.png']",,"['c1_0.png', 'c1_1.png']",,,,,
0a0dd30b-a56c-59ec-80ec-825f55465c22,q4,,"['q4_0_c1.png', 'q4_1_c1.png']",,"['c1_0.png', 'c1_1.png']",,,,,
0a0dd30b-a56c-59ec-80ec-825f55465c22,q5,,['q5_0_c2.png'],,['c2.png'],,,,,
0a0dd30b-a56c-59ec-80ec-825f55465c22,q6,,['q6_0_c2.png'],,['c2.png'],,,,,
0a0dd30b-a56c-59ec-80ec-825f55465c22,q7,,['q7_0.png'],,[],,,,,
0a0dd30b-a56c-59ec-80ec-825f55465c22,q8,,"['q8_0.png', 'q8_1.png']",,[],,,,,
0a0dd30b-a56c-59ec-80ec-825f55465c22,q9,,"['q9_0.png', 'q9_1.png']",,[],,,,,
0a0dd30b-a56c-59ec-80ec-825f55465c22,q10,,"['q10_0.png', 'q10_1.png']",,[],,,,,
0a0dd30b-a56c-59ec-80ec-825f55465c22,q11,,['q11_0_c3.png'],,['c3.png'],,,,,
0a0dd30b-a56c-59ec-80ec-825f55465c22,q12,,['q12_0_c3.png'],,['c3.png'],,,,,
0a0dd30b-a56c-59ec-80ec-825f55465c22,q13,,['q13_0_c3.png'],,['c3.png'],,,,,
0a0dd30b-a56c-59ec-80ec-825f55465c22,q14,,['q14_0_c4.png'],,['c4.png'],,,,,
0a0dd30b-a56c-59ec-80ec-825f55465c22,q15,,['q15_0_c4.png'],,['c4.png'],,,,,
0a0dd30b-a56c-59ec-80ec-825f55465c22,q16,,['q16_0_c4.png'],,['c4.png'],,,,,
0a0dd30b-a56c-59ec-80ec-825f55465c22,q17,,['q17_0_c4.png'],,['c4.png'],,,,,
0a0dd30b-a56c-59ec-80ec-825f55465c22,q18,,['q18_0.png'],,[],,,,,
0a0dd30b-a56c-59ec-80ec-825f55465c22,q19,,['q19_0_c5.png'],,['c5.png'],,,,,
0a0dd30b-a56c-59ec-80ec-825f55465c22,q20,,['q20_0_c5.png'],,['c5.png'],,,,,
0a0dd30b-a56c-59ec-80ec-825f55465c22,q21,,['q21_0_c5.png'],,['c5.png'],,,,,
0a0dd30b-a56c-59ec-80ec-825f55465c22,q22,,['q22_0_c5.png'],,['c5.png'],,,,,
0a0dd30b-a56c-59ec-80ec-825f55465c22,q23,,['q23_0_c5.png'],,['c5.png'],,,,,
0a0dd30b-a56c-59ec-80ec-825f55465c22,q24,,"['q24_0.png', 'q24_1.png']",,[],,,,,
0a0dd30b-a56c-59ec-80ec-825f55465c22,q25,,['q25_0.png'],,[],,,,,
0a0dd30b-a56c-59ec-80ec-825f55465c22,q26,,"['q26_0_c6.png', 'q26_1_c6.png']",,"['c6_0.png', 'c6_1.png']",,,,,
0a0dd30b-a56c-59ec-80ec-825f55465c22,q27,,"['q27_0_c6.png', 'q27_1_c6.png']",,"['c6_0.png', 'c6_1.png']",,,,,
0a0dd30b-a56c-59ec-80ec-825f55465c22,q28,,['q28_0.png'],,[],,,,,
0a0dd30b-a56c-59ec-80ec-825f55465c22,q29,,['q29_0.png'],,[],,,,,
0a0dd30b-a56c-59ec-80ec-825f55465c22,q30,,['q30_0_c7.png'],,['c7.png'],,,,,
0a0dd30b-a56c-59ec-80ec-825f55465c22,q31,,['q31_0_c7.png'],,['c7.png'],,,,,
0a0dd30b-a56c-59ec-80ec-825f55465c22,q32,,['q32_0.png'],,[],,,,,
0a0dd30b-a56c-59ec-80ec-825f55465c22,q33,,"['q33_0.png', 'q33_1.png']",,[],,,,,
0a0dd30b-a56c-59ec-80ec-825f55465c22,q34,,"['q34_0.png', 'q34_1.png']",,[],,,,,
0a0dd30b-a56c-59ec-80ec-825f55465c22,q35,,"['q35_0.png', 'q35_1.png', 'q35_2.png']",,[],,,,,
0a0dd30b-a56c-59ec-80ec-825f55465c22,q36,,"['q36_0.png', 'q36_1.png', 'q36_2.png']",,[],,,,,
0a0dd30b-a56c-59ec-80ec-825f55465c22,q37,,"['q37_0.png', 'q37_1.png']",,[],,,,,
0a0dd30b-a56c-59ec-80ec-825f55465c22,q38,,['q38_0_c8.png'],,['c8.png'],,,,,
0a0dd30b-a56c-59ec-80ec-825f55465c22,q39,,['q39_0_c8.png'],,['c8.png'],,,,,
0a0dd30b-a56c-59ec-80ec-825f55465c22,q40,,"['q40_0.png', 'q40_1.png']",,[],,,,,
0a0dd30b-a56c-59ec-80ec-825f55465c22,q41,,"['q41_0.png', 'q41_1.png']",,[],,,,,
0a0dd30b-a56c-59ec-80ec-825f55465c22,q42,,"['q42_0.png', 'q42_1.png']",,[],,,,,
0a0dd30b-a56c-59ec-80ec-825f55465c22,q43,,"['q43_0.png', 'q43_1.png']",,[],,,,,
