paper_id-input,sample_id-input,page_number-input,input_image_location-input,section_instruction-input,context-input,input_text_parsed-input,explanation-output,final_answer-output,final_answer_range-output,category-input,gemini_inferences
0a0dd30b-a56c-59ec-80ec-825f55465c22,q1,3,"['q1_0.png', 'q1_1.png', 'q1_2.png']",,[],,,4,1-4,, 3
0a0dd30b-a56c-59ec-80ec-825f55465c22,q2,3,"['q2_0.png', 'q2_1.png']",,[],,,2,1-4,, 3
0a0dd30b-a56c-59ec-80ec-825f55465c22,q3,4,"['q3_0_c1.png', 'q3_1_c1.png']",,"['c1_0.png', 'c1_1.png']",,,3,1-4,, 3
0a0dd30b-a56c-59ec-80ec-825f55465c22,q4,4,"['q4_0_c1.png', 'q4_1_c1.png']",,"['c1_0.png', 'c1_1.png']",,,1,1-4,, 4
0a0dd30b-a56c-59ec-80ec-825f55465c22,q5,5,['q5_0_c2.png'],,['c2.png'],,,2,1-4,, 4
0a0dd30b-a56c-59ec-80ec-825f55465c22,q6,5,['q6_0_c2.png'],,['c2.png'],,,3,1-4,, 4
0a0dd30b-a56c-59ec-80ec-825f55465c22,q7,6,['q7_0.png'],,[],,,1,1-4,, 2
0a0dd30b-a56c-59ec-80ec-825f55465c22,q8,6,"['q8_0.png', 'q8_1.png']",,[],,,4,1-4,, 4) 14
0a0dd30b-a56c-59ec-80ec-825f55465c22,q9,6,"['q9_0.png', 'q9_1.png']",,[],,,3,1-4,, 4) 17
0a0dd30b-a56c-59ec-80ec-825f55465c22,q10,7,"['q10_0.png', 'q10_1.png']",,[],,,2,1-4,, 4
0a0dd30b-a56c-59ec-80ec-825f55465c22,q11,7,['q11_0_c3.png'],,['c3.png'],,,1,1-4,, 4
0a0dd30b-a56c-59ec-80ec-825f55465c22,q12,7,['q12_0_c3.png'],,['c3.png'],,,2,1-4,, 4
0a0dd30b-a56c-59ec-80ec-825f55465c22,q13,7,['q13_0_c3.png'],,['c3.png'],,,1,1-4,, 3
0a0dd30b-a56c-59ec-80ec-825f55465c22,q14,8,['q14_0_c4.png'],,['c4.png'],,,3,1-4,, 2) 38
0a0dd30b-a56c-59ec-80ec-825f55465c22,q15,8,['q15_0_c4.png'],,['c4.png'],,,2,1-4,, 4) 435
0a0dd30b-a56c-59ec-80ec-825f55465c22,q16,8,['q16_0_c4.png'],,['c4.png'],,,4,1-4,, 4
0a0dd30b-a56c-59ec-80ec-825f55465c22,q17,8,['q17_0_c4.png'],,['c4.png'],,,3,1-4,, 4
0a0dd30b-a56c-59ec-80ec-825f55465c22,q18,9,['q18_0.png'],,[],,,1,1-4,, 4
0a0dd30b-a56c-59ec-80ec-825f55465c22,q19,9,['q19_0_c5.png'],,['c5.png'],,,4,1-4,," 4) 14, 156"
0a0dd30b-a56c-59ec-80ec-825f55465c22,q20,9,['q20_0_c5.png'],,['c5.png'],,,2,1-4,, 4) 1400
0a0dd30b-a56c-59ec-80ec-825f55465c22,q21,9,['q21_0_c5.png'],,['c5.png'],,,1,1-4,, 4) RDKGDL
0a0dd30b-a56c-59ec-80ec-825f55465c22,q22,10,['q22_0_c5.png'],,['c5.png'],,,4,1-4,, 4
0a0dd30b-a56c-59ec-80ec-825f55465c22,q23,10,['q23_0_c5.png'],,['c5.png'],,,3,1-4,, 4
0a0dd30b-a56c-59ec-80ec-825f55465c22,q24,10,"['q24_0.png', 'q24_1.png']",,[],,,2,1-4,, 4) 500
0a0dd30b-a56c-59ec-80ec-825f55465c22,q25,11,['q25_0.png'],,[],,,1,1-4,, 4
0a0dd30b-a56c-59ec-80ec-825f55465c22,q26,12,"['q26_0_c6.png', 'q26_1_c6.png']",,"['c6_0.png', 'c6_1.png']",,,2,1-4,, 4) 40
0a0dd30b-a56c-59ec-80ec-825f55465c22,q27,12,"['q27_0_c6.png', 'q27_1_c6.png']",,"['c6_0.png', 'c6_1.png']",,,3,1-4,, 4) 60
0a0dd30b-a56c-59ec-80ec-825f55465c22,q28,13,['q28_0.png'],,[],,,4,1-4,, 4
0a0dd30b-a56c-59ec-80ec-825f55465c22,q29,13,['q29_0.png'],,[],,,2,1-4,, 2
0a0dd30b-a56c-59ec-80ec-825f55465c22,q30,14,['q30_0_c7.png'],,['c7.png'],,,1,1-4,, 4
0a0dd30b-a56c-59ec-80ec-825f55465c22,q31,14,['q31_0_c7.png'],,['c7.png'],,,4,1-4,, 4
0a0dd30b-a56c-59ec-80ec-825f55465c22,q32,14,['q32_0.png'],,[],,,4,1-4,, 4
0a0dd30b-a56c-59ec-80ec-825f55465c22,q33,15,"['q33_0.png', 'q33_1.png']",,[],,,2,1-4,, 3
0a0dd30b-a56c-59ec-80ec-825f55465c22,q34,15,"['q34_0.png', 'q34_1.png']",,[],,,4,1-4,, 4
0a0dd30b-a56c-59ec-80ec-825f55465c22,q35,16,"['q35_0.png', 'q35_1.png', 'q35_2.png']",,[],,,3,1-4,, 4
0a0dd30b-a56c-59ec-80ec-825f55465c22,q36,16,"['q36_0.png', 'q36_1.png', 'q36_2.png']",,[],,,1,1-4,, 1) A and C only
0a0dd30b-a56c-59ec-80ec-825f55465c22,q37,17,"['q37_0.png', 'q37_1.png']",,[],,,4,1-4,," 2) Professors, Engineers, Doctors, Industrialists"
0a0dd30b-a56c-59ec-80ec-825f55465c22,q38,18,['q38_0_c8.png'],,['c8.png'],,,1,1-4,, 4
0a0dd30b-a56c-59ec-80ec-825f55465c22,q39,18,['q39_0_c8.png'],,['c8.png'],,,3,1-4,, 4
0a0dd30b-a56c-59ec-80ec-825f55465c22,q40,18,"['q40_0.png', 'q40_1.png']",,[],,,2,1-4,, 4
0a0dd30b-a56c-59ec-80ec-825f55465c22,q41,19,"['q41_0.png', 'q41_1.png']",,[],,,3,1-4,, 3
0a0dd30b-a56c-59ec-80ec-825f55465c22,q42,19,"['q42_0.png', 'q42_1.png']",,[],,,1,1-4,," 4) T, P"
0a0dd30b-a56c-59ec-80ec-825f55465c22,q43,20,"['q43_0.png', 'q43_1.png']",,[],,,4,1-4,, 4
0a0dd30b-a56c-59ec-80ec-825f55465c22,q44,20,['q44_0.png'],,[],,,2,1-4,, 2
0a0dd30b-a56c-59ec-80ec-825f55465c22,q45,21,['q45_0_c9.png'],,['c9.png'],,,1,1-4,, 2
0a0dd30b-a56c-59ec-80ec-825f55465c22,q46,21,['q46_0_c9.png'],,['c9.png'],,,3,1-4,, 4
0a0dd30b-a56c-59ec-80ec-825f55465c22,q47,22,['q47_0_c10.png'],,['c10.png'],,,2,1-4,, 4
0a0dd30b-a56c-59ec-80ec-825f55465c22,q48,22,['q48_0_c10.png'],,['c10.png'],,,4,1-4,, 4
0a0dd30b-a56c-59ec-80ec-825f55465c22,q49,23,['q49_0.png'],,[],,,4,1-4,, 2
0a0dd30b-a56c-59ec-80ec-825f55465c22,q50,23,"['q50_0.png', 'q50_1.png']",,[],,,1,1-4,, 4
