paper_id-input,sample_id-input,page_number-input,input_image_location-input,section_instruction-input,context-input,input_text_parsed-input,explanation-output,final_answer-output,final_answer_range-output,category-input
f4951250-3f5c-557a-8efb-a51b94ef0eea,q1,,['q1_0_c1.png'],,['c1.png'],,,,,
f4951250-3f5c-557a-8efb-a51b94ef0eea,q2,,['q2_0_c1.png'],,['c1.png'],,,,,
f4951250-3f5c-557a-8efb-a51b94ef0eea,q3,,['q3_0_c1.png'],,['c1.png'],,,,,
f4951250-3f5c-557a-8efb-a51b94ef0eea,q4,,['q4_0_c1.png'],,['c1.png'],,,,,
f4951250-3f5c-557a-8efb-a51b94ef0eea,q5,,['q5_0_c1.png'],,['c1.png'],,,,,
f4951250-3f5c-557a-8efb-a51b94ef0eea,q6,,"['q6_0.png', 'q6_1.png']",,[],,,,,
f4951250-3f5c-557a-8efb-a51b94ef0eea,q7,,"['q7_0.png', 'q7_1.png']",,[],,,,,
f4951250-3f5c-557a-8efb-a51b94ef0eea,q8,,"['q8_0.png', 'q8_1.png']",,[],,,,,
f4951250-3f5c-557a-8efb-a51b94ef0eea,q9,,['q9_0.png'],,[],,,,,
f4951250-3f5c-557a-8efb-a51b94ef0eea,q10,,['q10_0.png'],,[],,,,,
f4951250-3f5c-557a-8efb-a51b94ef0eea,q11,,['q11_0_c2.png'],,['c2.png'],,,,,
f4951250-3f5c-557a-8efb-a51b94ef0eea,q12,,['q12_0_c2.png'],,['c2.png'],,,,,
f4951250-3f5c-557a-8efb-a51b94ef0eea,q13,,['q13_0.png'],,[],,,,,
f4951250-3f5c-557a-8efb-a51b94ef0eea,q14,,['q14_0_c3.png'],,['c3.png'],,,,,
f4951250-3f5c-557a-8efb-a51b94ef0eea,q15,,['q15_0_c3.png'],,['c3.png'],,,,,
f4951250-3f5c-557a-8efb-a51b94ef0eea,q16,,['q16_0_c3.png'],,['c3.png'],,,,,
f4951250-3f5c-557a-8efb-a51b94ef0eea,q17,,['q17_0_c3.png'],,['c3.png'],,,,,
f4951250-3f5c-557a-8efb-a51b94ef0eea,q18,,['q18_0_c3.png'],,['c3.png'],,,,,
f4951250-3f5c-557a-8efb-a51b94ef0eea,q19,,"['q19_0_c4.png', 'q19_1_c4.png']",,['c4.png'],,,,,
f4951250-3f5c-557a-8efb-a51b94ef0eea,q20,,"['q20_0_c4.png', 'q20_1_c4.png']",,['c4.png'],,,,,
f4951250-3f5c-557a-8efb-a51b94ef0eea,q21,,"['q21_0_c4.png', 'q21_1_c4.png']",,['c4.png'],,,,,
f4951250-3f5c-557a-8efb-a51b94ef0eea,q22,,"['q22_0.png', 'q22_1.png']",,[],,,,,
f4951250-3f5c-557a-8efb-a51b94ef0eea,q23,,['q23_0.png'],,[],,,,,
f4951250-3f5c-557a-8efb-a51b94ef0eea,q24,,['q24_0_c5.png'],,"['c5_0.png', 'c5_1.png']",,,,,
f4951250-3f5c-557a-8efb-a51b94ef0eea,q25,,['q25_0_c5.png'],,"['c5_0.png', 'c5_1.png']",,,,,
f4951250-3f5c-557a-8efb-a51b94ef0eea,q26,,['q26_0.png'],,[],,,,,
f4951250-3f5c-557a-8efb-a51b94ef0eea,q27,,['q27_0.png'],,[],,,,,
f4951250-3f5c-557a-8efb-a51b94ef0eea,q28,,['q28_0_c6.png'],,['c6.png'],,,,,
f4951250-3f5c-557a-8efb-a51b94ef0eea,q29,,['q29_0_c6.png'],,['c6.png'],,,,,
f4951250-3f5c-557a-8efb-a51b94ef0eea,q30,,['q30_0_c7.png'],,['c7.png'],,,,,
f4951250-3f5c-557a-8efb-a51b94ef0eea,q31,,['q31_0_c7.png'],,['c7.png'],,,,,
f4951250-3f5c-557a-8efb-a51b94ef0eea,q32,,['q32_0_c8.png'],,['c8.png'],,,,,
f4951250-3f5c-557a-8efb-a51b94ef0eea,q33,,['q33_0_c8.png'],,['c8.png'],,,,,
f4951250-3f5c-557a-8efb-a51b94ef0eea,q34,,['q34_0_c9.png'],,['c9.png'],,,,,
f4951250-3f5c-557a-8efb-a51b94ef0eea,q35,,['q35_0_c9.png'],,['c9.png'],,,,,
f4951250-3f5c-557a-8efb-a51b94ef0eea,q36,,['q36_0.png'],,[],,,,,
f4951250-3f5c-557a-8efb-a51b94ef0eea,q37,,"['q37_0.png', 'q37_1.png']",,[],,,,,
f4951250-3f5c-557a-8efb-a51b94ef0eea,q38,,"['q38_0.png', 'q38_1.png']",,[],,,,,
f4951250-3f5c-557a-8efb-a51b94ef0eea,q39,,"['q39_0.png', 'q39_1.png']",,[],,,,,
f4951250-3f5c-557a-8efb-a51b94ef0eea,q40,,['q40_0.png'],,[],,,,,
f4951250-3f5c-557a-8efb-a51b94ef0eea,q41,,['q41_0_c10.png'],,['c10.png'],,,,,
f4951250-3f5c-557a-8efb-a51b94ef0eea,q42,,['q42_0_c10.png'],,['c10.png'],,,,,
f4951250-3f5c-557a-8efb-a51b94ef0eea,q43,,"['q43_0.png', 'q43_1.png']",,[],,,,,
f4951250-3f5c-557a-8efb-a51b94ef0eea,q44,,"['q44_0.png', 'q44_1.png']",,[],,,,,
f4951250-3f5c-557a-8efb-a51b94ef0eea,q45,,"['q45_0.png', 'q45_1.png']",,[],,,,,
f4951250-3f5c-557a-8efb-a51b94ef0eea,q46,,"['q46_0.png', 'q46_1.png']",,[],,,,,
f4951250-3f5c-557a-8efb-a51b94ef0eea,q47,,['q47_0.png'],,[],,,,,
f4951250-3f5c-557a-8efb-a51b94ef0eea,q48,,"['q48_0.png', 'q48_1.png']",,[],,,,,
f4951250-3f5c-557a-8efb-a51b94ef0eea,q49,,"['q49_0.png', 'q49_1.png']",,[],,,,,
f4951250-3f5c-557a-8efb-a51b94ef0eea,q50,,"['q50_0.png', 'q50_1.png', 'q50_2.png']",,[],,,,,
