paper_id-input,sample_id-input,page_number-input,input_image_location-input,section_instruction-input,context-input,input_text_parsed-input,explanation-output,final_answer-output,final_answer_range-output
a8f56024-b659-5846-8c85-dba4a18235b1,q91,,['q91_0.png'],,[],,,,
a8f56024-b659-5846-8c85-dba4a18235b1,q88,,['q88_0.png'],,[],,,,
a8f56024-b659-5846-8c85-dba4a18235b1,q93,,['q93_0.png'],,[],,,,
a8f56024-b659-5846-8c85-dba4a18235b1,q97,,['q97_0.png'],,[],,,,
a8f56024-b659-5846-8c85-dba4a18235b1,q100,,['q100_0.png'],,[],,,,
a8f56024-b659-5846-8c85-dba4a18235b1,q95,,['q95_0.png'],,[],,,,
a8f56024-b659-5846-8c85-dba4a18235b1,q92,,['q92_0.png'],,[],,,,
a8f56024-b659-5846-8c85-dba4a18235b1,q90,,['q90_0.png'],,[],,,,
a8f56024-b659-5846-8c85-dba4a18235b1,q89,,['q89_0.png'],,[],,,,
a8f56024-b659-5846-8c85-dba4a18235b1,q94,,['q94_0.png'],,[],,,,
a8f56024-b659-5846-8c85-dba4a18235b1,q96,,['q96_0.png'],,[],,,,
a8f56024-b659-5846-8c85-dba4a18235b1,q83,,['q83_0.png'],,[],,,,
a8f56024-b659-5846-8c85-dba4a18235b1,q98,,['q98_0.png'],,[],,,,
a8f56024-b659-5846-8c85-dba4a18235b1,q81,,['q81_0.png'],,[],,,,
a8f56024-b659-5846-8c85-dba4a18235b1,q85,,['q85_0.png'],,[],,,,
a8f56024-b659-5846-8c85-dba4a18235b1,q87,,['q87_0.png'],,[],,,,
a8f56024-b659-5846-8c85-dba4a18235b1,q99,,['q99_0.png'],,[],,,,
a8f56024-b659-5846-8c85-dba4a18235b1,q82,,['q82_0.png'],,[],,,,
a8f56024-b659-5846-8c85-dba4a18235b1,q86,,['q86_0.png'],,[],,,,
a8f56024-b659-5846-8c85-dba4a18235b1,q84,,['q84_0.png'],,[],,,,
