paper_id-input,sample_id-input,page_number-input,input_image_location-input,section_instruction-input,context-input,input_text_parsed-input,explanation-output,final_answer-output,final_answer_range-output,category-input
c52f97cc-8d8c-5798-9202-84cf93f716cb,q1,,['q1_0_c1.png'],,['c1.png'],,,,,
c52f97cc-8d8c-5798-9202-84cf93f716cb,q2,,['q2_0_c1.png'],,['c1.png'],,,,,
c52f97cc-8d8c-5798-9202-84cf93f716cb,q3,,['q3_0.png'],,[],,,,,
c52f97cc-8d8c-5798-9202-84cf93f716cb,q4,,['q4_0_c2.png'],,['c2.png'],,,,,
c52f97cc-8d8c-5798-9202-84cf93f716cb,q5,,['q5_0_c2.png'],,['c2.png'],,,,,
c52f97cc-8d8c-5798-9202-84cf93f716cb,q6,,['q6_0_c3.png'],,['c3.png'],,,,,
c52f97cc-8d8c-5798-9202-84cf93f716cb,q7,,['q7_0_c3.png'],,['c3.png'],,,,,
c52f97cc-8d8c-5798-9202-84cf93f716cb,q8,,['q8_0_c4.png'],,['c4.png'],,,,,
c52f97cc-8d8c-5798-9202-84cf93f716cb,q9,,['q9_0_c4.png'],,['c4.png'],,,,,
c52f97cc-8d8c-5798-9202-84cf93f716cb,q10,,['q10_0.png'],,[],,,,,
c52f97cc-8d8c-5798-9202-84cf93f716cb,q11,,['q11_0.png'],,[],,,,,
c52f97cc-8d8c-5798-9202-84cf93f716cb,q12,,['q12_0.png'],,[],,,,,
c52f97cc-8d8c-5798-9202-84cf93f716cb,q13,,['q13_0.png'],,[],,,,,
c52f97cc-8d8c-5798-9202-84cf93f716cb,q14,,['q14_0_c5.png'],,['c5.png'],,,,,
c52f97cc-8d8c-5798-9202-84cf93f716cb,q15,,['q15_0_c5.png'],,['c5.png'],,,,,
c52f97cc-8d8c-5798-9202-84cf93f716cb,q16,,['q16_0.png'],,[],,,,,
c52f97cc-8d8c-5798-9202-84cf93f716cb,q18,,['q18_0_c6.png'],,['c6.png'],,,,,
c52f97cc-8d8c-5798-9202-84cf93f716cb,q19,,"['q19_0_c6.png', 'q19_1_c6.png']",,['c6.png'],,,,,
c52f97cc-8d8c-5798-9202-84cf93f716cb,q20,,['q20_0_c7.png'],,['c7.png'],,,,,
c52f97cc-8d8c-5798-9202-84cf93f716cb,q21,,['q21_0_c7.png'],,['c7.png'],,,,,
c52f97cc-8d8c-5798-9202-84cf93f716cb,q22,,['q22_0.png'],,[],,,,,
c52f97cc-8d8c-5798-9202-84cf93f716cb,q23,,['q23_0.png'],,[],,,,,
c52f97cc-8d8c-5798-9202-84cf93f716cb,q24,,['q24_0.png'],,[],,,,,
c52f97cc-8d8c-5798-9202-84cf93f716cb,q25,,"['q25_0_c8.png', 'q25_1_c8.png']",,['c8.png'],,,,,
c52f97cc-8d8c-5798-9202-84cf93f716cb,q26,,['q26_0_c8.png'],,['c8.png'],,,,,
c52f97cc-8d8c-5798-9202-84cf93f716cb,q27,,['q27_0_c9.png'],,['c9.png'],,,,,
c52f97cc-8d8c-5798-9202-84cf93f716cb,q28,,['q28_0_c9.png'],,['c9.png'],,,,,
c52f97cc-8d8c-5798-9202-84cf93f716cb,q29,,['q29_0.png'],,[],,,,,
c52f97cc-8d8c-5798-9202-84cf93f716cb,q30,,['q30_0_c10.png'],,['c10.png'],,,,,
c52f97cc-8d8c-5798-9202-84cf93f716cb,q31,,['q31_0_c10.png'],,['c10.png'],,,,,
c52f97cc-8d8c-5798-9202-84cf93f716cb,q32,,"['q32_0.png', 'q32_1.png']",,[],,,,,
c52f97cc-8d8c-5798-9202-84cf93f716cb,q33,,['q33_0_c11.png'],,['c11.png'],,,,,
c52f97cc-8d8c-5798-9202-84cf93f716cb,q34,,['q34_0_c11.png'],,['c11.png'],,,,,
c52f97cc-8d8c-5798-9202-84cf93f716cb,q35,,['q35_0_c12.png'],,['c12.png'],,,,,
c52f97cc-8d8c-5798-9202-84cf93f716cb,q36,,['q36_0_c12.png'],,['c12.png'],,,,,
c52f97cc-8d8c-5798-9202-84cf93f716cb,q37,,['q37_0.png'],,[],,,,,
c52f97cc-8d8c-5798-9202-84cf93f716cb,q39,,['q39_0_c13.png'],,['c13.png'],,,,,
c52f97cc-8d8c-5798-9202-84cf93f716cb,q40,,['q40_0_c13.png'],,['c13.png'],,,,,
c52f97cc-8d8c-5798-9202-84cf93f716cb,q41,,['q41_0.png'],,[],,,,,
c52f97cc-8d8c-5798-9202-84cf93f716cb,q42,,['q42_0.png'],,[],,,,,
c52f97cc-8d8c-5798-9202-84cf93f716cb,q43,,"['q43_0.png', 'q43_1.png']",,[],,,,,
c52f97cc-8d8c-5798-9202-84cf93f716cb,q44,,['q44_0.png'],,[],,,,,
c52f97cc-8d8c-5798-9202-84cf93f716cb,q45,,['q45_0_c14.png'],,['c14.png'],,,,,
c52f97cc-8d8c-5798-9202-84cf93f716cb,q46,,['q46_0_c14.png'],,['c14.png'],,,,,
c52f97cc-8d8c-5798-9202-84cf93f716cb,q47,,['q47_0_c15.png'],,"['c15_0.png', 'c15_1.png']",,,,,
c52f97cc-8d8c-5798-9202-84cf93f716cb,q48,,['q48_0_c15.png'],,"['c15_0.png', 'c15_1.png']",,,,,
c52f97cc-8d8c-5798-9202-84cf93f716cb,q49,,['q49_0_c16.png'],,['c16.png'],,,,,
c52f97cc-8d8c-5798-9202-84cf93f716cb,q50,,['q50_0_c16.png'],,['c16.png'],,,,,
