paper_id-input,sample_id-input,page_number-input,input_image_location-input,section_instruction-input,context-input,input_text_parsed-input,explanation-output,final_answer-output,final_answer_range-output,category-input
5f88ad54-b244-5515-b9a3-47ea737ff009,q81,,['q81_0.png'],,[],,,,,
5f88ad54-b244-5515-b9a3-47ea737ff009,q82,,['q82_0.png'],,[],,,,,
5f88ad54-b244-5515-b9a3-47ea737ff009,q83,,['q83_0.png'],,[],,,,,
5f88ad54-b244-5515-b9a3-47ea737ff009,q84,,['q84_0.png'],,[],,,,,
5f88ad54-b244-5515-b9a3-47ea737ff009,q85,,['q85_0.png'],,[],,,,,
5f88ad54-b244-5515-b9a3-47ea737ff009,q86,,"['q86_0.png', 'q86_1.png']",,[],,,,,
5f88ad54-b244-5515-b9a3-47ea737ff009,q87,,['q87_0.png'],,[],,,,,
5f88ad54-b244-5515-b9a3-47ea737ff009,q88,,['q88_0.png'],,[],,,,,
5f88ad54-b244-5515-b9a3-47ea737ff009,q89,,['q89_0.png'],,[],,,,,
5f88ad54-b244-5515-b9a3-47ea737ff009,q90,,['q90_0.png'],,[],,,,,
5f88ad54-b244-5515-b9a3-47ea737ff009,q91,,['q91_0.png'],,[],,,,,
5f88ad54-b244-5515-b9a3-47ea737ff009,q92,,['q92_0.png'],,[],,,,,
5f88ad54-b244-5515-b9a3-47ea737ff009,q93,,['q93_0.png'],,[],,,,,
5f88ad54-b244-5515-b9a3-47ea737ff009,q94,,['q94_0.png'],,[],,,,,
5f88ad54-b244-5515-b9a3-47ea737ff009,q95,,['q95_0.png'],,[],,,,,
5f88ad54-b244-5515-b9a3-47ea737ff009,q96,,['q96_0.png'],,[],,,,,
5f88ad54-b244-5515-b9a3-47ea737ff009,q97,,['q97_0.png'],,[],,,,,
5f88ad54-b244-5515-b9a3-47ea737ff009,q98,,['q98_0.png'],,[],,,,,
5f88ad54-b244-5515-b9a3-47ea737ff009,q99,,['q99_0.png'],,[],,,,,
5f88ad54-b244-5515-b9a3-47ea737ff009,q100,,['q100_0.png'],,[],,,,,
