paper_id-input,sample_id-input,page_number-input,input_image_location-input,section_instruction-input,context-input,input_text_parsed-input,explanation-output,final_answer-output,final_answer_range-output,category-input
621362a1-281b-5c39-804a-1bc4a889e6fd,q1,,['q1_0_c1.png'],,c1.png,,,,,
621362a1-281b-5c39-804a-1bc4a889e6fd,q2,,['q2_0_c1.png'],,c1.png,,,,,
621362a1-281b-5c39-804a-1bc4a889e6fd,q3,,['q3_0_c1.png'],,c1.png,,,,,
621362a1-281b-5c39-804a-1bc4a889e6fd,q4,,['q4_0_c1.png'],,c1.png,,,,,
621362a1-281b-5c39-804a-1bc4a889e6fd,q5,,['q5_0_c1.png'],,c1.png,,,,,
621362a1-281b-5c39-804a-1bc4a889e6fd,q6,,['q6_0.png'],,NO_CONTEXT,,,,,
621362a1-281b-5c39-804a-1bc4a889e6fd,q7,,['q7_0.png'],,NO_CONTEXT,,,,,
621362a1-281b-5c39-804a-1bc4a889e6fd,q8,,['q8_0.png'],,NO_CONTEXT,,,,,
621362a1-281b-5c39-804a-1bc4a889e6fd,q9,,['q9_0_c2.png'],,c2.png,,,,,
621362a1-281b-5c39-804a-1bc4a889e6fd,q10,,['q10_0_c2.png'],,c2.png,,,,,
621362a1-281b-5c39-804a-1bc4a889e6fd,q11,,['q11_0_c2.png'],,c2.png,,,,,
621362a1-281b-5c39-804a-1bc4a889e6fd,q12,,['q12_0_c2.png'],,c2.png,,,,,
621362a1-281b-5c39-804a-1bc4a889e6fd,q13,,['q13_0_c2.png'],,c2.png,,,,,
621362a1-281b-5c39-804a-1bc4a889e6fd,q14,,['q14_0.png'],,NO_CONTEXT,,,,,
621362a1-281b-5c39-804a-1bc4a889e6fd,q15,,['q15_0.png'],,NO_CONTEXT,,,,,
621362a1-281b-5c39-804a-1bc4a889e6fd,q16,,['q16_0.png'],,NO_CONTEXT,,,,,
621362a1-281b-5c39-804a-1bc4a889e6fd,q17,,['q17_0.png'],,NO_CONTEXT,,,,,
621362a1-281b-5c39-804a-1bc4a889e6fd,q18,,['q18_0.png'],,NO_CONTEXT,,,,,
621362a1-281b-5c39-804a-1bc4a889e6fd,q19,,['q19_0.png'],,NO_CONTEXT,,,,,
