paper_id-input,sample_id-input,page_number-input,input_image_location-input,section_instruction-input,context-input,input_text_parsed-input,explanation-output,final_answer-output,final_answer_range-output,category-input,gemini_inferences
ce48ecfa-9052-5cca-accd-6cbe128e3571,q1,2,['q1_0_c1.png'],,['c1.png'],,,1,4-Jan,, 4
ce48ecfa-9052-5cca-accd-6cbe128e3571,q2,2,['q2_0_c1.png'],,['c1.png'],,,4,4-Jan,, 4
ce48ecfa-9052-5cca-accd-6cbe128e3571,q3,2,['q3_0_c2.png'],,['c2.png'],,,1,4-Jan,, 4
ce48ecfa-9052-5cca-accd-6cbe128e3571,q4,2,['q4_0_c2.png'],,['c2.png'],,,4,4-Jan,, 4
ce48ecfa-9052-5cca-accd-6cbe128e3571,q5,2,['q5_0_c2.png'],,['c2.png'],,,2,4-Jan,, 4
ce48ecfa-9052-5cca-accd-6cbe128e3571,q6,2,['q6_0.png'],,[],,,4,4-Jan,, 4
ce48ecfa-9052-5cca-accd-6cbe128e3571,q7,2,['q7_0.png'],,[],,,3,4-Jan,, 1
ce48ecfa-9052-5cca-accd-6cbe128e3571,q8,2,['q8_0_c3.png'],,['c3.png'],,,1,4-Jan,, 4
ce48ecfa-9052-5cca-accd-6cbe128e3571,q9,2,['q9_0_c3.png'],,['c3.png'],,,4,4-Jan,, 4
ce48ecfa-9052-5cca-accd-6cbe128e3571,q10,3,['q10_0.png'],,[],,,1,4-Jan,, 2
ce48ecfa-9052-5cca-accd-6cbe128e3571,q11,3,['q11_0.png'],,[],,,2,4-Jan,, 4
ce48ecfa-9052-5cca-accd-6cbe128e3571,q12,3,['q12_0.png'],,[],,,2,4-Jan,, 4
ce48ecfa-9052-5cca-accd-6cbe128e3571,q13,3,['q13_0.png'],,[],,,1,4-Jan,, 4
ce48ecfa-9052-5cca-accd-6cbe128e3571,q14,3,['q14_0.png'],,[],,,3,4-Jan,, (3)
ce48ecfa-9052-5cca-accd-6cbe128e3571,q15,3,['q15_0.png'],,[],,,2,4-Jan,, 4
ce48ecfa-9052-5cca-accd-6cbe128e3571,q18,4,['q18_0_c4.png'],,['c4.png'],,,3,4-Jan,, 4
ce48ecfa-9052-5cca-accd-6cbe128e3571,q19,4,['q19_0_c4.png'],,['c4.png'],,,4,4-Jan,, 4
ce48ecfa-9052-5cca-accd-6cbe128e3571,q20,4,['q20_0_c4.png'],,['c4.png'],,,3,4-Jan,, 4
ce48ecfa-9052-5cca-accd-6cbe128e3571,q21,5,['q21_0_c5.png'],,['c5.png'],,,3,4-Jan,, 4
ce48ecfa-9052-5cca-accd-6cbe128e3571,q22,5,['q22_0_c5.png'],,['c5.png'],,,1,4-Jan,, 4
ce48ecfa-9052-5cca-accd-6cbe128e3571,q23,5,['q23_0_c6.png'],,['c6.png'],,,3,4-Jan,, 4
ce48ecfa-9052-5cca-accd-6cbe128e3571,q24,5,['q24_0_c6.png'],,['c6.png'],,,2,4-Jan,, 4
ce48ecfa-9052-5cca-accd-6cbe128e3571,q25,5,['q25_0_c7.png'],,['c7.png'],,,2,4-Jan,, 4
ce48ecfa-9052-5cca-accd-6cbe128e3571,q26,5,['q26_0_c7.png'],,['c7.png'],,,3,4-Jan,, 4
ce48ecfa-9052-5cca-accd-6cbe128e3571,q27,6,['q27_0.png'],,[],,,1,4-Jan,, 4
ce48ecfa-9052-5cca-accd-6cbe128e3571,q28,6,['q28_0_c8.png'],,['c8.png'],,,3,4-Jan,, 4
ce48ecfa-9052-5cca-accd-6cbe128e3571,q29,6,['q29_0_c8.png'],,['c8.png'],,,2,4-Jan,, 4
ce48ecfa-9052-5cca-accd-6cbe128e3571,q30,6,['q30_0_c9.png'],,['c9.png'],,,4,4-Jan,, 4
ce48ecfa-9052-5cca-accd-6cbe128e3571,q31,6,['q31_0_c9.png'],,['c9.png'],,,3,4-Jan,, 4
ce48ecfa-9052-5cca-accd-6cbe128e3571,q32,6,['q32_0.png'],,[],,,1,4-Jan,, 4
ce48ecfa-9052-5cca-accd-6cbe128e3571,q33,7,['q33_0_c10.png'],,['c10.png'],,,3,4-Jan,, 4
ce48ecfa-9052-5cca-accd-6cbe128e3571,q34,7,['q34_0_c10.png'],,['c10.png'],,,2,4-Jan,, 4
ce48ecfa-9052-5cca-accd-6cbe128e3571,q35,7,['q35_0_c11.png'],,['c11.png'],,,3,4-Jan,, 4
ce48ecfa-9052-5cca-accd-6cbe128e3571,q36,7,['q36_0_c11.png'],,['c11.png'],,,4,4-Jan,, 4
ce48ecfa-9052-5cca-accd-6cbe128e3571,q37,7,['q37_0.png'],,[],,,2,4-Jan,, 2
ce48ecfa-9052-5cca-accd-6cbe128e3571,q38,8,['q38_0.png'],,[],,,3,4-Jan,, 4
ce48ecfa-9052-5cca-accd-6cbe128e3571,q39,8,['q39_0_c12.png'],,['c12.png'],,,1,4-Jan,, 2
ce48ecfa-9052-5cca-accd-6cbe128e3571,q40,8,['q40_0_c12.png'],,['c12.png'],,,1,4-Jan,, 2
ce48ecfa-9052-5cca-accd-6cbe128e3571,q41,8,['q41_0_c13.png'],,['c13.png'],,,2,4-Jan,, 2
ce48ecfa-9052-5cca-accd-6cbe128e3571,q42,8,['q42_0_c13.png'],,['c13.png'],,,1,4-Jan,, 2
ce48ecfa-9052-5cca-accd-6cbe128e3571,q43,8,['q43_0.png'],,[],,,4,4-Jan,, 4
ce48ecfa-9052-5cca-accd-6cbe128e3571,q44,9,['q44_0_c14.png'],,['c14.png'],,,"[2,4]",4-Jan,, 4
ce48ecfa-9052-5cca-accd-6cbe128e3571,q45,9,['q45_0_c14.png'],,['c14.png'],,,2,4-Jan,, 4
ce48ecfa-9052-5cca-accd-6cbe128e3571,q46,9,['q46_0.png'],,[],,,1,4-Jan,, 4
ce48ecfa-9052-5cca-accd-6cbe128e3571,q47,9,['q47_0.png'],,[],,,1,4-Jan,, 4
ce48ecfa-9052-5cca-accd-6cbe128e3571,q48,9,['q48_0.png'],,[],,,3,4-Jan,, 4
ce48ecfa-9052-5cca-accd-6cbe128e3571,q49,10,['q49_0_c15.png'],,['c15.png'],,,4,4-Jan,, 4
ce48ecfa-9052-5cca-accd-6cbe128e3571,q50,10,['q50_0_c15.png'],,['c15.png'],,,3,4-Jan,, 4
