paper_id-input,sample_id-input,page_number-input,input_image_location-input,section_instruction-input,context-input,input_text_parsed-input,explanation-output,final_answer-output,final_answer_range-output,category-input
49cff49e-8bd0-5538-8807-b3c74b648b2c,q81,,['q81_0.png'],,NO_CONTEXT,,,,,
49cff49e-8bd0-5538-8807-b3c74b648b2c,q82,,['q82_0.png'],,NO_CONTEXT,,,,,
49cff49e-8bd0-5538-8807-b3c74b648b2c,q83,,['q83_0.png'],,NO_CONTEXT,,,,,
49cff49e-8bd0-5538-8807-b3c74b648b2c,q84,,['q84_0.png'],,NO_CONTEXT,,,,,
49cff49e-8bd0-5538-8807-b3c74b648b2c,q85,,['q85_0.png'],,NO_CONTEXT,,,,,
49cff49e-8bd0-5538-8807-b3c74b648b2c,q86,,['q86_0.png'],,NO_CONTEXT,,,,,
49cff49e-8bd0-5538-8807-b3c74b648b2c,q87,,['q87_0.png'],,NO_CONTEXT,,,,,
49cff49e-8bd0-5538-8807-b3c74b648b2c,q88,,['q88_0.png'],,NO_CONTEXT,,,,,
49cff49e-8bd0-5538-8807-b3c74b648b2c,q89,,['q89_0.png'],,NO_CONTEXT,,,,,
49cff49e-8bd0-5538-8807-b3c74b648b2c,q90,,['q90_0.png'],,NO_CONTEXT,,,,,
49cff49e-8bd0-5538-8807-b3c74b648b2c,q91,,['q91_0.png'],,NO_CONTEXT,,,,,
49cff49e-8bd0-5538-8807-b3c74b648b2c,q92,,['q92_0.png'],,NO_CONTEXT,,,,,
49cff49e-8bd0-5538-8807-b3c74b648b2c,q93,,['q93_0.png'],,NO_CONTEXT,,,,,
49cff49e-8bd0-5538-8807-b3c74b648b2c,q94,,['q94_0.png'],,NO_CONTEXT,,,,,
49cff49e-8bd0-5538-8807-b3c74b648b2c,q95,,['q95_0.png'],,NO_CONTEXT,,,,,
49cff49e-8bd0-5538-8807-b3c74b648b2c,q96,,['q96_0.png'],,NO_CONTEXT,,,,,
49cff49e-8bd0-5538-8807-b3c74b648b2c,q97,,['q97_0.png'],,NO_CONTEXT,,,,,
49cff49e-8bd0-5538-8807-b3c74b648b2c,q98,,['q98_0.png'],,NO_CONTEXT,,,,,
49cff49e-8bd0-5538-8807-b3c74b648b2c,q99,,['q99_0.png'],,NO_CONTEXT,,,,,
49cff49e-8bd0-5538-8807-b3c74b648b2c,q100,,['q100_0.png'],,NO_CONTEXT,,,,,
