paper_id-input,sample_id-input,page_number-input,input_image_location-input,section_instruction-input,context-input,input_text_parsed-input,explanation-output,final_answer-output,final_answer_range-output,category-input
709e03d6-f579-5093-94df-d7927be415db,q1,,['q1_0_c1.png'],,['c1.png'],,,,,
709e03d6-f579-5093-94df-d7927be415db,q2,,['q2_0_c1.png'],,['c1.png'],,,,,
709e03d6-f579-5093-94df-d7927be415db,q3,,['q3_0_c1.png'],,['c1.png'],,,,,
709e03d6-f579-5093-94df-d7927be415db,q4,,['q4_0_c1.png'],,['c1.png'],,,,,
709e03d6-f579-5093-94df-d7927be415db,q5,,['q5_0_c1.png'],,['c1.png'],,,,,
709e03d6-f579-5093-94df-d7927be415db,q6,,['q6_0.png'],,[],,,,,
709e03d6-f579-5093-94df-d7927be415db,q7,,['q7_0.png'],,[],,,,,
709e03d6-f579-5093-94df-d7927be415db,q8,,['q8_0.png'],,[],,,,,
709e03d6-f579-5093-94df-d7927be415db,q9,,['q9_0.png'],,[],,,,,
709e03d6-f579-5093-94df-d7927be415db,q10,,['q10_0.png'],,[],,,,,
709e03d6-f579-5093-94df-d7927be415db,q11,,['q11_0.png'],,[],,,,,
709e03d6-f579-5093-94df-d7927be415db,q12,,['q12_0.png'],,[],,,,,
709e03d6-f579-5093-94df-d7927be415db,q13,,['q13_0.png'],,[],,,,,
709e03d6-f579-5093-94df-d7927be415db,q14,,['q14_0.png'],,[],,,,,
709e03d6-f579-5093-94df-d7927be415db,q15,,['q15_0.png'],,[],,,,,
709e03d6-f579-5093-94df-d7927be415db,q16,,['q16_0_c2.png'],,['c2.png'],,,,,
709e03d6-f579-5093-94df-d7927be415db,q17,,['q17_0_c2.png'],,['c2.png'],,,,,
709e03d6-f579-5093-94df-d7927be415db,q18,,['q18_0_c2.png'],,['c2.png'],,,,,
709e03d6-f579-5093-94df-d7927be415db,q19,,['q19_0_c3.png'],,['c3.png'],,,,,
709e03d6-f579-5093-94df-d7927be415db,q20,,['q20_0_c3.png'],,['c3.png'],,,,,
709e03d6-f579-5093-94df-d7927be415db,q21,,['q21_0_c3.png'],,['c3.png'],,,,,
709e03d6-f579-5093-94df-d7927be415db,q22,,['q22_0_c3.png'],,['c3.png'],,,,,
709e03d6-f579-5093-94df-d7927be415db,q23,,['q23_0.png'],,[],,,,,
709e03d6-f579-5093-94df-d7927be415db,q24,,['q24_0_c4.png'],,['c4.png'],,,,,
709e03d6-f579-5093-94df-d7927be415db,q25,,['q25_0_c4.png'],,['c4.png'],,,,,
709e03d6-f579-5093-94df-d7927be415db,q26,,['q26_0_c4.png'],,['c4.png'],,,,,
709e03d6-f579-5093-94df-d7927be415db,q27,,['q27_0_c4.png'],,['c4.png'],,,,,
709e03d6-f579-5093-94df-d7927be415db,q28,,['q28_0_c4.png'],,['c4.png'],,,,,
709e03d6-f579-5093-94df-d7927be415db,q29,,['q29_0_c5.png'],,['c5.png'],,,,,
709e03d6-f579-5093-94df-d7927be415db,q30,,['q30_0_c5.png'],,['c5.png'],,,,,
709e03d6-f579-5093-94df-d7927be415db,q31,,['q31_0_c5.png'],,['c5.png'],,,,,
709e03d6-f579-5093-94df-d7927be415db,q32,,['q32_0_c5.png'],,['c5.png'],,,,,
709e03d6-f579-5093-94df-d7927be415db,q33,,['q33_0_c6.png'],,['c6.png'],,,,,
709e03d6-f579-5093-94df-d7927be415db,q34,,['q34_0_c6.png'],,['c6.png'],,,,,
709e03d6-f579-5093-94df-d7927be415db,q35,,['q35_0.png'],,[],,,,,
709e03d6-f579-5093-94df-d7927be415db,q36,,['q36_0.png'],,[],,,,,
709e03d6-f579-5093-94df-d7927be415db,q37,,['q37_0.png'],,[],,,,,
709e03d6-f579-5093-94df-d7927be415db,q38,,['q38_0.png'],,[],,,,,
709e03d6-f579-5093-94df-d7927be415db,q39,,['q39_0.png'],,[],,,,,
709e03d6-f579-5093-94df-d7927be415db,q40,,['q40_0.png'],,[],,,,,
709e03d6-f579-5093-94df-d7927be415db,q41,,['q41_0_c7.png'],,['c7.png'],,,,,
709e03d6-f579-5093-94df-d7927be415db,q42,,['q42_0_c7.png'],,['c7.png'],,,,,
709e03d6-f579-5093-94df-d7927be415db,q43,,['q43_0_c7.png'],,['c7.png'],,,,,
709e03d6-f579-5093-94df-d7927be415db,q44,,['q44_0_c8.png'],,['c8.png'],,,,,
709e03d6-f579-5093-94df-d7927be415db,q45,,['q45_0_c8.png'],,['c8.png'],,,,,
709e03d6-f579-5093-94df-d7927be415db,q46,,['q46_0_c8.png'],,['c8.png'],,,,,
709e03d6-f579-5093-94df-d7927be415db,q47,,['q47_0_c9.png'],,['c9.png'],,,,,
709e03d6-f579-5093-94df-d7927be415db,q48,,['q48_0_c9.png'],,['c9.png'],,,,,
709e03d6-f579-5093-94df-d7927be415db,q49,,['q49_0_c9.png'],,['c9.png'],,,,,
709e03d6-f579-5093-94df-d7927be415db,q50,,['q50_0.png'],,[],,,,,
