paper_id-input,sample_id-input,page_number-input,input_image_location-input,section_instruction-input,context-input,input_text_parsed-input,explanation-output,final_answer-output,final_answer_range-output,category-input
ed80d25d-c9c9-5e67-986a-710451f9f089,q101,,['q101_0.png'],,[],,,,,
ed80d25d-c9c9-5e67-986a-710451f9f089,q102,,['q102_0.png'],,[],,,,,
ed80d25d-c9c9-5e67-986a-710451f9f089,q103,,['q103_0.png'],,[],,,,,
ed80d25d-c9c9-5e67-986a-710451f9f089,q104,,['q104_0.png'],,[],,,,,
ed80d25d-c9c9-5e67-986a-710451f9f089,q105,,['q105_0.png'],,[],,,,,
ed80d25d-c9c9-5e67-986a-710451f9f089,q106,,['q106_0.png'],,[],,,,,
ed80d25d-c9c9-5e67-986a-710451f9f089,q107,,['q107_0.png'],,[],,,,,
ed80d25d-c9c9-5e67-986a-710451f9f089,q108,,['q108_0.png'],,[],,,,,
ed80d25d-c9c9-5e67-986a-710451f9f089,q109,,['q109_0.png'],,[],,,,,
ed80d25d-c9c9-5e67-986a-710451f9f089,q110,,['q110_0.png'],,[],,,,,
ed80d25d-c9c9-5e67-986a-710451f9f089,q111,,['q111_0.png'],,[],,,,,
ed80d25d-c9c9-5e67-986a-710451f9f089,q112,,['q112_0.png'],,[],,,,,
ed80d25d-c9c9-5e67-986a-710451f9f089,q113,,['q113_0.png'],,[],,,,,
ed80d25d-c9c9-5e67-986a-710451f9f089,q114,,['q114_0.png'],,[],,,,,
ed80d25d-c9c9-5e67-986a-710451f9f089,q115,,['q115_0.png'],,[],,,,,
ed80d25d-c9c9-5e67-986a-710451f9f089,q116,,['q116_0.png'],,[],,,,,
ed80d25d-c9c9-5e67-986a-710451f9f089,q117,,['q117_0.png'],,[],,,,,
ed80d25d-c9c9-5e67-986a-710451f9f089,q118,,['q118_0.png'],,[],,,,,
ed80d25d-c9c9-5e67-986a-710451f9f089,q119,,['q119_0.png'],,[],,,,,
ed80d25d-c9c9-5e67-986a-710451f9f089,q120,,['q120_0.png'],,[],,,,,
