paper_id-input,sample_id-input,page_number-input,input_image_location-input,section_instruction-input,context-input,input_text_parsed-input,explanation-output,final_answer-output,final_answer_range-output,category-input
853873d2-5103-5042-83bc-2e3bff6a1815,q1,,['q1_0_c1.png'],,['c1.png'],,,,,
853873d2-5103-5042-83bc-2e3bff6a1815,q2,,['q2_0_c1.png'],,['c1.png'],,,,,
853873d2-5103-5042-83bc-2e3bff6a1815,q3,,['q3_0_c1.png'],,['c1.png'],,,,,
853873d2-5103-5042-83bc-2e3bff6a1815,q4,,['q4_0_c1.png'],,['c1.png'],,,,,
853873d2-5103-5042-83bc-2e3bff6a1815,q5,,['q5_0_c1.png'],,['c1.png'],,,,,
853873d2-5103-5042-83bc-2e3bff6a1815,q6,,['q6_0_c2.png'],,['c2.png'],,,,,
853873d2-5103-5042-83bc-2e3bff6a1815,q7,,['q7_0_c2.png'],,['c2.png'],,,,,
853873d2-5103-5042-83bc-2e3bff6a1815,q8,,['q8_0_c2.png'],,['c2.png'],,,,,
853873d2-5103-5042-83bc-2e3bff6a1815,q9,,['q9_0_c2.png'],,['c2.png'],,,,,
853873d2-5103-5042-83bc-2e3bff6a1815,q10,,['q10_0_c2.png'],,['c2.png'],,,,,
853873d2-5103-5042-83bc-2e3bff6a1815,q11,,['q11_0.png'],,[],,,,,
853873d2-5103-5042-83bc-2e3bff6a1815,q12,,['q12_0.png'],,[],,,,,
853873d2-5103-5042-83bc-2e3bff6a1815,q13,,['q13_0.png'],,[],,,,,
853873d2-5103-5042-83bc-2e3bff6a1815,q14,,['q14_0.png'],,[],,,,,
853873d2-5103-5042-83bc-2e3bff6a1815,q15,,['q15_0.png'],,[],,,,,
853873d2-5103-5042-83bc-2e3bff6a1815,q16,,['q16_0.png'],,[],,,,,
853873d2-5103-5042-83bc-2e3bff6a1815,q17,,['q17_0.png'],,[],,,,,
853873d2-5103-5042-83bc-2e3bff6a1815,q18,,['q18_0.png'],,[],,,,,
853873d2-5103-5042-83bc-2e3bff6a1815,q19,,['q19_0_c3.png'],,['c3.png'],,,,,
853873d2-5103-5042-83bc-2e3bff6a1815,q20,,['q20_0_c3.png'],,['c3.png'],,,,,
853873d2-5103-5042-83bc-2e3bff6a1815,q21,,['q21_0.png'],,[],,,,,
853873d2-5103-5042-83bc-2e3bff6a1815,q22,,['q22_0.png'],,[],,,,,
853873d2-5103-5042-83bc-2e3bff6a1815,q23,,['q23_0_c4.png'],,['c4.png'],,,,,
853873d2-5103-5042-83bc-2e3bff6a1815,q24,,['q24_0_c4.png'],,['c4.png'],,,,,
853873d2-5103-5042-83bc-2e3bff6a1815,q25,,['q25_0_c4.png'],,['c4.png'],,,,,
853873d2-5103-5042-83bc-2e3bff6a1815,q26,,['q26_0_c4.png'],,['c4.png'],,,,,
853873d2-5103-5042-83bc-2e3bff6a1815,q27,,['q27_0_c4.png'],,['c4.png'],,,,,
853873d2-5103-5042-83bc-2e3bff6a1815,q28,,['q28_0.png'],,[],,,,,
853873d2-5103-5042-83bc-2e3bff6a1815,q29,,['q29_0.png'],,[],,,,,
853873d2-5103-5042-83bc-2e3bff6a1815,q30,,['q30_0.png'],,[],,,,,
853873d2-5103-5042-83bc-2e3bff6a1815,q31,,['q31_0.png'],,[],,,,,
853873d2-5103-5042-83bc-2e3bff6a1815,q32,,['q32_0_c5.png'],,['c5.png'],,,,,
853873d2-5103-5042-83bc-2e3bff6a1815,q33,,['q33_0_c5.png'],,['c5.png'],,,,,
853873d2-5103-5042-83bc-2e3bff6a1815,q34,,['q34_0_c5.png'],,['c5.png'],,,,,
853873d2-5103-5042-83bc-2e3bff6a1815,q35,,['q35_0_c5.png'],,['c5.png'],,,,,
853873d2-5103-5042-83bc-2e3bff6a1815,q36,,['q36_0.png'],,[],,,,,
853873d2-5103-5042-83bc-2e3bff6a1815,q37,,['q37_0.png'],,[],,,,,
853873d2-5103-5042-83bc-2e3bff6a1815,q38,,['q38_0.png'],,[],,,,,
853873d2-5103-5042-83bc-2e3bff6a1815,q39,,['q39_0.png'],,[],,,,,
853873d2-5103-5042-83bc-2e3bff6a1815,q40,,['q40_0.png'],,[],,,,,
853873d2-5103-5042-83bc-2e3bff6a1815,q41,,['q41_0.png'],,[],,,,,
853873d2-5103-5042-83bc-2e3bff6a1815,q42,,['q42_0.png'],,[],,,,,
853873d2-5103-5042-83bc-2e3bff6a1815,q43,,['q43_0.png'],,[],,,,,
853873d2-5103-5042-83bc-2e3bff6a1815,q44,,['q44_0.png'],,[],,,,,
853873d2-5103-5042-83bc-2e3bff6a1815,q45,,['q45_0.png'],,[],,,,,
853873d2-5103-5042-83bc-2e3bff6a1815,q46,,['q46_0.png'],,[],,,,,
853873d2-5103-5042-83bc-2e3bff6a1815,q47,,['q47_0.png'],,[],,,,,
853873d2-5103-5042-83bc-2e3bff6a1815,q48,,['q48_0.png'],,[],,,,,
853873d2-5103-5042-83bc-2e3bff6a1815,q49,,['q49_0.png'],,[],,,,,
853873d2-5103-5042-83bc-2e3bff6a1815,q50,,['q50_0.png'],,[],,,,,
853873d2-5103-5042-83bc-2e3bff6a1815,q51,,['q51_0.png'],,[],,,,,
853873d2-5103-5042-83bc-2e3bff6a1815,q52,,['q52_0.png'],,[],,,,,
853873d2-5103-5042-83bc-2e3bff6a1815,q53,,['q53_0.png'],,[],,,,,
853873d2-5103-5042-83bc-2e3bff6a1815,q54,,['q54_0.png'],,[],,,,,
853873d2-5103-5042-83bc-2e3bff6a1815,q55,,['q55_0.png'],,[],,,,,
853873d2-5103-5042-83bc-2e3bff6a1815,q56,,['q56_0.png'],,[],,,,,
853873d2-5103-5042-83bc-2e3bff6a1815,q57,,['q57_0.png'],,[],,,,,
853873d2-5103-5042-83bc-2e3bff6a1815,q58,,['q58_0.png'],,[],,,,,
853873d2-5103-5042-83bc-2e3bff6a1815,q59,,['q59_0.png'],,[],,,,,
853873d2-5103-5042-83bc-2e3bff6a1815,q60,,['q60_0.png'],,[],,,,,
