paper_id-input,sample_id-input,page_number-input,input_image_location-input,section_instruction-input,context-input,input_text_parsed-input,explanation-output,final_answer-output,final_answer_range-output
ffcf674e-119a-5f80-b371-4b4ecf1a6f27,q143,,['q143_0.png'],,[],,,,
ffcf674e-119a-5f80-b371-4b4ecf1a6f27,q34,,['q34_0_c7.png'],,['c7.png'],,,,
ffcf674e-119a-5f80-b371-4b4ecf1a6f27,q35,,['q35_0_c7.png'],,['c7.png'],,,,
ffcf674e-119a-5f80-b371-4b4ecf1a6f27,q158,,['q158_0.png'],,[],,,,
ffcf674e-119a-5f80-b371-4b4ecf1a6f27,q141,,['q141_0.png'],,[],,,,
ffcf674e-119a-5f80-b371-4b4ecf1a6f27,q145,,['q145_0.png'],,[],,,,
ffcf674e-119a-5f80-b371-4b4ecf1a6f27,q16,,"['q16_0_c4.png', 'q160_0.png']",,[],,,,
ffcf674e-119a-5f80-b371-4b4ecf1a6f27,q17,,['q17_0_c4.png'],,['c4.png'],,,,
ffcf674e-119a-5f80-b371-4b4ecf1a6f27,q47,,['q47_0_c10.png'],,['c10.png'],,,,
ffcf674e-119a-5f80-b371-4b4ecf1a6f27,q6,,['q6_0_c2.png'],,['c2.png'],,,,
ffcf674e-119a-5f80-b371-4b4ecf1a6f27,q7,,['q7_0_c2.png'],,['c2.png'],,,,
ffcf674e-119a-5f80-b371-4b4ecf1a6f27,q28,,['q28_0_c6.png'],,['c6.png'],,,,
ffcf674e-119a-5f80-b371-4b4ecf1a6f27,q29,,['q29_0_c6.png'],,['c6.png'],,,,
ffcf674e-119a-5f80-b371-4b4ecf1a6f27,q23,,['q23_0_c5.png'],,['c5.png'],,,,
ffcf674e-119a-5f80-b371-4b4ecf1a6f27,q22,,['q22_0_c5.png'],,['c5.png'],,,,
ffcf674e-119a-5f80-b371-4b4ecf1a6f27,q147,,['q147_0.png'],,[],,,,
ffcf674e-119a-5f80-b371-4b4ecf1a6f27,q159,,['q159_0.png'],,[],,,,
ffcf674e-119a-5f80-b371-4b4ecf1a6f27,q40,,['q40_0_c8.png'],,['c8.png'],,,,
ffcf674e-119a-5f80-b371-4b4ecf1a6f27,q142,,['q142_0.png'],,[],,,,
