paper_id-input,sample_id-input,page_number-input,input_image_location-input,section_instruction-input,context-input,input_text_parsed-input,explanation-output,final_answer-output,final_answer_range-output,category-input
57a5e89b-953d-56aa-ad08-c62ca3427833,q1,,['q1_0.png'],,[],,,,,
57a5e89b-953d-56aa-ad08-c62ca3427833,q2,,['q2_0.png'],,[],,,,,
57a5e89b-953d-56aa-ad08-c62ca3427833,q3,,['q3_0.png'],,[],,,,,
57a5e89b-953d-56aa-ad08-c62ca3427833,q4,,['q4_0.png'],,[],,,,,
57a5e89b-953d-56aa-ad08-c62ca3427833,q5,,['q5_0_c1.png'],,['c1.png'],,,,,
57a5e89b-953d-56aa-ad08-c62ca3427833,q6,,['q6_0_c1.png'],,['c1.png'],,,,,
57a5e89b-953d-56aa-ad08-c62ca3427833,q7,,['q7_0.png'],,[],,,,,
57a5e89b-953d-56aa-ad08-c62ca3427833,q8,,['q8_0.png'],,[],,,,,
57a5e89b-953d-56aa-ad08-c62ca3427833,q9,,['q9_0.png'],,[],,,,,
57a5e89b-953d-56aa-ad08-c62ca3427833,q10,,['q10_0.png'],,[],,,,,
57a5e89b-953d-56aa-ad08-c62ca3427833,q11,,['q11_0.png'],,[],,,,,
57a5e89b-953d-56aa-ad08-c62ca3427833,q12,,['q12_0.png'],,[],,,,,
57a5e89b-953d-56aa-ad08-c62ca3427833,q13,,['q13_0_c2.png'],,['c2.png'],,,,,
57a5e89b-953d-56aa-ad08-c62ca3427833,q14,,['q14_0_c2.png'],,['c2.png'],,,,,
57a5e89b-953d-56aa-ad08-c62ca3427833,q15,,['q15_0_c2.png'],,['c2.png'],,,,,
57a5e89b-953d-56aa-ad08-c62ca3427833,q16,,['q16_0_c3.png'],,['c3.png'],,,,,
57a5e89b-953d-56aa-ad08-c62ca3427833,q17,,['q17_0_c2.png'],,['c2.png'],,,,,
57a5e89b-953d-56aa-ad08-c62ca3427833,q18,,['q18_0_c2.png'],,['c2.png'],,,,,
57a5e89b-953d-56aa-ad08-c62ca3427833,q19,,['q19_0_c2.png'],,['c2.png'],,,,,
57a5e89b-953d-56aa-ad08-c62ca3427833,q20,,['q20_0.png'],,[],,,,,
57a5e89b-953d-56aa-ad08-c62ca3427833,q21,,['q21_0.png'],,[],,,,,
57a5e89b-953d-56aa-ad08-c62ca3427833,q22,,['q22_0.png'],,[],,,,,
57a5e89b-953d-56aa-ad08-c62ca3427833,q23,,['q23_0_c4.png'],,['c4.png'],,,,,
57a5e89b-953d-56aa-ad08-c62ca3427833,q24,,['q24_0_c4.png'],,['c4.png'],,,,,
57a5e89b-953d-56aa-ad08-c62ca3427833,q25,,['q25_0_c4.png'],,['c4.png'],,,,,
57a5e89b-953d-56aa-ad08-c62ca3427833,q26,,['q26_0_c4.png'],,['c4.png'],,,,,
57a5e89b-953d-56aa-ad08-c62ca3427833,q27,,['q27_0_c5.png'],,['c5.png'],,,,,
57a5e89b-953d-56aa-ad08-c62ca3427833,q28,,['q28_0_c5.png'],,['c5.png'],,,,,
57a5e89b-953d-56aa-ad08-c62ca3427833,q29,,['q29_0.png'],,[],,,,,
57a5e89b-953d-56aa-ad08-c62ca3427833,q30,,['q30_0.png'],,[],,,,,
57a5e89b-953d-56aa-ad08-c62ca3427833,q31,,['q31_0.png'],,[],,,,,
57a5e89b-953d-56aa-ad08-c62ca3427833,q32,,['q32_0_c6.png'],,['c6.png'],,,,,
57a5e89b-953d-56aa-ad08-c62ca3427833,q33,,['q33_0_c6.png'],,['c6.png'],,,,,
57a5e89b-953d-56aa-ad08-c62ca3427833,q34,,['q34_0_c6.png'],,['c6.png'],,,,,
57a5e89b-953d-56aa-ad08-c62ca3427833,q35,,['q35_0_c7.png'],,['c7.png'],,,,,
57a5e89b-953d-56aa-ad08-c62ca3427833,q36,,['q36_0_c7.png'],,['c7.png'],,,,,
57a5e89b-953d-56aa-ad08-c62ca3427833,q37,,['q37_0.png'],,[],,,,,
57a5e89b-953d-56aa-ad08-c62ca3427833,q38,,['q38_0_c8.png'],,['c8.png'],,,,,
57a5e89b-953d-56aa-ad08-c62ca3427833,q39,,['q39_0_c8.png'],,['c8.png'],,,,,
57a5e89b-953d-56aa-ad08-c62ca3427833,q40,,['q40_0_c8.png'],,['c8.png'],,,,,
57a5e89b-953d-56aa-ad08-c62ca3427833,q41,,['q41_0_c8.png'],,['c8.png'],,,,,
57a5e89b-953d-56aa-ad08-c62ca3427833,q42,,['q42_0_c8.png'],,['c8.png'],,,,,
57a5e89b-953d-56aa-ad08-c62ca3427833,q43,,['q43_0.png'],,[],,,,,
57a5e89b-953d-56aa-ad08-c62ca3427833,q44,,['q44_0.png'],,[],,,,,
57a5e89b-953d-56aa-ad08-c62ca3427833,q45,,['q45_0.png'],,[],,,,,
57a5e89b-953d-56aa-ad08-c62ca3427833,q46,,['q46_0.png'],,[],,,,,
57a5e89b-953d-56aa-ad08-c62ca3427833,q47,,['q47_0.png'],,[],,,,,
57a5e89b-953d-56aa-ad08-c62ca3427833,q48,,['q48_0.png'],,[],,,,,
57a5e89b-953d-56aa-ad08-c62ca3427833,q49,,['q49_0.png'],,[],,,,,
57a5e89b-953d-56aa-ad08-c62ca3427833,q50,,['q50_0.png'],,[],,,,,
57a5e89b-953d-56aa-ad08-c62ca3427833,q154,,['q154_0.png'],,[],,,,,
57a5e89b-953d-56aa-ad08-c62ca3427833,q155,,['q155_0.png'],,[],,,,,
57a5e89b-953d-56aa-ad08-c62ca3427833,q156,,['q156_0.png'],,[],,,,,
57a5e89b-953d-56aa-ad08-c62ca3427833,q157,,['q157_0.png'],,[],,,,,
57a5e89b-953d-56aa-ad08-c62ca3427833,q158,,['q158_0.png'],,[],,,,,
57a5e89b-953d-56aa-ad08-c62ca3427833,q159,,['q159_0.png'],,[],,,,,
57a5e89b-953d-56aa-ad08-c62ca3427833,q160,,['q160_0.png'],,[],,,,,
57a5e89b-953d-56aa-ad08-c62ca3427833,q161,,['q161_0.png'],,[],,,,,
57a5e89b-953d-56aa-ad08-c62ca3427833,q162,,['q162_0.png'],,[],,,,,
57a5e89b-953d-56aa-ad08-c62ca3427833,q163,,['q163_0.png'],,[],,,,,
57a5e89b-953d-56aa-ad08-c62ca3427833,q164,,['q164_0.png'],,[],,,,,
57a5e89b-953d-56aa-ad08-c62ca3427833,q165,,['q165_0.png'],,[],,,,,
57a5e89b-953d-56aa-ad08-c62ca3427833,q166,,['q166_0.png'],,[],,,,,
57a5e89b-953d-56aa-ad08-c62ca3427833,q167,,['q167_0.png'],,[],,,,,
57a5e89b-953d-56aa-ad08-c62ca3427833,q168,,['q168_0.png'],,[],,,,,
57a5e89b-953d-56aa-ad08-c62ca3427833,q169,,['q169_0.png'],,[],,,,,
57a5e89b-953d-56aa-ad08-c62ca3427833,q170,,['q170_0.png'],,[],,,,,
57a5e89b-953d-56aa-ad08-c62ca3427833,q171,,['q171_0.png'],,[],,,,,
57a5e89b-953d-56aa-ad08-c62ca3427833,q172,,['q172_0.png'],,[],,,,,
57a5e89b-953d-56aa-ad08-c62ca3427833,q173,,['q173_0.png'],,[],,,,,
