paper_id-input,sample_id-input,page_number-input,input_image_location-input,section_instruction-input,context-input,input_text_parsed-input,explanation-output,final_answer-output,final_answer_range-output,category-input
832f846d-43d6-5f55-9a0b-76ea06b1d5d0,q1,,['q1_0_c1.png'],,['c1.png'],,,,,
832f846d-43d6-5f55-9a0b-76ea06b1d5d0,q2,,['q2_0_c1.png'],,['c1.png'],,,,,
832f846d-43d6-5f55-9a0b-76ea06b1d5d0,q3,,['q3_0_c1.png'],,['c1.png'],,,,,
832f846d-43d6-5f55-9a0b-76ea06b1d5d0,q4,,['q4_0_c1.png'],,['c1.png'],,,,,
832f846d-43d6-5f55-9a0b-76ea06b1d5d0,q5,,['q5_0_c2.png'],,['c2.png'],,,,,
832f846d-43d6-5f55-9a0b-76ea06b1d5d0,q6,,['q6_0_c2.png'],,['c2.png'],,,,,
832f846d-43d6-5f55-9a0b-76ea06b1d5d0,q7,,['q7_0_c2.png'],,['c2.png'],,,,,
832f846d-43d6-5f55-9a0b-76ea06b1d5d0,q8,,['q8_0_c2.png'],,['c2.png'],,,,,
832f846d-43d6-5f55-9a0b-76ea06b1d5d0,q9,,['q9_0_c3.png'],,['c3.png'],,,,,
832f846d-43d6-5f55-9a0b-76ea06b1d5d0,q10,,['q10_0_c3.png'],,['c3.png'],,,,,
832f846d-43d6-5f55-9a0b-76ea06b1d5d0,q11,,['q11_0_c3.png'],,['c3.png'],,,,,
832f846d-43d6-5f55-9a0b-76ea06b1d5d0,q12,,['q12_0.png'],,[],,,,,
832f846d-43d6-5f55-9a0b-76ea06b1d5d0,q13,,['q13_0.png'],,[],,,,,
832f846d-43d6-5f55-9a0b-76ea06b1d5d0,q14,,['q14_0_c4.png'],,['c4.png'],,,,,
832f846d-43d6-5f55-9a0b-76ea06b1d5d0,q15,,['q15_0_c4.png'],,['c4.png'],,,,,
832f846d-43d6-5f55-9a0b-76ea06b1d5d0,q16,,['q16_0_c5.png'],,['c5.png'],,,,,
832f846d-43d6-5f55-9a0b-76ea06b1d5d0,q17,,['q17_0_c5.png'],,['c5.png'],,,,,
832f846d-43d6-5f55-9a0b-76ea06b1d5d0,q18,,['q18_0_c5.png'],,['c5.png'],,,,,
832f846d-43d6-5f55-9a0b-76ea06b1d5d0,q19,,['q19_0_c5.png'],,['c5.png'],,,,,
832f846d-43d6-5f55-9a0b-76ea06b1d5d0,q20,,['q20_0.png'],,[],,,,,
832f846d-43d6-5f55-9a0b-76ea06b1d5d0,q21,,['q21_0.png'],,[],,,,,
832f846d-43d6-5f55-9a0b-76ea06b1d5d0,q22,,['q22_0_c6.png'],,['c6.png'],,,,,
832f846d-43d6-5f55-9a0b-76ea06b1d5d0,q23,,['q23_0_c6.png'],,['c6.png'],,,,,
832f846d-43d6-5f55-9a0b-76ea06b1d5d0,q24,,['q24_0.png'],,[],,,,,
832f846d-43d6-5f55-9a0b-76ea06b1d5d0,q25,,['q25_0.png'],,[],,,,,
832f846d-43d6-5f55-9a0b-76ea06b1d5d0,q26,,['q26_0_c7.png'],,['c7.png'],,,,,
832f846d-43d6-5f55-9a0b-76ea06b1d5d0,q27,,['q27_0_c7.png'],,['c7.png'],,,,,
832f846d-43d6-5f55-9a0b-76ea06b1d5d0,q28,,['q28_0.png'],,[],,,,,
832f846d-43d6-5f55-9a0b-76ea06b1d5d0,q29,,['q29_0.png'],,[],,,,,
832f846d-43d6-5f55-9a0b-76ea06b1d5d0,q30,,['q30_0.png'],,[],,,,,
