paper_id-input,sample_id-input,page_number-input,input_image_location-input,section_instruction-input,context-input,input_text_parsed-input,explanation-output,final_answer-output,final_answer_range-output
3487ae31-bab5-55e6-9216-2f8102510efd,q51,,['q51_0.png'],,[],,,,
3487ae31-bab5-55e6-9216-2f8102510efd,q48,,['q48_0.png'],,[],,,,
3487ae31-bab5-55e6-9216-2f8102510efd,q53,,['q53_0.png'],,[],,,,
3487ae31-bab5-55e6-9216-2f8102510efd,q57,,['q57_0.png'],,[],,,,
3487ae31-bab5-55e6-9216-2f8102510efd,q55,,['q55_0.png'],,[],,,,
3487ae31-bab5-55e6-9216-2f8102510efd,q52,,['q52_0.png'],,[],,,,
3487ae31-bab5-55e6-9216-2f8102510efd,q50,,['q50_0.png'],,[],,,,
3487ae31-bab5-55e6-9216-2f8102510efd,q49,,['q49_0.png'],,[],,,,
3487ae31-bab5-55e6-9216-2f8102510efd,q54,,['q54_0.png'],,[],,,,
3487ae31-bab5-55e6-9216-2f8102510efd,q56,,['q56_0.png'],,[],,,,
3487ae31-bab5-55e6-9216-2f8102510efd,q43,,['q43_0.png'],,[],,,,
3487ae31-bab5-55e6-9216-2f8102510efd,q58,,['q58_0.png'],,[],,,,
3487ae31-bab5-55e6-9216-2f8102510efd,q41,,['q41_0.png'],,[],,,,
3487ae31-bab5-55e6-9216-2f8102510efd,q45,,['q45_0.png'],,[],,,,
3487ae31-bab5-55e6-9216-2f8102510efd,q47,,['q47_0.png'],,[],,,,
3487ae31-bab5-55e6-9216-2f8102510efd,q59,,['q59_0.png'],,[],,,,
3487ae31-bab5-55e6-9216-2f8102510efd,q42,,['q42_0.png'],,[],,,,
3487ae31-bab5-55e6-9216-2f8102510efd,q46,,['q46_0.png'],,[],,,,
3487ae31-bab5-55e6-9216-2f8102510efd,q44,,['q44_0.png'],,[],,,,
3487ae31-bab5-55e6-9216-2f8102510efd,q60,,['q60_0.png'],,[],,,,
