paper_id-input,sample_id-input,page_number-input,input_image_location-input,section_instruction-input,context-input,input_text_parsed-input,explanation-output,final_answer-output,final_answer_range-output,category-input
40035a15-1ebe-5c83-bb9e-003d5e187753,q1,2,['q1_0.png'],,[],,,A,A-D,
40035a15-1ebe-5c83-bb9e-003d5e187753,q2,2,['q2_0.png'],,[],,,A,A-D,
40035a15-1ebe-5c83-bb9e-003d5e187753,q3,2,['q3_0.png'],,[],,,C,A-D,
40035a15-1ebe-5c83-bb9e-003d5e187753,q4,2,['q4_0.png'],,[],,,B,A-D,
40035a15-1ebe-5c83-bb9e-003d5e187753,q5,2,['q5_0.png'],,[],,,A,A-D,
40035a15-1ebe-5c83-bb9e-003d5e187753,q6,3,['q6_0.png'],,[],,,A,A-D,
40035a15-1ebe-5c83-bb9e-003d5e187753,q8,3,"['q8_0_c1.png', 'q8_1_c1.png']",,['c1.png'],,,B,A-D,
40035a15-1ebe-5c83-bb9e-003d5e187753,q9,4,"['q9_0_c1.png', 'q9_1_c1.png']",,['c1.png'],,,B,A-D,
40035a15-1ebe-5c83-bb9e-003d5e187753,q10,4,"['q10_0_c1.png', 'q10_1_c1.png']",,['c1.png'],,,B,A-D,
40035a15-1ebe-5c83-bb9e-003d5e187753,q11,4,['q11_0.png'],,[],,,A,A-D,
40035a15-1ebe-5c83-bb9e-003d5e187753,q12,5,['q12_0.png'],,[],,,D,A-D,
40035a15-1ebe-5c83-bb9e-003d5e187753,q13,5,['q13_0.png'],,[],,,C,A-D,
40035a15-1ebe-5c83-bb9e-003d5e187753,q14,5,['q14_0_c2.png'],,"['c2_0.png', 'c2_1.png']",,,D,A-D,
40035a15-1ebe-5c83-bb9e-003d5e187753,q15,6,['q15_0_c2.png'],,"['c2_0.png', 'c2_1.png']",,,A,A-D,
40035a15-1ebe-5c83-bb9e-003d5e187753,q16,6,['q16_0_c2.png'],,"['c2_0.png', 'c2_1.png']",,,B,A-D,
40035a15-1ebe-5c83-bb9e-003d5e187753,q17,6,['q17_0_c3.png'],,['c3.png'],,,A,A-D,
40035a15-1ebe-5c83-bb9e-003d5e187753,q18,6,['q18_0_c3.png'],,['c3.png'],,,C,A-D,
40035a15-1ebe-5c83-bb9e-003d5e187753,q19,7,['q19_0_c3.png'],,['c3.png'],,,A,A-D,
40035a15-1ebe-5c83-bb9e-003d5e187753,q20,7,['q20_0_c3.png'],,['c3.png'],,,"[A,B,C,D]",A-D,
40035a15-1ebe-5c83-bb9e-003d5e187753,q21,7,['q21_0_c4.png'],,['c4.png'],,,A,A-D,
40035a15-1ebe-5c83-bb9e-003d5e187753,q22,7,['q22_0_c4.png'],,['c4.png'],,,B,A-D,
40035a15-1ebe-5c83-bb9e-003d5e187753,q23,8,['q23_0_c4.png'],,['c4.png'],,,C,A-D,
40035a15-1ebe-5c83-bb9e-003d5e187753,q24,8,['q24_0_c5.png'],,['c5.png'],,,B,A-D,
40035a15-1ebe-5c83-bb9e-003d5e187753,q25,8,['q25_0_c5.png'],,['c5.png'],,,"[A,B]",A-D,
40035a15-1ebe-5c83-bb9e-003d5e187753,q26,8,['q26_0_c5.png'],,['c5.png'],,,D,A-D,
40035a15-1ebe-5c83-bb9e-003d5e187753,q27,8,['q27_0_c5.png'],,['c5.png'],,,B,A-D,
40035a15-1ebe-5c83-bb9e-003d5e187753,q28,9,['q28_0.png'],,[],,,B,A-D,
40035a15-1ebe-5c83-bb9e-003d5e187753,q29,9,['q29_0.png'],,[],,,B,A-D,
40035a15-1ebe-5c83-bb9e-003d5e187753,q30,9,['q30_0.png'],,[],,,C,A-D,
40035a15-1ebe-5c83-bb9e-003d5e187753,q31,10,['q31_0.png'],,[],,,D,A-D,
40035a15-1ebe-5c83-bb9e-003d5e187753,q32,10,['q32_0.png'],,[],,,B,A-D,
40035a15-1ebe-5c83-bb9e-003d5e187753,q33,10,['q33_0.png'],,[],,,D,A-D,
40035a15-1ebe-5c83-bb9e-003d5e187753,q34,10,['q34_0.png'],,[],,,D,A-D,
40035a15-1ebe-5c83-bb9e-003d5e187753,q35,11,['q35_0.png'],,[],,,A,A-D,
40035a15-1ebe-5c83-bb9e-003d5e187753,q36,11,"['q36_0.png', 'q36_1.png', 'q36_2.png']",,[],,,D,A-D,
40035a15-1ebe-5c83-bb9e-003d5e187753,q37,12,['q37_0.png'],,[],,,D,A-D,
40035a15-1ebe-5c83-bb9e-003d5e187753,q38,12,['q38_0.png'],,[],,,B,A-D,
40035a15-1ebe-5c83-bb9e-003d5e187753,q39,12,"['q39_0.png', 'q39_1.png', 'q39_2.png']",,[],,,A,A-D,
40035a15-1ebe-5c83-bb9e-003d5e187753,q40,12,['q40_0.png'],,[],,,B,A-D,
40035a15-1ebe-5c83-bb9e-003d5e187753,q41,13,"['q41_0.png', 'q41_1.png', 'q41_2.png']",,[],,,"[B,C]",A-D,
40035a15-1ebe-5c83-bb9e-003d5e187753,q42,13,['q42_0.png'],,[],,,A,A-D,
40035a15-1ebe-5c83-bb9e-003d5e187753,q43,13,['q43_0.png'],,[],,,B,A-D,
40035a15-1ebe-5c83-bb9e-003d5e187753,q44,14,['q44_0.png'],,[],,,C,A-D,
40035a15-1ebe-5c83-bb9e-003d5e187753,q45,14,['q45_0.png'],,[],,,C,A-D,
40035a15-1ebe-5c83-bb9e-003d5e187753,q46,14,"['q46_0_c6.png', 'q46_1_c6.png']",,['c6.png'],,,A,A-D,
40035a15-1ebe-5c83-bb9e-003d5e187753,q47,15,"['q47_0_c6.png', 'q47_1_c6.png']",,['c6.png'],,,C,A-D,
40035a15-1ebe-5c83-bb9e-003d5e187753,q48,15,"['q48_0.png', 'q48_1.png', 'q48_2.png']",,[],,,A,A-D,
40035a15-1ebe-5c83-bb9e-003d5e187753,q49,16,['q49_0_c7.png'],,['c7.png'],,,C,A-D,
40035a15-1ebe-5c83-bb9e-003d5e187753,q50,16,['q50_0_c7.png'],,['c7.png'],,,A,A-D,
