paper_id-input,sample_id-input,page_number-input,input_image_location-input,section_instruction-input,context-input,input_text_parsed-input,explanation-output,final_answer-output,final_answer_range-output,category-input
a1a6d799-cefb-5ade-a001-db01d657babc,q1,,['q1_0_c1.png'],,c1.png,,,,,
a1a6d799-cefb-5ade-a001-db01d657babc,q2,,['q2_0_c1.png'],,c1.png,,,,,
a1a6d799-cefb-5ade-a001-db01d657babc,q3,,['q3_0_c1.png'],,c1.png,,,,,
a1a6d799-cefb-5ade-a001-db01d657babc,q4,,['q4_0_c1.png'],,c1.png,,,,,
a1a6d799-cefb-5ade-a001-db01d657babc,q5,,['q5_0_c2.png'],,c2.png,,,,,
a1a6d799-cefb-5ade-a001-db01d657babc,q6,,['q6_0_c2.png'],,c2.png,,,,,
a1a6d799-cefb-5ade-a001-db01d657babc,q7,,['q7_0_c2.png'],,c2.png,,,,,
a1a6d799-cefb-5ade-a001-db01d657babc,q8,,['q8_0_c2.png'],,c2.png,,,,,
a1a6d799-cefb-5ade-a001-db01d657babc,q9,,['q9_0.png'],,NO_CONTEXT,,,,,
a1a6d799-cefb-5ade-a001-db01d657babc,q10,,['q10_0.png'],,NO_CONTEXT,,,,,
a1a6d799-cefb-5ade-a001-db01d657babc,q11,,['q11_0.png'],,NO_CONTEXT,,,,,
a1a6d799-cefb-5ade-a001-db01d657babc,q12,,['q12_0.png'],,NO_CONTEXT,,,,,
a1a6d799-cefb-5ade-a001-db01d657babc,q13,,['q13_0.png'],,NO_CONTEXT,,,,,
a1a6d799-cefb-5ade-a001-db01d657babc,q14,,['q14_0_c3.png'],,c3.png,,,,,
a1a6d799-cefb-5ade-a001-db01d657babc,q15,,['q15_0_c3.png'],,c3.png,,,,,
a1a6d799-cefb-5ade-a001-db01d657babc,q16,,['q16_0_c4.png'],,c4.png,,,,,
a1a6d799-cefb-5ade-a001-db01d657babc,q17,,['q17_0_c4.png'],,c4.png,,,,,
a1a6d799-cefb-5ade-a001-db01d657babc,q18,,['q18_0.png'],,NO_CONTEXT,,,,,
a1a6d799-cefb-5ade-a001-db01d657babc,q19,,['q19_0.png'],,NO_CONTEXT,,,,,
a1a6d799-cefb-5ade-a001-db01d657babc,q20,,['q20_0.png'],,NO_CONTEXT,,,,,
a1a6d799-cefb-5ade-a001-db01d657babc,q21,,['q21_0.png'],,NO_CONTEXT,,,,,
a1a6d799-cefb-5ade-a001-db01d657babc,q22,,['q22_0.png'],,NO_CONTEXT,,,,,
a1a6d799-cefb-5ade-a001-db01d657babc,q23,,['q23_0.png'],,NO_CONTEXT,,,,,
a1a6d799-cefb-5ade-a001-db01d657babc,q24,,['q24_0.png'],,NO_CONTEXT,,,,,
a1a6d799-cefb-5ade-a001-db01d657babc,q25,,['q25_0.png'],,NO_CONTEXT,,,,,
a1a6d799-cefb-5ade-a001-db01d657babc,q26,,['q26_0.png'],,NO_CONTEXT,,,,,
a1a6d799-cefb-5ade-a001-db01d657babc,q27,,['q27_0.png'],,NO_CONTEXT,,,,,
a1a6d799-cefb-5ade-a001-db01d657babc,q28,,['q28_0.png'],,NO_CONTEXT,,,,,
a1a6d799-cefb-5ade-a001-db01d657babc,q29,,['q29_0.png'],,NO_CONTEXT,,,,,
a1a6d799-cefb-5ade-a001-db01d657babc,q30,,['q30_0.png'],,NO_CONTEXT,,,,,
a1a6d799-cefb-5ade-a001-db01d657babc,q31,,['q31_0_c5.png'],,c5.png,,,,,
a1a6d799-cefb-5ade-a001-db01d657babc,q32,,['q32_0_c5.png'],,c5.png,,,,,
a1a6d799-cefb-5ade-a001-db01d657babc,q33,,['q33_0_c5.png'],,c5.png,,,,,
a1a6d799-cefb-5ade-a001-db01d657babc,q34,,['q34_0_c5.png'],,c5.png,,,,,
a1a6d799-cefb-5ade-a001-db01d657babc,q35,,['q35_0_c6.png'],,c6.png,,,,,
a1a6d799-cefb-5ade-a001-db01d657babc,q36,,['q36_0_c6.png'],,c6.png,,,,,
a1a6d799-cefb-5ade-a001-db01d657babc,q37,,['q37_0_c6.png'],,c6.png,,,,,
a1a6d799-cefb-5ade-a001-db01d657babc,q38,,['q38_0_c6.png'],,c6.png,,,,,
a1a6d799-cefb-5ade-a001-db01d657babc,q39,,['q39_0_c7.png'],,c7.png,,,,,
a1a6d799-cefb-5ade-a001-db01d657babc,q40,,['q40_0_c7.png'],,c7.png,,,,,
a1a6d799-cefb-5ade-a001-db01d657babc,q41,,['q41_0_c8.png'],,c8.png,,,,,
a1a6d799-cefb-5ade-a001-db01d657babc,q42,,['q42_0_c8.png'],,c8.png,,,,,
a1a6d799-cefb-5ade-a001-db01d657babc,q43,,['q43_0_c9.png'],,c9.png,,,,,
a1a6d799-cefb-5ade-a001-db01d657babc,q44,,['q44_0_c9.png'],,c9.png,,,,,
a1a6d799-cefb-5ade-a001-db01d657babc,q45,,['q45_0_c10.png'],,c10.png,,,,,
a1a6d799-cefb-5ade-a001-db01d657babc,q46,,['q46_0_c10.png'],,c10.png,,,,,
a1a6d799-cefb-5ade-a001-db01d657babc,q47,,['q47_0_c10.png'],,c10.png,,,,,
a1a6d799-cefb-5ade-a001-db01d657babc,q48,,['q48_0_c10.png'],,c10.png,,,,,
a1a6d799-cefb-5ade-a001-db01d657babc,q49,,['q49_0.png'],,NO_CONTEXT,,,,,
a1a6d799-cefb-5ade-a001-db01d657babc,q50,,['q50_0.png'],,NO_CONTEXT,,,,,
