paper_id-input,sample_id-input,page_number-input,input_image_location-input,section_instruction-input,context-input,input_text_parsed-input,explanation-output,final_answer-output,final_answer_range-output,category-input
b7a8c62e-7f7a-540c-98e2-4fb46f04eddd,q41,,['q41_0.png'],,NO_CONTEXT,,,,,
b7a8c62e-7f7a-540c-98e2-4fb46f04eddd,q42,,['q42_0.png'],,NO_CONTEXT,,,,,
b7a8c62e-7f7a-540c-98e2-4fb46f04eddd,q43,,['q43_0.png'],,NO_CONTEXT,,,,,
b7a8c62e-7f7a-540c-98e2-4fb46f04eddd,q44,,['q44_0.png'],,NO_CONTEXT,,,,,
b7a8c62e-7f7a-540c-98e2-4fb46f04eddd,q45,,['q45_0.png'],,NO_CONTEXT,,,,,
b7a8c62e-7f7a-540c-98e2-4fb46f04eddd,q46,,['q46_0.png'],,NO_CONTEXT,,,,,
b7a8c62e-7f7a-540c-98e2-4fb46f04eddd,q47,,['q47_0.png'],,NO_CONTEXT,,,,,
b7a8c62e-7f7a-540c-98e2-4fb46f04eddd,q48,,['q48_0.png'],,NO_CONTEXT,,,,,
b7a8c62e-7f7a-540c-98e2-4fb46f04eddd,q49,,['q49_0.png'],,NO_CONTEXT,,,,,
b7a8c62e-7f7a-540c-98e2-4fb46f04eddd,q50,,['q50_0.png'],,NO_CONTEXT,,,,,
b7a8c62e-7f7a-540c-98e2-4fb46f04eddd,q51,,['q51_0.png'],,NO_CONTEXT,,,,,
b7a8c62e-7f7a-540c-98e2-4fb46f04eddd,q52,,['q52_0.png'],,NO_CONTEXT,,,,,
b7a8c62e-7f7a-540c-98e2-4fb46f04eddd,q53,,['q53_0.png'],,NO_CONTEXT,,,,,
b7a8c62e-7f7a-540c-98e2-4fb46f04eddd,q54,,['q54_0.png'],,NO_CONTEXT,,,,,
b7a8c62e-7f7a-540c-98e2-4fb46f04eddd,q55,,['q55_0.png'],,NO_CONTEXT,,,,,
b7a8c62e-7f7a-540c-98e2-4fb46f04eddd,q56,,['q56_0.png'],,NO_CONTEXT,,,,,
b7a8c62e-7f7a-540c-98e2-4fb46f04eddd,q57,,['q57_0.png'],,NO_CONTEXT,,,,,
b7a8c62e-7f7a-540c-98e2-4fb46f04eddd,q58,,['q58_0.png'],,NO_CONTEXT,,,,,
b7a8c62e-7f7a-540c-98e2-4fb46f04eddd,q59,,['q59_0.png'],,NO_CONTEXT,,,,,
b7a8c62e-7f7a-540c-98e2-4fb46f04eddd,q60,,['q60_0.png'],,NO_CONTEXT,,,,,
