paper_id-input,sample_id-input,page_number-input,input_image_location-input,section_instruction-input,context-input,input_text_parsed-input,explanation-output,final_answer-output,final_answer_range-output,category-input
a3657bc1-c881-54be-9abd-f9e116135b52,q1,,['q1_0_c1.png'],,c1.png,,,,,
a3657bc1-c881-54be-9abd-f9e116135b52,q2,,['q2_0_c1.png'],,c1.png,,,,,
a3657bc1-c881-54be-9abd-f9e116135b52,q3,,['q3_0_c1.png'],,c1.png,,,,,
a3657bc1-c881-54be-9abd-f9e116135b52,q4,,['q4_0_c1.png'],,c1.png,,,,,
a3657bc1-c881-54be-9abd-f9e116135b52,q5,,['q5_0_c1.png'],,c1.png,,,,,
a3657bc1-c881-54be-9abd-f9e116135b52,q6,,['q6_0_c1.png'],,c1.png,,,,,
a3657bc1-c881-54be-9abd-f9e116135b52,q7,,['q7_0_c2.png'],,c2.png,,,,,
a3657bc1-c881-54be-9abd-f9e116135b52,q8,,['q8_0_c2.png'],,c2.png,,,,,
a3657bc1-c881-54be-9abd-f9e116135b52,q9,,['q9_0_c2.png'],,c2.png,,,,,
a3657bc1-c881-54be-9abd-f9e116135b52,q10,,['q10_0_c2.png'],,c2.png,,,,,
a3657bc1-c881-54be-9abd-f9e116135b52,q11,,['q11_0_c2.png'],,c2.png,,,,,
a3657bc1-c881-54be-9abd-f9e116135b52,q12,,['q12_0_c2.png'],,c2.png,,,,,
a3657bc1-c881-54be-9abd-f9e116135b52,q13,,['q13_0_c3.png'],,c3.png,,,,,
a3657bc1-c881-54be-9abd-f9e116135b52,q14,,['q14_0_c3.png'],,c3.png,,,,,
a3657bc1-c881-54be-9abd-f9e116135b52,q15,,['q15_0_c3.png'],,c3.png,,,,,
a3657bc1-c881-54be-9abd-f9e116135b52,q16,,['q16_0_c3.png'],,c3.png,,,,,
a3657bc1-c881-54be-9abd-f9e116135b52,q17,,['q17_0_c3.png'],,c3.png,,,,,
a3657bc1-c881-54be-9abd-f9e116135b52,q18,,['q18_0_c3.png'],,c3.png,,,,,
