paper_id-input,sample_id-input,page_number-input,input_image_location-input,section_instruction-input,context-input,input_text_parsed-input,explanation-output,final_answer-output,final_answer_range-output,category-input
c9ea2d8f-7d07-5bdd-a1b7-2799fa2ed281,q1,,['q1_0.png'],,NO_CONTEXT,,,,,
c9ea2d8f-7d07-5bdd-a1b7-2799fa2ed281,q2,,['q2_0.png'],,NO_CONTEXT,,,,,
c9ea2d8f-7d07-5bdd-a1b7-2799fa2ed281,q3,,['q3_0.png'],,NO_CONTEXT,,,,,
c9ea2d8f-7d07-5bdd-a1b7-2799fa2ed281,q4,,['q4_0.png'],,NO_CONTEXT,,,,,
c9ea2d8f-7d07-5bdd-a1b7-2799fa2ed281,q5,,['q5_0.png'],,NO_CONTEXT,,,,,
c9ea2d8f-7d07-5bdd-a1b7-2799fa2ed281,q6,,['q6_0.png'],,NO_CONTEXT,,,,,
c9ea2d8f-7d07-5bdd-a1b7-2799fa2ed281,q7,,['q7_0.png'],,NO_CONTEXT,,,,,
c9ea2d8f-7d07-5bdd-a1b7-2799fa2ed281,q8,,['q8_0.png'],,NO_CONTEXT,,,,,
c9ea2d8f-7d07-5bdd-a1b7-2799fa2ed281,q9,,['q9_0.png'],,NO_CONTEXT,,,,,
c9ea2d8f-7d07-5bdd-a1b7-2799fa2ed281,q10,,['q10_0.png'],,NO_CONTEXT,,,,,
c9ea2d8f-7d07-5bdd-a1b7-2799fa2ed281,q11,,['q11_0.png'],,NO_CONTEXT,,,,,
c9ea2d8f-7d07-5bdd-a1b7-2799fa2ed281,q12,,['q12_0.png'],,NO_CONTEXT,,,,,
c9ea2d8f-7d07-5bdd-a1b7-2799fa2ed281,q13,,['q13_0.png'],,NO_CONTEXT,,,,,
c9ea2d8f-7d07-5bdd-a1b7-2799fa2ed281,q14,,['q14_0.png'],,NO_CONTEXT,,,,,
c9ea2d8f-7d07-5bdd-a1b7-2799fa2ed281,q15,,['q15_0.png'],,NO_CONTEXT,,,,,
c9ea2d8f-7d07-5bdd-a1b7-2799fa2ed281,q16,,['q16_0.png'],,NO_CONTEXT,,,,,
c9ea2d8f-7d07-5bdd-a1b7-2799fa2ed281,q17,,['q17_0.png'],,NO_CONTEXT,,,,,
c9ea2d8f-7d07-5bdd-a1b7-2799fa2ed281,q18,,['q18_0.png'],,NO_CONTEXT,,,,,
c9ea2d8f-7d07-5bdd-a1b7-2799fa2ed281,q19,,['q19_0.png'],,NO_CONTEXT,,,,,
c9ea2d8f-7d07-5bdd-a1b7-2799fa2ed281,q20,,['q20_0.png'],,NO_CONTEXT,,,,,
