paper_id-input,sample_id-input,page_number-input,input_image_location-input,section_instruction-input,context-input,input_text_parsed-input,explanation-output,final_answer-output,final_answer_range-output,category-input
becbb069-1004-5dfa-9f4d-6d62bc71c3ef,q1,,['q1_0.png'],,NO_CONTEXT,,,,,
becbb069-1004-5dfa-9f4d-6d62bc71c3ef,q2,,['q2_0.png'],,NO_CONTEXT,,,,,
becbb069-1004-5dfa-9f4d-6d62bc71c3ef,q3,,['q3_0.png'],,NO_CONTEXT,,,,,
becbb069-1004-5dfa-9f4d-6d62bc71c3ef,q4,,['q4_0_c1.png'],,c1.png,,,,,
becbb069-1004-5dfa-9f4d-6d62bc71c3ef,q5,,['q5_0_c1.png'],,c1.png,,,,,
becbb069-1004-5dfa-9f4d-6d62bc71c3ef,q6,,['q6_0_c1.png'],,c1.png,,,,,
becbb069-1004-5dfa-9f4d-6d62bc71c3ef,q7,,['q7_0.png'],,NO_CONTEXT,,,,,
becbb069-1004-5dfa-9f4d-6d62bc71c3ef,q8,,['q8_0.png'],,NO_CONTEXT,,,,,
becbb069-1004-5dfa-9f4d-6d62bc71c3ef,q9,,['q9_0.png'],,NO_CONTEXT,,,,,
becbb069-1004-5dfa-9f4d-6d62bc71c3ef,q10,,['q10_0_c2.png'],,c2.png,,,,,
becbb069-1004-5dfa-9f4d-6d62bc71c3ef,q11,,['q11_0_c2.png'],,c2.png,,,,,
becbb069-1004-5dfa-9f4d-6d62bc71c3ef,q12,,['q12_0_c2.png'],,c2.png,,,,,
becbb069-1004-5dfa-9f4d-6d62bc71c3ef,q13,,['q13_0.png'],,NO_CONTEXT,,,,,
becbb069-1004-5dfa-9f4d-6d62bc71c3ef,q14,,['q14_0.png'],,NO_CONTEXT,,,,,
becbb069-1004-5dfa-9f4d-6d62bc71c3ef,q15,,['q15_0.png'],,NO_CONTEXT,,,,,
becbb069-1004-5dfa-9f4d-6d62bc71c3ef,q16,,['q16_0.png'],,NO_CONTEXT,,,,,
becbb069-1004-5dfa-9f4d-6d62bc71c3ef,q17,,['q17_0.png'],,NO_CONTEXT,,,,,
becbb069-1004-5dfa-9f4d-6d62bc71c3ef,q18,,['q18_0.png'],,NO_CONTEXT,,,,,
becbb069-1004-5dfa-9f4d-6d62bc71c3ef,q19,,['q19_0.png'],,NO_CONTEXT,,,,,
becbb069-1004-5dfa-9f4d-6d62bc71c3ef,q20,,['q20_0.png'],,NO_CONTEXT,,,,,
becbb069-1004-5dfa-9f4d-6d62bc71c3ef,q21,,['q21_0.png'],,NO_CONTEXT,,,,,
becbb069-1004-5dfa-9f4d-6d62bc71c3ef,q22,,['q22_0_c3.png'],,c3.png,,,,,
becbb069-1004-5dfa-9f4d-6d62bc71c3ef,q23,,['q23_0_c3.png'],,c3.png,,,,,
becbb069-1004-5dfa-9f4d-6d62bc71c3ef,q24,,['q24_0_c4.png'],,c4.png,,,,,
becbb069-1004-5dfa-9f4d-6d62bc71c3ef,q25,,['q25_0_c4.png'],,c4.png,,,,,
becbb069-1004-5dfa-9f4d-6d62bc71c3ef,q26,,['q26_0_c5.png'],,c5.png,,,,,
becbb069-1004-5dfa-9f4d-6d62bc71c3ef,q27,,['q27_0_c5.png'],,c5.png,,,,,
becbb069-1004-5dfa-9f4d-6d62bc71c3ef,q28,,['q28_0_c6.png'],,c6.png,,,,,
becbb069-1004-5dfa-9f4d-6d62bc71c3ef,q29,,['q29_0_c6.png'],,c6.png,,,,,
becbb069-1004-5dfa-9f4d-6d62bc71c3ef,q30,,['q30_0.png'],,NO_CONTEXT,,,,,
becbb069-1004-5dfa-9f4d-6d62bc71c3ef,q31,,['q31_0.png'],,NO_CONTEXT,,,,,
becbb069-1004-5dfa-9f4d-6d62bc71c3ef,q32,,['q32_0.png'],,NO_CONTEXT,,,,,
becbb069-1004-5dfa-9f4d-6d62bc71c3ef,q33,,['q33_0.png'],,NO_CONTEXT,,,,,
becbb069-1004-5dfa-9f4d-6d62bc71c3ef,q34,,['q34_0.png'],,NO_CONTEXT,,,,,
becbb069-1004-5dfa-9f4d-6d62bc71c3ef,q35,,['q35_0.png'],,NO_CONTEXT,,,,,
