paper_id-input,sample_id-input,page_number-input,input_image_location-input,section_instruction-input,context-input,input_text_parsed-input,explanation-output,final_answer-output,final_answer_range-output,category-input
19ed21b7-a492-51c8-ab98-311c7d986113,q1,,['q1_0.png'],,NO_CONTEXT,,,,,
19ed21b7-a492-51c8-ab98-311c7d986113,q2,,['q2_0.png'],,NO_CONTEXT,,,,,
19ed21b7-a492-51c8-ab98-311c7d986113,q3,,['q3_0.png'],,NO_CONTEXT,,,,,
19ed21b7-a492-51c8-ab98-311c7d986113,q4,,['q4_0.png'],,NO_CONTEXT,,,,,
19ed21b7-a492-51c8-ab98-311c7d986113,q5,,['q5_0.png'],,NO_CONTEXT,,,,,
19ed21b7-a492-51c8-ab98-311c7d986113,q6,,['q6_0.png'],,NO_CONTEXT,,,,,
19ed21b7-a492-51c8-ab98-311c7d986113,q7,,['q7_0.png'],,NO_CONTEXT,,,,,
19ed21b7-a492-51c8-ab98-311c7d986113,q8,,['q8_0.png'],,NO_CONTEXT,,,,,
19ed21b7-a492-51c8-ab98-311c7d986113,q9,,['q9_0.png'],,NO_CONTEXT,,,,,
19ed21b7-a492-51c8-ab98-311c7d986113,q10,,['q10_0.png'],,NO_CONTEXT,,,,,
19ed21b7-a492-51c8-ab98-311c7d986113,q11,,['q11_0.png'],,NO_CONTEXT,,,,,
19ed21b7-a492-51c8-ab98-311c7d986113,q12,,['q12_0.png'],,NO_CONTEXT,,,,,
19ed21b7-a492-51c8-ab98-311c7d986113,q13,,['q13_0.png'],,NO_CONTEXT,,,,,
19ed21b7-a492-51c8-ab98-311c7d986113,q14,,['q14_0.png'],,NO_CONTEXT,,,,,
19ed21b7-a492-51c8-ab98-311c7d986113,q15,,['q15_0.png'],,NO_CONTEXT,,,,,
19ed21b7-a492-51c8-ab98-311c7d986113,q16,,['q16_0.png'],,NO_CONTEXT,,,,,
19ed21b7-a492-51c8-ab98-311c7d986113,q17,,['q17_0.png'],,NO_CONTEXT,,,,,
19ed21b7-a492-51c8-ab98-311c7d986113,q18,,['q18_0.png'],,NO_CONTEXT,,,,,
19ed21b7-a492-51c8-ab98-311c7d986113,q19,,['q19_0.png'],,NO_CONTEXT,,,,,
19ed21b7-a492-51c8-ab98-311c7d986113,q20,,['q20_0.png'],,NO_CONTEXT,,,,,
19ed21b7-a492-51c8-ab98-311c7d986113,q21,,['q21_0_c1.png'],,c1.png,,,,,
19ed21b7-a492-51c8-ab98-311c7d986113,q22,,['q22_0_c1.png'],,c1.png,,,,,
